Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Fuzzing,20,1,0,DT,0.5098,0.5098,0.5098460654077741,0.5098,0.5092259710647962,0.01959999999999995,0.5098,0.3749978542327881,0.0
Fuzzing,20,1,1,DT,0.50915,0.50915,0.5091507248289137,0.50915,0.5091402797503897,0.018299999999999983,0.5091499999999999,0.4218788146972656,0.0
Fuzzing,20,1,2,DT,0.5083,0.5083,0.5083066998518325,0.5083,0.5082008336160904,0.016599999999999948,0.5083,0.4484872817993164,0.0
Fuzzing,20,1,3,DT,0.5094,0.5094,0.5094304248137511,0.5094,0.5090039822519251,0.01880000000000004,0.5094,0.4999971389770508,0.015623331069946289
Fuzzing,20,1,4,DT,0.50965,0.50965,0.5096578445842636,0.50965,0.5095504080797406,0.019299999999999984,0.50965,0.5320253372192383,0.0
Fuzzing,20,1,5,DT,0.5079,0.5079,0.5079075013721016,0.5079,0.507783265879336,0.015800000000000036,0.5078999999999999,0.43750882148742676,0.0
Fuzzing,20,1,6,DT,0.5086,0.5086,0.5086114097734935,0.5086,0.5084371747297575,0.017199999999999993,0.5085999999999999,0.4687509536743164,0.0
Fuzzing,20,1,7,DT,0.50725,0.50725,0.5072872542656195,0.50725,0.5066194287937127,0.014499999999999957,0.50725,0.5156228542327881,0.0
Fuzzing,20,1,8,DT,0.50935,0.50935,0.5093535566899313,0.50935,0.5093033531500089,0.01870000000000005,0.50935,0.4999964237213135,0.0
Fuzzing,20,1,9,DT,0.5067,0.5066999999999999,0.5067010979078812,0.5066999999999999,0.5066797936043459,0.013399999999999967,0.5067,0.4687464237213135,0.0
