Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
AWT,17,1,0,DT,0.70755,0.7075499999999999,0.7077048003106234,0.7075499999999999,0.7074954998302672,0.4151,0.70755,0.38000011444091797,0.0039997100830078125
AWT,17,1,1,DT,0.70705,0.70705,0.7072136179448654,0.70705,0.7069921595197697,0.4141,0.70705,0.40599822998046875,0.0030002593994140625
AWT,17,1,2,DT,0.74355,0.7435499999999999,0.7993356567417549,0.7435499999999999,0.7310177900056097,0.4871,0.7435500000000002,0.38900113105773926,0.002000570297241211
AWT,17,1,3,DT,0.702,0.702,0.7288982551335306,0.702,0.6929803901835981,0.404,0.702,0.39100027084350586,0.002000093460083008
AWT,17,1,4,DT,0.68435,0.68435,0.6957074534623653,0.68435,0.67970306723938,0.3687,0.6843499999999999,0.3549933433532715,0.0040051937103271484
AWT,17,1,5,DT,0.70105,0.70105,0.7272768611208151,0.70105,0.692169387740744,0.4021,0.7010500000000001,0.35926127433776855,0.0020003318786621094
AWT,17,1,6,DT,0.6863,0.6863,0.6974466031468686,0.6863,0.6818092337114323,0.37260000000000004,0.6862999999999999,0.3849940299987793,0.002000570297241211
AWT,17,1,7,DT,0.5892,0.5892,0.6754805097024197,0.5892,0.5316274813995227,0.1784,0.5892,0.3729991912841797,0.002001047134399414
AWT,17,1,8,DT,0.68505,0.6850499999999999,0.6963104144504834,0.6850499999999999,0.680467889565614,0.3701,0.68505,0.37399768829345703,0.0030002593994140625
AWT,17,1,9,DT,0.74435,0.7443500000000001,0.8012167938070272,0.7443500000000001,0.7316862447678194,0.4887,0.7443500000000001,0.3638124465942383,0.0
