Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ARPMitM,14,1,0,DT,0.51175,0.5117499999999999,0.5117501608597022,0.5117499999999999,0.5117483289586559,0.023499999999999965,0.5117499999999999,0.14688968658447266,0.0
ARPMitM,14,1,1,DT,0.50525,0.50525,0.5052507943926836,0.50525,0.5052312866103379,0.010499999999999954,0.50525,0.1480088233947754,0.015504837036132812
ARPMitM,14,1,2,DT,0.5108,0.5108,0.5108174814827754,0.5108,0.510602278426507,0.021599999999999953,0.5107999999999999,0.1641678810119629,0.0030031204223632812
ARPMitM,14,1,3,DT,0.5093,0.5093000000000001,0.5093067846460069,0.5093000000000001,0.509210553623398,0.01859999999999995,0.5093,0.17248225212097168,0.0
ARPMitM,14,1,4,DT,0.5089,0.5088999999999999,0.5089004361213699,0.5088999999999999,0.5088939839513034,0.017800000000000038,0.5089,0.17358088493347168,0.0
ARPMitM,14,1,5,DT,0.50785,0.5078499999999999,0.5078503524023193,0.5078499999999999,0.5078444767846407,0.015700000000000047,0.5078499999999999,0.16136574745178223,0.002907276153564453
ARPMitM,14,1,6,DT,0.5101,0.5101,0.5101007822045739,0.5101,0.5100905153523771,0.020199999999999996,0.5101,0.1673884391784668,0.002553224563598633
ARPMitM,14,1,7,DT,0.50945,0.50945,0.5094613923679363,0.50945,0.509302288948275,0.018900000000000028,0.50945,0.17227888107299805,0.0
ARPMitM,14,1,8,DT,0.5107,0.5107,0.5107897430403535,0.5107,0.509680449138721,0.021399999999999975,0.5107,0.15569710731506348,0.0
ARPMitM,14,1,9,DT,0.51315,0.51315,0.5131500958641988,0.51315,0.513149112714258,0.02629999999999999,0.51315,0.15905070304870605,0.0
