Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Mirai,3,1,0,DT,0.51595,0.5159499999999999,0.5159500269555455,0.5159499999999999,0.5159497954887886,0.03190000000000004,0.51595,0.1406259536743164,0.0
Mirai,3,1,1,DT,0.5179,0.5179,0.5179519608736312,0.5179,0.5175508950031332,0.035800000000000054,0.5178999999999999,0.17187094688415527,0.01562786102294922
Mirai,3,1,2,DT,0.51675,0.51675,0.516804790507017,0.51675,0.5163557803874833,0.033499999999999974,0.51675,0.1406259536743164,0.0
Mirai,3,1,3,DT,0.518,0.518,0.5180018729148581,0.518,0.5179874628539088,0.03600000000000003,0.518,0.15624570846557617,0.0
Mirai,3,1,4,DT,0.5163,0.5163,0.5163000026080005,0.5163,0.5162999806519992,0.03259999999999996,0.5163,0.1406080722808838,0.0
Mirai,3,1,5,DT,0.51795,0.51795,0.5179501121882012,0.51795,0.5179492467956981,0.03590000000000004,0.51795,0.17187190055847168,0.0
Mirai,3,1,6,DT,0.51715,0.51715,0.5172097040774826,0.51715,0.5167308594662422,0.0343,0.51715,0.2112560272216797,0.004001140594482422
Mirai,3,1,7,DT,0.5173,0.5173,0.5173007536208277,0.5173,0.517294743339755,0.034599999999999964,0.5173,0.18750452995300293,0.0
Mirai,3,1,8,DT,0.51725,0.51725,0.5172508696163374,0.51725,0.5172439160664523,0.034499999999999975,0.51725,0.171875,0.0
Mirai,3,1,9,DT,0.51705,0.51705,0.5171212285912468,0.51705,0.516547178850203,0.03410000000000002,0.51705,0.18749737739562988,0.0
