Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Src Port,ACK,1,0,ET,0.7946210268948656,0.7827372081470443,0.787711050449904,0.7827372081470443,0.7848877980364657,0.5699479270979371,0.7827372081470442,0.009615182876586914,0.0
Src Port,ACK,2,0,ET,0.8019559902200489,0.7832877053260328,0.7992402334507598,0.7832877053260328,0.7888218158174876,0.5788275976048514,0.7832877053260329,0.0,0.0
Src Port,ACK,3,0,ET,0.8455882352941176,0.8314913056292367,0.8539268388619379,0.8314913056292367,0.8378736368051569,0.6774582141243788,0.8314913056292368,0.0,0.0
Src Port,ACK,1,1,ET,0.8141809290953546,0.808968089310413,0.8078882599064731,0.808968089310413,0.8084072978303748,0.6168240427997337,0.808968089310413,0.0,0.0
Src Port,ACK,2,1,ET,0.8264058679706602,0.8140960163432074,0.8333763551884357,0.8140960163432074,0.819135883206587,0.6401566314328555,0.8140960163432074,0.0,0.0
Src Port,ACK,3,1,ET,0.8284313725490197,0.82358464232243,0.8180321735877292,0.82358464232243,0.8204541453969372,0.6410527109569414,0.8235846423224301,0.0,0.0
Src Port,ACK,1,2,ET,0.8215158924205379,0.8102810650887574,0.8188659166920036,0.8102810650887574,0.8136557965361211,0.6277042782148958,0.8102810650887574,0.0,0.0
Src Port,ACK,2,2,ET,0.8312958435207825,0.8212401380670611,0.8285465732008674,0.8212401380670611,0.8242306470599227,0.6487260234755224,0.8212401380670612,0.0,0.0
Src Port,ACK,3,2,ET,0.8504901960784313,0.8346053123830901,0.8529040404040404,0.8346053123830901,0.8411367074548554,0.6831652917812405,0.8346053123830902,0.0,0.0
Src Port,ACK,1,3,ET,0.7897310513447433,0.7675681694462315,0.7923357664233577,0.7675681694462315,0.7742825607064018,0.551512215025246,0.7675681694462315,0.0,0.0
Src Port,ACK,2,3,ET,0.8190709046454768,0.8081149927219796,0.8251203153798894,0.8081149927219796,0.8124225296246715,0.6266591010016282,0.8081149927219796,0.0,0.0
Src Port,ACK,3,3,ET,0.8308823529411765,0.8228021978021978,0.8205273925892249,0.8228021978021978,0.8216139150270887,0.6432481751824817,0.8228021978021979,0.0,0.0
Src Port,ACK,1,4,ET,0.8386308068459658,0.8274901380670612,0.8373888747777496,0.8274901380670612,0.8313465287149497,0.6631056086663505,0.8274901380670611,0.0,0.0
Src Port,ACK,2,4,ET,0.8361858190709046,0.8250737241965311,0.8303911607823216,0.8250737241965311,0.8274554990964442,0.6550174360782042,0.8250737241965311,0.0,0.0
Src Port,ACK,3,4,ET,0.8357843137254902,0.8273058730784391,0.834096109839817,0.8273058730784391,0.8300412213455692,0.660337972166998,0.8273058730784391,0.0,0.0
