Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Pkt Len Mean,ARP,1,0,ET,0.6375838926174496,0.6095290251916758,0.6474926253687315,0.6095290251916758,0.5975390156062426,0.2297530155083286,0.6095290251916758,0.0,0.0
Pkt Len Mean,ARP,2,0,ET,0.6845637583892618,0.6260894278135657,0.6819300164024056,0.6260894278135657,0.6235148647922154,0.27542679772374545,0.6260894278135657,0.0,0.0
Pkt Len Mean,ARP,3,0,ET,0.6577181208053692,0.5940074906367041,0.6732229123533471,0.5940074906367041,0.5741664331745587,0.2090142604350994,0.5940074906367041,0.0,0.0
Pkt Len Mean,ARP,1,1,ET,0.6442953020134228,0.6090992647058824,0.6487468671679197,0.6090992647058824,0.5991574031775037,0.23113620874306295,0.6090992647058824,0.0,0.0
Pkt Len Mean,ARP,2,1,ET,0.6845637583892618,0.6417203486169003,0.6689250225835592,0.6417203486169003,0.6445358103649561,0.2993496748374188,0.6417203486169004,0.0019724369049072266,0.0
Pkt Len Mean,ARP,3,1,ET,0.6442953020134228,0.60734149054505,0.634965034965035,0.60734149054505,0.6031059958787756,0.22676980319201012,0.60734149054505,0.0,0.0
Pkt Len Mean,ARP,1,2,ET,0.6711409395973155,0.6228878648233487,0.6445347786811202,0.6228878648233487,0.6255321331486896,0.2596085589696786,0.6228878648233488,0.003416299819946289,0.0
Pkt Len Mean,ARP,2,2,ET,0.610738255033557,0.5648286140089419,0.587218045112782,0.5648286140089419,0.5543523102310232,0.138728323699422,0.564828614008942,0.0,0.0
Pkt Len Mean,ARP,3,2,ET,0.6577181208053692,0.6357844921732799,0.6711009174311926,0.6357844921732799,0.6281743895875128,0.28196163658697904,0.6357844921732798,0.0,0.0
Pkt Len Mean,ARP,1,3,ET,0.610738255033557,0.5930379746835442,0.6441176470588235,0.5930379746835442,0.5635353535353536,0.19233644859813082,0.5930379746835444,0.0,0.0
Pkt Len Mean,ARP,2,3,ET,0.697986577181208,0.6512667660208644,0.7168803418803419,0.6512667660208644,0.6483084185680567,0.32633376871295094,0.6512667660208644,0.0,0.0
Pkt Len Mean,ARP,3,3,ET,0.6241610738255033,0.5604363207547169,0.5716783216783217,0.5604363207547169,0.5597298438159561,0.12847294756632555,0.5604363207547169,0.0,0.004014730453491211
Pkt Len Mean,ARP,1,4,ET,0.6510067114093959,0.5892383478590375,0.6319327731092437,0.5892383478590375,0.5807359307359308,0.1955980066445182,0.5892383478590375,0.0,0.0
Pkt Len Mean,ARP,2,4,ET,0.6510067114093959,0.6243589743589744,0.6533423667570009,0.6243589743589744,0.619300314465409,0.25955657492354733,0.6243589743589744,0.0,0.0
Pkt Len Mean,ARP,3,4,ET,0.6442953020134228,0.6032973174366617,0.6314604077761973,0.6032973174366617,0.5991574031775038,0.21927829955511613,0.6032973174366617,0.0,0.0
