Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Flow Pkts/s,BF,1,0,ET,0.8323170731707317,0.6607559991505627,0.6750693802035153,0.6607559991505627,0.6672998543053685,0.334906355994691,0.6607559991505627,0.011510610580444336,0.0
Flow Pkts/s,BF,2,0,ET,0.8048780487804879,0.5713893653516295,0.6014627011214042,0.5713893653516295,0.5800256081946222,0.1654607617078795,0.5713893653516294,0.00415802001953125,0.0
Flow Pkts/s,BF,3,0,ET,0.8414634146341463,0.702552021986651,0.6769811320754717,0.702552021986651,0.6880988954721674,0.3769270110323665,0.7025520219866509,0.0,0.0
Flow Pkts/s,BF,1,1,ET,0.8201219512195121,0.6944622279129321,0.6491987474673052,0.6944622279129321,0.6655085990839167,0.33434232250963125,0.6944622279129321,0.0016012191772460938,0.0
Flow Pkts/s,BF,2,1,ET,0.8597560975609756,0.6966760051487848,0.7119543043655651,0.6966760051487848,0.7038084020416175,0.40780281026768184,0.6966760051487848,0.0,0.0
Flow Pkts/s,BF,3,1,ET,0.8048780487804879,0.6242656449553001,0.6500154178230034,0.6242656449553001,0.6343366778149387,0.27050319710870174,0.6242656449553001,0.0026078224182128906,0.0
Flow Pkts/s,BF,1,2,ET,0.8475609756097561,0.6640287769784172,0.6979166666666667,0.6640287769784172,0.6780526109148017,0.3573667711598747,0.6640287769784172,0.0,0.0
Flow Pkts/s,BF,2,2,ET,0.8536585365853658,0.657681532520633,0.6934150645490852,0.657681532520633,0.6723276723276723,0.3460164492813823,0.6576815325206329,0.0,0.0034661293029785156
Flow Pkts/s,BF,3,2,ET,0.8323170731707317,0.7130713489409142,0.692678470165711,0.7130713489409142,0.701793536655922,0.4040697674418605,0.7130713489409141,0.0,0.0
Flow Pkts/s,BF,1,3,ET,0.850609756097561,0.6634365634365634,0.7334474885844748,0.6634365634365634,0.6874063989108237,0.3791718170580963,0.6634365634365634,0.0,0.0
Flow Pkts/s,BF,2,3,ET,0.8445121951219512,0.6868345323741007,0.6966381464374952,0.6868345323741007,0.6914962285377053,0.3830948517480455,0.6868345323741006,0.0,0.0
Flow Pkts/s,BF,3,3,ET,0.8384146341463414,0.7338348271446864,0.6794068889298213,0.7338348271446864,0.6995246737533489,0.4020363236103468,0.7338348271446863,0.0,0.0
Flow Pkts/s,BF,1,4,ET,0.8567073170731707,0.7197603121516165,0.73070733669812,0.7197603121516165,0.7249843903309251,0.4500570776255708,0.7197603121516165,0.0,0.0
Flow Pkts/s,BF,2,4,ET,0.8323170731707317,0.6932624113475176,0.6669663669663669,0.6932624113475176,0.6781732227276782,0.35727518882713416,0.6932624113475179,0.0,0.0
Flow Pkts/s,BF,3,4,ET,0.8201219512195121,0.6295391802930559,0.6464468629961588,0.6295391802930559,0.6368890139787973,0.27444511097780444,0.6295391802930559,0.0,0.0
