Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Bwd Pkt Len Mean,HTTP,1,0,ET,0.8273615635179153,0.7705627705627706,0.8916155419222904,0.7705627705627706,0.7903437789918565,0.5953343198577415,0.7705627705627706,0.0,0.0
Bwd Pkt Len Mean,HTTP,2,0,ET,0.8058727569331158,0.7531120331950207,0.8788187372708758,0.7531120331950207,0.767142615451896,0.5544269004061937,0.7531120331950207,0.0,0.0
Bwd Pkt Len Mean,HTTP,3,0,ET,0.8172920065252854,0.776,0.8821052631578947,0.776,0.7888443274364589,0.5933761341830328,0.776,0.0,0.0
Bwd Pkt Len Mean,HTTP,1,1,ET,0.8224755700325733,0.7710084033613445,0.8876288659793814,0.7710084033613445,0.7882001474744215,0.5917503385508802,0.7710084033613446,0.0035529136657714844,0.0
Bwd Pkt Len Mean,HTTP,2,1,ET,0.800978792822186,0.7479338842975207,0.8762677484787018,0.7479338842975207,0.7608898608553305,0.5435034731971726,0.7479338842975207,0.01572895050048828,0.0
Bwd Pkt Len Mean,HTTP,3,1,ET,0.8287112561174551,0.7830578512396694,0.8897058823529411,0.7830578512396694,0.7994941014849866,0.6123034110553611,0.7830578512396694,0.0,0.0
Bwd Pkt Len Mean,HTTP,1,2,ET,0.8322475570032574,0.7721238938053097,0.8951120162932791,0.7721238938053097,0.7938462240563808,0.6014745730669859,0.7721238938053098,0.0,0.0
Bwd Pkt Len Mean,HTTP,2,2,ET,0.8221859706362153,0.780241935483871,0.8850210970464135,0.780241935483871,0.7942148429439501,0.6029580419164879,0.780241935483871,0.0,0.0
Bwd Pkt Len Mean,HTTP,3,2,ET,0.799347471451876,0.752016129032258,0.8739754098360656,0.752016129032258,0.7630221674644607,0.5475580411523622,0.752016129032258,0.0,0.0
Bwd Pkt Len Mean,HTTP,1,3,ET,0.8224755700325733,0.7680851063829788,0.8883196721311475,0.7680851063829788,0.7861700326211631,0.5879803489417239,0.7680851063829788,0.005107402801513672,0.0006728172302246094
Bwd Pkt Len Mean,HTTP,2,3,ET,0.8156606851549756,0.7635983263598327,0.8839835728952772,0.7635983263598327,0.7795841089526354,0.5763804375080266,0.7635983263598326,0.0,0.0
Bwd Pkt Len Mean,HTTP,3,3,ET,0.8058727569331158,0.7600806451612903,0.8770661157024793,0.7600806451612903,0.7720926163718902,0.5634974299442905,0.7600806451612903,0.0,0.0
Bwd Pkt Len Mean,HTTP,1,4,ET,0.8387622149837134,0.7954545454545454,0.8949044585987261,0.7954545454545454,0.812709710218607,0.6363995262534544,0.7954545454545454,0.0,0.0
Bwd Pkt Len Mean,HTTP,2,4,ET,0.8042414355628059,0.7520661157024793,0.8778004073319756,0.7520661157024793,0.7655592667193596,0.5516930352746154,0.7520661157024793,0.0,0.007507801055908203
Bwd Pkt Len Mean,HTTP,3,4,ET,0.8091353996737357,0.7542016806722689,0.8810975609756098,0.7542016806722689,0.7695733053175391,0.5585612201562125,0.7542016806722689,0.0,0.0
