Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Bwd Pkt Len Std,SP,1,0,ET,0.9739130434782609,0.763157894736842,0.9865671641791045,0.763157894736842,0.8380197193385153,0.6774025974025975,0.7631578947368421,0.0,0.0
Bwd Pkt Len Std,SP,2,0,ET,0.9738372093023255,0.775,0.9864864864864865,0.775,0.8479893946089263,0.6971830985915493,0.775,0.01561737060546875,0.0
Bwd Pkt Len Std,SP,3,0,ET,0.9563953488372093,0.6428571428571428,0.9778106508875739,0.6428571428571428,0.7108757774415868,0.4289508632138115,0.6428571428571428,0.0,0.0
Bwd Pkt Len Std,SP,1,1,ET,0.9681159420289855,0.7105263157894737,0.9836795252225519,0.7105263157894737,0.7880006703536115,0.5788480745755188,0.7105263157894737,0.01011204719543457,0.0
Bwd Pkt Len Std,SP,2,1,ET,0.9680232558139535,0.725,0.9835820895522388,0.725,0.8019988488305165,0.6064891846921798,0.725,0.0015063285827636719,0.0010645389556884766
Bwd Pkt Len Std,SP,3,1,ET,0.9680232558139535,0.7380952380952381,0.9835329341317365,0.7380952380952381,0.8142092600775765,0.6306130417805544,0.7380952380952381,0.0,0.0
Bwd Pkt Len Std,SP,1,2,ET,0.9710144927536232,0.7058823529411764,0.985207100591716,0.7058823529411764,0.7841591591591591,0.5710022382491917,0.7058823529411764,0.0,0.0
Bwd Pkt Len Std,SP,2,2,ET,0.9622093023255814,0.6904761904761905,0.9806547619047619,0.6904761904761905,0.765998639526974,0.5360995850622408,0.6904761904761905,0.0,0.0
Bwd Pkt Len Std,SP,3,2,ET,0.9709302325581395,0.7727272727272727,0.9849397590361446,0.7727272727272727,0.8452959165317502,0.6919770773638969,0.7727272727272727,0.0,0.0
Bwd Pkt Len Std,SP,1,3,ET,0.9623188405797102,0.717391304347826,0.9805970149253731,0.717391304347826,0.7931368479313685,0.5894736842105263,0.7173913043478262,0.0,0.0
Bwd Pkt Len Std,SP,2,3,ET,0.9883720930232558,0.8181818181818181,0.9940652818991098,0.8181818181818181,0.8859038142620232,0.7721099701888042,0.8181818181818181,0.0,0.0
Bwd Pkt Len Std,SP,3,3,ET,0.9534883720930233,0.6923076923076923,0.9760479041916168,0.6923076923076923,0.765507839127471,0.5360755225893459,0.6923076923076923,0.0,0.0
Bwd Pkt Len Std,SP,1,4,ET,0.9565217391304348,0.7,0.9776119402985075,0.7,0.7742639040348964,0.5529157667386608,0.7,0.0,0.0
Bwd Pkt Len Std,SP,2,4,ET,0.9825581395348837,0.8421052631578947,0.9909365558912386,0.8421052631578947,0.9016768292682928,0.8036903176716759,0.8421052631578947,0.0,0.0
Bwd Pkt Len Std,SP,3,4,ET,0.9680232558139535,0.65625,0.9837758112094395,0.65625,0.7298493610337689,0.464326160815402,0.65625,0.003016948699951172,0.0
