Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Fwd IAT Std,SP,1,0,ET,0.9536231884057971,0.6037294155634485,0.8779411764705882,0.6037294155634485,0.6546546546546547,0.31767614338689754,0.6037294155634485,0.011512994766235352,0.0
Fwd IAT Std,SP,2,0,ET,0.9680232558139535,0.7608695652173914,0.983433734939759,0.7608695652173914,0.8344344782323343,0.6706128133704736,0.7608695652173914,0.0,0.0
Fwd IAT Std,SP,3,0,ET,0.9709302325581395,0.7222222222222222,0.9851190476190477,0.7222222222222222,0.8001394376016732,0.6025878003696857,0.7222222222222222,0.0,0.0
Fwd IAT Std,SP,1,1,ET,0.9507246376811594,0.6453846153846153,0.8125,0.6453846153846153,0.6940372476394179,0.3919129082426128,0.6453846153846153,0.0,0.0
Fwd IAT Std,SP,2,1,ET,0.9622093023255814,0.6578947368421053,0.9807692307692308,0.6578947368421053,0.7301960784313725,0.4658385093167702,0.6578947368421053,0.0,0.0
Fwd IAT Std,SP,3,1,ET,0.9651162790697675,0.7588087866725638,0.9079711828956543,0.7588087866725638,0.8143550998381004,0.6297757847533632,0.7588087866725638,0.0,0.0
Fwd IAT Std,SP,1,2,ET,0.9594202898550724,0.6563609945108169,0.9093406593406593,0.6563609945108169,0.720227062094532,0.4450827205882353,0.6563609945108169,0.0,0.0
Fwd IAT Std,SP,2,2,ET,0.938953488372093,0.6379310344827587,0.96875,0.6379310344827587,0.7000871839581517,0.410958904109589,0.6379310344827587,0.0,0.0
Fwd IAT Std,SP,3,2,ET,0.9738372093023255,0.625,0.9868035190615836,0.625,0.6933135215453194,0.39150943396226423,0.625,0.0,0.005010366439819336
Fwd IAT Std,SP,1,3,ET,0.9594202898550724,0.6666666666666666,0.9792899408284024,0.6666666666666666,0.7394259818731117,0.48430493273542596,0.6666666666666667,0.0,0.0
Fwd IAT Std,SP,2,3,ET,0.9651162790697675,0.6547256097560976,0.9003944773175543,0.6547256097560976,0.7182637182637183,0.44034707158351405,0.6547256097560976,0.0,0.0
Fwd IAT Std,SP,3,3,ET,0.9651162790697675,0.7391304347826086,0.9819819819819819,0.7391304347826086,0.8143550998381004,0.6310991957104557,0.7391304347826086,0.0,0.0
Fwd IAT Std,SP,1,4,ET,0.9681159420289855,0.6764705882352942,0.9837758112094395,0.6764705882352942,0.7526236881559221,0.5091191307722157,0.6764705882352942,0.0,0.0
Fwd IAT Std,SP,2,4,ET,0.9651162790697675,0.7234567901234568,0.9335329341317365,0.7234567901234568,0.7908814589665654,0.5838709677419356,0.7234567901234568,0.0,0.0
Fwd IAT Std,SP,3,4,ET,0.9563953488372093,0.6739130434782609,0.9776785714285714,0.6739130434782609,0.746648991014877,0.4988344988344988,0.6739130434782609,0.0,0.0
