Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Pkt Len Var,UDP,1,0,ET,0.967741935483871,0.5,0.4838709677419355,0.5,0.4918032786885246,0.0,0.5,0.0,0.0
Pkt Len Var,UDP,2,0,ET,0.9757085020242915,0.5,0.48785425101214575,0.5,0.49385245901639346,0.0,0.5,0.014604330062866211,0.0
Pkt Len Var,UDP,3,0,ET,0.9757085020242915,0.5,0.48785425101214575,0.5,0.49385245901639346,0.0,0.5,0.0,0.0
Pkt Len Var,UDP,1,1,ET,0.9717741935483871,0.5,0.48588709677419356,0.5,0.4928425357873211,0.0,0.5,0.0,0.0
Pkt Len Var,UDP,2,1,ET,0.9757085020242915,0.5,0.48785425101214575,0.5,0.49385245901639346,0.0,0.5,0.0,0.0
Pkt Len Var,UDP,3,1,ET,0.97165991902834,0.5,0.48582995951417,0.5,0.49281314168377827,0.0,0.5,0.0,0.0
Pkt Len Var,UDP,1,2,ET,0.9838709677419355,0.5,0.49193548387096775,0.5,0.4959349593495935,0.0,0.5,0.007120847702026367,0.0
Pkt Len Var,UDP,2,2,ET,0.9635627530364372,0.5,0.4817813765182186,0.5,0.49072164948453606,0.0,0.5,0.0,0.0
Pkt Len Var,UDP,3,2,ET,0.97165991902834,0.5,0.48582995951417,0.5,0.49281314168377827,0.0,0.5,0.0,0.0
Pkt Len Var,UDP,1,3,ET,0.9717741935483871,0.5,0.48588709677419356,0.5,0.4928425357873211,0.0,0.5,0.0,0.0
Pkt Len Var,UDP,2,3,ET,0.97165991902834,0.5,0.48582995951417,0.5,0.49281314168377827,0.0,0.5,0.0,0.0
Pkt Len Var,UDP,3,3,ET,0.9757085020242915,0.5,0.48785425101214575,0.5,0.49385245901639346,0.0,0.5,0.0,0.0
Pkt Len Var,UDP,1,4,ET,0.9838709677419355,0.5,0.49193548387096775,0.5,0.4959349593495935,0.0,0.5,0.0,0.0
Pkt Len Var,UDP,2,4,ET,0.97165991902834,0.5,0.48582995951417,0.5,0.49281314168377827,0.0,0.5,0.0,0.0
Pkt Len Var,UDP,3,4,ET,0.9635627530364372,0.5,0.4817813765182186,0.5,0.49072164948453606,0.0,0.5,0.0,0.0
