Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Bwd Pkt Len Max,ACK,0,0,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.006075143814086914
Bwd Pkt Len Max,ACK,0,1,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,2,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,3,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,4,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,5,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,6,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,7,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,8,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.006321430206298828,0.0
Bwd Pkt Len Max,ACK,0,9,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,10,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,11,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0027437210083007812
Bwd Pkt Len Max,ACK,0,12,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,13,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,14,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.002107381820678711,0.0
Bwd Pkt Len Max,ACK,0,15,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,16,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.008575439453125
Bwd Pkt Len Max,ACK,0,17,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,18,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,19,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,20,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0072307586669921875
Bwd Pkt Len Max,ACK,0,21,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,22,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.005037069320678711,0.0
Bwd Pkt Len Max,ACK,0,23,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
Bwd Pkt Len Max,ACK,0,24,ET,0.9847213114754099,0.7651209677419355,0.9922265963835324,0.7651209677419355,0.8425914124927198,0.6859381427407496,0.7651209677419355,0.0,0.0
