Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Active Max,ARP,0,0,ET,0.4199395770392749,0.5152048155096935,0.5308045612923662,0.5152048155096935,0.3849012775842044,0.023898752841432835,0.5152048155096935,0.0021064281463623047,0.0
Active Max,ARP,0,1,ET,0.42900302114803623,0.5273999374609131,0.5589571068124475,0.5273999374609131,0.3916683683888095,0.04289888774995032,0.5273999374609131,0.0,0.0
Active Max,ARP,0,2,ET,0.41389728096676737,0.5103971232020013,0.5219146482122261,0.5103971232020013,0.3765631067961165,0.01629951898036086,0.5103971232020013,0.0,0.0
Active Max,ARP,0,3,ET,0.43202416918429004,0.5231590056285178,0.542170818505338,0.5231590056285178,0.40298564740194953,0.0366884423666366,0.5231590056285178,0.001989603042602539,0.0
Active Max,ARP,0,4,ET,0.43202416918429004,0.5314649781113195,0.5691580756013745,0.5314649781113195,0.3939146018388655,0.04919936438088246,0.5314649781113197,0.0021059513092041016,0.0
Active Max,ARP,0,5,ET,0.4199395770392749,0.5168660100062539,0.5355495139232164,0.5168660100062539,0.3829902912621359,0.02644076105272819,0.5168660100062539,0.011607885360717773,0.0
Active Max,ARP,0,6,ET,0.4169184290030212,0.5094785803627266,0.518167515732694,0.5094785803627266,0.38446789035024326,0.014956902533421856,0.5094785803627266,0.0,0.0
Active Max,ARP,0,7,ET,0.4350453172205438,0.530546435272045,0.5607226107226106,0.530546435272045,0.4018284256404805,0.04807529643356956,0.530546435272045,0.0,0.0
Active Max,ARP,0,8,ET,0.4259818731117825,0.5216737023139462,0.5439103579347482,0.5216737023139462,0.3913085559427023,0.03406647416600117,0.5216737023139462,0.0,0.01060175895690918
Active Max,ARP,0,9,ET,0.42900302114803623,0.5257387429643527,0.5531734496124031,0.5257387429643527,0.39357896879634746,0.04040311076342551,0.5257387429643527,0.0,0.0
Active Max,ARP,0,10,ET,0.41389728096676737,0.5137195121951219,0.5315250583797377,0.5137195121951219,0.3725179799874922,0.021396568014873996,0.5137195121951219,0.0,0.0
Active Max,ARP,0,11,ET,0.4108761329305136,0.5046708880550344,0.5092851592851593,0.5046708880550344,0.3762381978603941,0.007351244944096669,0.5046708880550344,0.0,0.0
Active Max,ARP,0,12,ET,0.4199395770392749,0.5152048155096935,0.5308045612923662,0.5152048155096935,0.3849012775842044,0.023898752841432835,0.5152048155096935,0.0,0.0
Active Max,ARP,0,13,ET,0.4229607250755287,0.5192698561601,0.5398094315245479,0.5192698561601,0.38716181502699654,0.030248646327059703,0.5192698561601001,0.0,0.0
Active Max,ARP,0,14,ET,0.4169184290030212,0.5161233583489682,0.5362223393045311,0.5161233583489682,0.3767816204087605,0.02517815451757144,0.516123358348968,0.0,0.001111745834350586
Active Max,ARP,0,15,ET,0.4078549848942598,0.5039282363977486,0.5082797825012358,0.5039282363977486,0.37013592233009707,0.006158276907993421,0.5039282363977486,0.0,0.0
Active Max,ARP,0,16,ET,0.4350453172205438,0.530546435272045,0.5607226107226106,0.530546435272045,0.4018284256404805,0.04807529643356956,0.530546435272045,0.0,0.0
Active Max,ARP,0,17,ET,0.40181268882175225,0.4957981550969356,0.49148717136522013,0.4957981550969356,0.3656794425087108,-0.006604411132272503,0.4957981550969356,0.0,0.0
Active Max,ARP,0,18,ET,0.4199395770392749,0.5185272045028143,0.540721649484536,0.5185272045028143,0.3810191678354371,0.028969563623028938,0.5185272045028143,0.0,0.0
Active Max,ARP,0,19,ET,0.43202416918429004,0.5314649781113195,0.5691580756013745,0.5314649781113195,0.3939146018388655,0.04919936438088246,0.5314649781113197,0.006177425384521484,0.0
Active Max,ARP,0,20,ET,0.43202416918429004,0.5314649781113195,0.5691580756013745,0.5314649781113195,0.3939146018388655,0.04919936438088246,0.5314649781113197,0.0,0.0
Active Max,ARP,0,21,ET,0.41389728096676737,0.5137195121951219,0.5315250583797377,0.5137195121951219,0.3725179799874922,0.021396568014873996,0.5137195121951219,0.0,0.0
Active Max,ARP,0,22,ET,0.4350453172205438,0.5322076297686054,0.5665374677002584,0.5322076297686054,0.3999961225656983,0.05055757519979143,0.5322076297686054,0.0,0.0
Active Max,ARP,0,23,ET,0.4259818731117825,0.5233348968105066,0.5491843796342066,0.5233348968105066,0.3894174757281553,0.03658200312509563,0.5233348968105066,0.015732765197753906,0.0
Active Max,ARP,0,24,ET,0.4169184290030212,0.5144621638524077,0.5311185870479395,0.5144621638524077,0.3787936248626467,0.022642779554182146,0.5144621638524077,0.0,0.0
