Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Flow IAT Std,HTTP,0,0,ET,0.3492822966507177,0.3492822966507177,0.2056338028169014,0.3492822966507177,0.25886524822695034,-0.3014354066985645,0.3492822966507177,0.0109100341796875,0.0
Flow IAT Std,HTTP,0,1,ET,0.29904306220095694,0.29904306220095694,0.18712574850299402,0.29904306220095694,0.2302025782688766,-0.4019138755980862,0.29904306220095694,0.0,0.0
Flow IAT Std,HTTP,0,2,ET,0.4090909090909091,0.4090909090909091,0.225,0.4090909090909091,0.2903225806451613,-0.18181818181818188,0.4090909090909091,0.0005321502685546875,0.0
Flow IAT Std,HTTP,0,3,ET,0.17464114832535885,0.17464114832535885,0.12943262411347517,0.17464114832535885,0.1486761710794297,-0.6507177033492824,0.17464114832535885,0.005036354064941406,0.0
Flow IAT Std,HTTP,0,4,ET,0.16985645933014354,0.16985645933014354,0.12678571428571428,0.16985645933014354,0.14519427402862986,-0.6602870813397128,0.16985645933014354,0.005018711090087891,0.0
Flow IAT Std,HTTP,0,5,ET,0.38995215311004783,0.38995215311004783,0.21908602150537634,0.38995215311004783,0.2805507745266781,-0.22009569377990434,0.38995215311004783,0.0,0.0
Flow IAT Std,HTTP,0,6,ET,0.3708133971291866,0.3708133971291866,0.2129120879120879,0.3708133971291866,0.27050610820244325,-0.2583732057416268,0.3708133971291866,0.0,0.0
Flow IAT Std,HTTP,0,7,ET,0.21770334928229665,0.21770334928229665,0.15166666666666667,0.21770334928229665,0.1787819253438114,-0.5645933014354068,0.21770334928229665,0.0,0.0
Flow IAT Std,HTTP,0,8,ET,0.18899521531100477,0.18899521531100477,0.1371527777777778,0.18899521531100477,0.15895372233400404,-0.6220095693779903,0.18899521531100477,0.0,0.0
Flow IAT Std,HTTP,0,9,ET,0.43301435406698563,0.43301435406698563,0.23205128205128206,0.43301435406698563,0.3021702838063439,-0.13397129186602874,0.43301435406698563,0.009255409240722656,0.0
Flow IAT Std,HTTP,0,10,ET,0.43779904306220097,0.43779904306220097,0.23341836734693877,0.43779904306220097,0.30449251247920134,-0.12440191387559807,0.43779904306220097,0.004541873931884766,0.0
Flow IAT Std,HTTP,0,11,ET,0.39473684210526316,0.39473684210526316,0.22058823529411764,0.39473684210526316,0.2830188679245283,-0.21052631578947367,0.39473684210526316,0.0,0.0
Flow IAT Std,HTTP,0,12,ET,0.1674641148325359,0.1674641148325359,0.12544802867383512,0.1674641148325359,0.14344262295081966,-0.6650717703349283,0.1674641148325359,0.0,0.0
Flow IAT Std,HTTP,0,13,ET,0.4449760765550239,0.4449760765550239,0.23544303797468355,0.4449760765550239,0.3079470198675497,-0.11004784688995217,0.4449760765550239,0.0060498714447021484,0.0
Flow IAT Std,HTTP,0,14,ET,0.430622009569378,0.430622009569378,0.23136246786632392,0.430622009569378,0.3010033444816053,-0.13875598086124397,0.430622009569378,0.0,0.0
Flow IAT Std,HTTP,0,15,ET,0.430622009569378,0.430622009569378,0.23136246786632392,0.430622009569378,0.3010033444816053,-0.13875598086124397,0.430622009569378,0.0026128292083740234,0.0
Flow IAT Std,HTTP,0,16,ET,0.3133971291866029,0.3133971291866029,0.19264705882352942,0.3133971291866029,0.23861566484517308,-0.3732057416267942,0.3133971291866029,0.0,0.0
Flow IAT Std,HTTP,0,17,ET,0.39952153110047844,0.39952153110047844,0.2220744680851064,0.39952153110047844,0.28547008547008546,-0.200956937799043,0.39952153110047844,0.0,0.0
Flow IAT Std,HTTP,0,18,ET,0.35406698564593303,0.35406698564593303,0.20728291316526612,0.35406698564593303,0.26148409893992935,-0.29186602870813405,0.35406698564593303,0.015873432159423828,0.0
Flow IAT Std,HTTP,0,19,ET,0.1674641148325359,0.1674641148325359,0.12544802867383512,0.1674641148325359,0.14344262295081966,-0.6650717703349283,0.1674641148325359,0.010149717330932617,0.0
Flow IAT Std,HTTP,0,20,ET,0.19138755980861244,0.19138755980861244,0.1384083044982699,0.19138755980861244,0.1606425702811245,-0.6172248803827751,0.19138755980861244,0.005129337310791016,0.0
Flow IAT Std,HTTP,0,21,ET,0.291866028708134,0.291866028708134,0.18429003021148035,0.291866028708134,0.22592592592592595,-0.4162679425837321,0.291866028708134,0.0,0.0
Flow IAT Std,HTTP,0,22,ET,0.41866028708133973,0.41866028708133973,0.22786458333333334,0.41866028708133973,0.2951096121416526,-0.16267942583732053,0.41866028708133973,0.0,0.0
Flow IAT Std,HTTP,0,23,ET,0.3708133971291866,0.3708133971291866,0.2129120879120879,0.3708133971291866,0.27050610820244325,-0.2583732057416268,0.3708133971291866,0.006539106369018555,0.0
Flow IAT Std,HTTP,0,24,ET,0.41866028708133973,0.41866028708133973,0.22786458333333334,0.41866028708133973,0.2951096121416526,-0.16267942583732053,0.41866028708133973,0.00914764404296875,0.0
