Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Fwd Pkts/s,UDP,0,0,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.015405416488647461
Fwd Pkts/s,UDP,0,1,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0016162395477294922,0.025328397750854492
Fwd Pkts/s,UDP,0,2,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.02446579933166504
Fwd Pkts/s,UDP,0,3,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0011217594146728516,0.023675203323364258
Fwd Pkts/s,UDP,0,4,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.02785491943359375
Fwd Pkts/s,UDP,0,5,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.029178619384765625
Fwd Pkts/s,UDP,0,6,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.02521204948425293
Fwd Pkts/s,UDP,0,7,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.024710655212402344
Fwd Pkts/s,UDP,0,8,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.025187969207763672
Fwd Pkts/s,UDP,0,9,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.002608776092529297,0.019850730895996094
Fwd Pkts/s,UDP,0,10,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0016326904296875,0.023174762725830078
Fwd Pkts/s,UDP,0,11,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.02420210838317871
Fwd Pkts/s,UDP,0,12,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.015063047409057617
Fwd Pkts/s,UDP,0,13,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.01987481117248535
Fwd Pkts/s,UDP,0,14,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.015606164932250977
Fwd Pkts/s,UDP,0,15,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.02954840660095215
Fwd Pkts/s,UDP,0,16,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.024979114532470703
Fwd Pkts/s,UDP,0,17,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0005102157592773438,0.02019643783569336
Fwd Pkts/s,UDP,0,18,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.025086641311645508
Fwd Pkts/s,UDP,0,19,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.02504253387451172
Fwd Pkts/s,UDP,0,20,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.02033209800720215
Fwd Pkts/s,UDP,0,21,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.01946711540222168
Fwd Pkts/s,UDP,0,22,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.019467592239379883
Fwd Pkts/s,UDP,0,23,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.019902944564819336
Fwd Pkts/s,UDP,0,24,ET,3.433109672595774e-05,0.5,1.716554836297887e-05,0.5,3.432991814221741e-05,0.0,0.5,0.0,0.025278329849243164
