Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Subflow Fwd Pkts,ARP,0,0,ET,0.6491803278688525,0.6430678466076696,0.6354630356986994,0.6430678466076696,0.6360178896064064,0.27559876584315557,0.6430678466076697,0.0,0.0
Subflow Fwd Pkts,ARP,0,1,ET,0.6524590163934426,0.6456720132743363,0.638157894736842,0.6456720132743363,0.6389484499240596,0.2811082451303033,0.6456720132743363,0.001001596450805664,0.0
Subflow Fwd Pkts,ARP,0,2,ET,0.6524590163934426,0.6456720132743363,0.638157894736842,0.6456720132743363,0.6389484499240596,0.2811082451303033,0.6456720132743363,0.0,0.0
Subflow Fwd Pkts,ARP,0,3,ET,0.6524590163934426,0.6474926253687315,0.6394335511982571,0.6474926253687315,0.6398814828016397,0.28362508309328605,0.6474926253687314,0.0,0.0
Subflow Fwd Pkts,ARP,0,4,ET,0.6557377049180327,0.6500967920353982,0.6421183555904687,0.6500967920353982,0.6428212935389968,0.2891389758273957,0.6500967920353982,0.0,0.0
Subflow Fwd Pkts,ARP,0,5,ET,0.6557377049180327,0.6500967920353982,0.6421183555904687,0.6500967920353982,0.6428212935389968,0.2891389758273957,0.6500967920353982,0.0,0.0
Subflow Fwd Pkts,ARP,0,6,ET,0.6491803278688525,0.6430678466076696,0.6354630356986994,0.6430678466076696,0.6360178896064064,0.27559876584315557,0.6430678466076697,0.0,0.000995635986328125
Subflow Fwd Pkts,ARP,0,7,ET,0.6491803278688525,0.6430678466076696,0.6354630356986994,0.6430678466076696,0.6360178896064064,0.27559876584315557,0.6430678466076697,0.0012264251708984375,0.0
Subflow Fwd Pkts,ARP,0,8,ET,0.6459016393442623,0.640463679941003,0.6327886710239652,0.640463679941003,0.633086793797897,0.2701085752271216,0.6404636799410031,0.0,0.0
Subflow Fwd Pkts,ARP,0,9,ET,0.6524590163934426,0.6456720132743363,0.638157894736842,0.6456720132743363,0.6389484499240596,0.2811082451303033,0.6456720132743363,0.0,0.0010008811950683594
Subflow Fwd Pkts,ARP,0,10,ET,0.6491803278688525,0.6430678466076696,0.6354630356986994,0.6430678466076696,0.6360178896064064,0.27559876584315557,0.6430678466076697,0.0,0.0
Subflow Fwd Pkts,ARP,0,11,ET,0.6557377049180327,0.648276179941003,0.6408740585041163,0.648276179941003,0.6418786692759295,0.28663711491769317,0.6482761799410031,0.0,0.0
Subflow Fwd Pkts,ARP,0,12,ET,0.659016393442623,0.6508803466076696,0.6436123541282794,0.6508803466076696,0.644808743169399,0.29218547775248804,0.6508803466076697,0.0,0.0
Subflow Fwd Pkts,ARP,0,13,ET,0.6557377049180327,0.648276179941003,0.6408740585041163,0.648276179941003,0.6418786692759295,0.28663711491769317,0.6482761799410031,0.0,0.005057096481323242
Subflow Fwd Pkts,ARP,0,14,ET,0.6459016393442623,0.640463679941003,0.6327886710239652,0.640463679941003,0.633086793797897,0.2701085752271216,0.6404636799410031,0.0,0.0
Subflow Fwd Pkts,ARP,0,15,ET,0.6622950819672131,0.6534845132743363,0.6463736263736264,0.6534845132743363,0.6477388681445599,0.2977534369062256,0.6534845132743363,0.0,0.0
Subflow Fwd Pkts,ARP,0,16,ET,0.6557377049180327,0.6500967920353982,0.6421183555904687,0.6500967920353982,0.6428212935389968,0.2891389758273957,0.6500967920353982,0.0,0.001001119613647461
Subflow Fwd Pkts,ARP,0,17,ET,0.6491803278688525,0.6430678466076696,0.6354630356986994,0.6430678466076696,0.6360178896064064,0.27559876584315557,0.6430678466076697,0.0,0.0
Subflow Fwd Pkts,ARP,0,18,ET,0.6557377049180327,0.648276179941003,0.6408740585041163,0.648276179941003,0.6418786692759295,0.28663711491769317,0.6482761799410031,0.0,0.0
Subflow Fwd Pkts,ARP,0,19,ET,0.6491803278688525,0.6448884587020649,0.6367690567351201,0.6448884587020649,0.6369411162656164,0.27813046074896597,0.6448884587020649,0.000993490219116211,0.0
Subflow Fwd Pkts,ARP,0,20,ET,0.6524590163934426,0.6456720132743363,0.638157894736842,0.6456720132743363,0.6389484499240596,0.2811082451303033,0.6456720132743363,0.0009996891021728516,0.0
Subflow Fwd Pkts,ARP,0,21,ET,0.6524590163934426,0.6474926253687315,0.6394335511982571,0.6474926253687315,0.6398814828016397,0.28362508309328605,0.6474926253687314,0.0010275840759277344,0.0
Subflow Fwd Pkts,ARP,0,22,ET,0.659016393442623,0.6527009587020649,0.6448242699772688,0.6527009587020649,0.6457607433217188,0.29467224050520324,0.6527009587020649,0.003846883773803711,0.0
Subflow Fwd Pkts,ARP,0,23,ET,0.6557377049180327,0.6500967920353982,0.6421183555904687,0.6500967920353982,0.6428212935389968,0.2891389758273957,0.6500967920353982,0.0009982585906982422,0.0
Subflow Fwd Pkts,ARP,0,24,ET,0.659016393442623,0.6508803466076696,0.6436123541282794,0.6508803466076696,0.644808743169399,0.29218547775248804,0.6508803466076697,0.004126310348510742,0.0
