Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Fwd Seg Size Avg,BF,0,0,ET,0.8643344709897611,0.6174507168458782,0.7614082540790508,0.6174507168458782,0.6477506649049285,0.3104249618851671,0.6174507168458782,0.0019998550415039062,0.0
Fwd Seg Size Avg,BF,0,1,ET,0.8626279863481229,0.6323588709677419,0.7451990413644993,0.6323588709677419,0.6619483137009002,0.3337805584193654,0.6323588709677419,0.0,0.0
Fwd Seg Size Avg,BF,0,2,ET,0.8583617747440273,0.6161962365591398,0.7321324681136719,0.6161962365591398,0.6433405929413145,0.2990228576369873,0.6161962365591397,0.0,0.0
Fwd Seg Size Avg,BF,0,3,ET,0.8609215017064846,0.6245295698924731,0.7406623735050598,0.6245295698924731,0.65325129098714,0.3176798342738767,0.6245295698924731,0.0,0.0
Fwd Seg Size Avg,BF,0,4,ET,0.8609215017064846,0.6245295698924731,0.7406623735050598,0.6245295698924731,0.65325129098714,0.3176798342738767,0.6245295698924731,0.0009996891021728516,0.0
Fwd Seg Size Avg,BF,0,5,ET,0.871160409556314,0.6373991935483871,0.7841326276535374,0.6373991935483871,0.6722831773191486,0.3567180888959971,0.6373991935483871,0.0011377334594726562,0.0
Fwd Seg Size Avg,BF,0,6,ET,0.8660409556313993,0.6275537634408602,0.7637729162564999,0.6275537634408602,0.6592613168152737,0.331157218256103,0.6275537634408602,0.0011332035064697266,0.0
Fwd Seg Size Avg,BF,0,7,ET,0.8592150170648464,0.6257952508960574,0.7330397252741552,0.6257952508960574,0.6535495140412952,0.3172285226036974,0.6257952508960573,0.0,0.0
Fwd Seg Size Avg,BF,0,8,ET,0.863481228668942,0.6260416666666666,0.7518012978294921,0.6260416666666666,0.6562318968109055,0.32435938085492755,0.6260416666666666,0.0,0.0
Fwd Seg Size Avg,BF,0,9,ET,0.8668941979522184,0.6394265232974911,0.7609862462260986,0.6394265232974911,0.6713829695453368,0.35261458274318747,0.6394265232974911,0.0,0.0
Fwd Seg Size Avg,BF,0,10,ET,0.856655290102389,0.617461917562724,0.7245706454237869,0.617461917562724,0.643787042196444,0.2987834411236787,0.617461917562724,0.0,0.006067037582397461
Fwd Seg Size Avg,BF,0,11,ET,0.8592150170648464,0.6167002688172043,0.7358013375428591,0.6167002688172043,0.6443017089630892,0.30120116213520665,0.6167002688172043,0.0,0.0
Fwd Seg Size Avg,BF,0,12,ET,0.85580204778157,0.6192316308243728,0.7208804091838111,0.6192316308243728,0.6451507143816904,0.3006764867880295,0.6192316308243727,0.0019989013671875,0.0
Fwd Seg Size Avg,BF,0,13,ET,0.8626279863481229,0.6232638888888888,0.7490636068393477,0.6232638888888888,0.6529246978367114,0.318141740022838,0.6232638888888888,0.0,0.0
Fwd Seg Size Avg,BF,0,14,ET,0.863481228668942,0.6305891577060931,0.7496680800034263,0.6305891577060931,0.6607495639966132,0.332174705832075,0.6305891577060933,0.0009982585906982422,0.0
Fwd Seg Size Avg,BF,0,15,ET,0.8651877133105802,0.6361447132616487,0.7548431734317342,0.6361447132616487,0.6671699306933541,0.3443147697014334,0.6361447132616488,0.0,0.0
Fwd Seg Size Avg,BF,0,16,ET,0.8617747440273038,0.6250336021505376,0.7442883403361344,0.6250336021505376,0.6542395104895105,0.31989339752407153,0.6250336021505376,0.0,0.0
Fwd Seg Size Avg,BF,0,17,ET,0.8626279863481229,0.6346326164874552,0.7443809659350824,0.6346326164874552,0.6641194197759634,0.33757881285720304,0.6346326164874552,0.0,0.0
Fwd Seg Size Avg,BF,0,18,ET,0.856655290102389,0.6197356630824373,0.7241278094599128,0.6197356630824373,0.6461047364334398,0.3028157044926634,0.6197356630824372,0.0,0.0
Fwd Seg Size Avg,BF,0,19,ET,0.8660409556313993,0.6411962365591397,0.756295046304297,0.6411962365591397,0.6724642789119641,0.3540364821029869,0.6411962365591397,0.0009922981262207031,0.0010068416595458984
Fwd Seg Size Avg,BF,0,20,ET,0.8651877133105802,0.6384184587813619,0.7538098172109262,0.6384184587813619,0.6693167613129041,0.3480636530066188,0.6384184587813619,0.0009903907775878906,0.0
Fwd Seg Size Avg,BF,0,21,ET,0.8609215017064846,0.6290770609318996,0.7391193833193272,0.6290770609318996,0.6577489138710978,0.32550454051153144,0.6290770609318997,0.0,0.0
Fwd Seg Size Avg,BF,0,22,ET,0.8686006825938567,0.6336133512544803,0.7730998168498169,0.6336133512544803,0.6668979772626606,0.34586836764279505,0.6336133512544804,0.0010972023010253906,0.0
Fwd Seg Size Avg,BF,0,23,ET,0.863481228668942,0.6351366487455197,0.7477921544464983,0.6351366487455197,0.6651308975320547,0.33981129418391776,0.6351366487455197,0.0,0.0
Fwd Seg Size Avg,BF,0,24,ET,0.8651877133105802,0.6293234767025089,0.7583575744014321,0.6293234767025089,0.6605289981007693,0.33280488859424096,0.6293234767025089,0.0009984970092773438,0.0
