Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Idle Min,BF,0,0,ET,0.8523890784982935,0.5285394265232974,0.7936329588014981,0.5285394265232974,0.516158976745296,0.09135072152012191,0.5285394265232974,0.0,0.0
Idle Min,BF,0,1,ET,0.8498293515358362,0.5202060931899641,0.7591954022988505,0.5202060931899641,0.5007744733581164,0.06539074960127578,0.5202060931899641,0.0,0.0
Idle Min,BF,0,2,ET,0.8532423208191127,0.5290434587813619,0.8198865038243277,0.5290434587813619,0.516701030927835,0.09330358749235368,0.529043458781362,0.0010499954223632812,0.0
Idle Min,BF,0,3,ET,0.8515358361774744,0.5280353942652329,0.7706531141868512,0.5280353942652329,0.5156196556835025,0.08941201686075595,0.528035394265233,0.002047300338745117,0.0
Idle Min,BF,0,4,ET,0.8515358361774744,0.5280353942652329,0.7706531141868512,0.5280353942652329,0.5156196556835025,0.08941201686075595,0.528035394265233,0.0,0.0
Idle Min,BF,0,5,ET,0.8498293515358362,0.5202060931899641,0.7591954022988505,0.5202060931899641,0.5007744733581164,0.06539074960127578,0.5202060931899641,0.002001523971557617,0.0
Idle Min,BF,0,6,ET,0.8540955631399317,0.5295474910394264,0.8501692440432733,0.5295474910394264,0.5172458646779544,0.09527077050867672,0.5295474910394264,0.0009715557098388672,0.0
Idle Min,BF,0,7,ET,0.8532423208191127,0.5267697132616487,0.8433908045977012,0.5267697132616487,0.5121205080545229,0.08663186892851948,0.5267697132616488,0.000997781753540039,0.0
Idle Min,BF,0,8,ET,0.8515358361774744,0.5234879032258064,0.8012931034482759,0.5234879032258064,0.5064474907063198,0.07601130926489763,0.5234879032258065,0.0,0.0
Idle Min,BF,0,9,ET,0.8523890784982935,0.5285394265232974,0.7936329588014981,0.5285394265232974,0.516158976745296,0.09135072152012191,0.5285394265232974,0.0,0.0
Idle Min,BF,0,10,ET,0.8506825938566553,0.5275313620071684,0.7503692386045328,0.5275313620071684,0.5150830222314692,0.08748732003345727,0.5275313620071684,0.0,0.0
Idle Min,BF,0,11,ET,0.8498293515358362,0.5179323476702509,0.7755593803786575,0.5179323476702509,0.49598788056492205,0.05846266204126338,0.5179323476702509,0.0010030269622802734,0.0
Idle Min,BF,0,12,ET,0.8506825938566553,0.5207101254480286,0.7895622895622896,0.5207101254480286,0.5012438506601041,0.0672693867898786,0.5207101254480287,0.002100706100463867,0.0
Idle Min,BF,0,13,ET,0.8506825938566553,0.5252576164874552,0.7598674733506194,0.5252576164874552,0.5105654389042011,0.08084610558393834,0.5252576164874552,0.0,0.0
Idle Min,BF,0,14,ET,0.8523890784982935,0.5285394265232974,0.7936329588014981,0.5285394265232974,0.516158976745296,0.09135072152012191,0.5285394265232974,0.0,0.0
Idle Min,BF,0,15,ET,0.8472696245733788,0.5141465053763441,0.6977918722104768,0.5141465053763441,0.4898437101037636,0.045949829916504425,0.5141465053763442,0.0,0.0
Idle Min,BF,0,16,ET,0.8540955631399317,0.5295474910394264,0.8501692440432733,0.5295474910394264,0.5172458646779544,0.09527077050867672,0.5295474910394264,0.0,0.0
Idle Min,BF,0,17,ET,0.8506825938566553,0.5275313620071684,0.7503692386045328,0.5275313620071684,0.5150830222314692,0.08748732003345727,0.5275313620071684,0.0009970664978027344,0.0
Idle Min,BF,0,18,ET,0.8506825938566553,0.5275313620071684,0.7503692386045328,0.5275313620071684,0.5150830222314692,0.08748732003345727,0.5275313620071684,0.0009987354278564453,0.0
Idle Min,BF,0,19,ET,0.8515358361774744,0.5257616487455197,0.7837404391808537,0.5257616487455197,0.5110812754735076,0.08276060595156709,0.5257616487455198,0.0,0.0
Idle Min,BF,0,20,ET,0.8515358361774744,0.5257616487455197,0.7837404391808537,0.5257616487455197,0.5110812754735076,0.08276060595156709,0.5257616487455198,0.0,0.012048721313476562
Idle Min,BF,0,21,ET,0.8523890784982935,0.5262656810035842,0.8112762991969205,0.5262656810035842,0.5115996174812053,0.08468914209357348,0.5262656810035843,0.0010004043579101562,0.0
Idle Min,BF,0,22,ET,0.8515358361774744,0.5303091397849462,0.7605430387059503,0.5303091397849462,0.52006552006552,0.09596765613363123,0.5303091397849462,0.0012235641479492188,0.0
Idle Min,BF,0,23,ET,0.8515358361774744,0.5280353942652329,0.7706531141868512,0.5280353942652329,0.5156196556835025,0.08941201686075595,0.528035394265233,0.0,0.01505732536315918
Idle Min,BF,0,24,ET,0.8498293515358362,0.5247535842293907,0.7389705882352942,0.5247535842293907,0.510052065518945,0.07894548831892556,0.5247535842293907,0.0009989738464355469,0.0
