bootst,criter,max_depth,max_features,min_samp_split,n_estimators,F1,Std,Time,No,Attack
False,entropy,16,5,3,144,0.9998489480892209,0.0,22.897,0,SYN
False,gini,28,9,3,145,0.9998489480892209,0.0,30.306,1,SYN
True,entropy,18,4,2,68,0.9998489480892209,0.0,17.431,2,SYN
False,entropy,10,6,3,30,0.9998288071572456,2.4667503141834815e-05,15.467,3,SYN
False,entropy,31,7,2,51,0.9998489480892209,0.0,13.679,4,SYN
False,entropy,19,2,10,157,0.9997985957592824,1.1102230246251565e-16,20.256,5,SYN
False,gini,17,8,2,86,0.9998489480892209,0.0,19.824,6,SYN
False,entropy,7,8,3,35,0.9998489480892209,0.0,17.214,7,SYN
True,gini,27,10,8,150,0.9997985957592824,1.1102230246251565e-16,20.698,8,SYN
True,entropy,21,3,4,92,0.9997985957592824,1.1102230246251565e-16,11.981,9,SYN
False,entropy,20,8,10,171,1.0,0.0,71.297,0,HTTP
False,gini,10,5,6,114,1.0,0.0,40.993,1,HTTP
True,gini,18,2,5,103,1.0,0.0,24.048,2,HTTP
True,gini,11,5,10,59,1.0,0.0,29.899,3,HTTP
True,gini,27,8,4,66,1.0,0.0,35.402,4,HTTP
False,gini,16,10,4,7,1.0,0.0,25.401,5,HTTP
False,entropy,12,7,4,14,1.0,0.0,19.415,6,HTTP
True,entropy,17,7,4,32,1.0,0.0,16.587,7,HTTP
True,entropy,27,2,4,79,1.0,0.0,24.618,8,HTTP
False,entropy,22,6,6,40,1.0,0.0,29.567,9,HTTP
False,entropy,13,9,7,199,1.0,0.0,65.168,0,ACK
True,entropy,12,9,6,60,0.9999616102205262,7.677955894731525e-05,28.116,1,ACK
True,entropy,7,8,5,155,1.0,0.0,40.807,2,ACK
True,entropy,29,7,6,154,1.0,0.0,41.831,3,ACK
True,entropy,24,10,9,102,1.0,0.0,34.977,4,ACK
False,entropy,15,1,5,139,1.0,0.0,37.11,5,ACK
False,gini,21,1,2,168,1.0,0.0,24.658,6,ACK
True,entropy,32,2,4,68,1.0,0.0,22.212,7,ACK
False,entropy,21,2,3,187,1.0,0.0,30.738,8,ACK
False,entropy,15,1,6,7,1.0,0.0,17.285,9,ACK
False,gini,29,2,4,174,1.0,0.0,30.268,0,UDP
True,entropy,32,2,9,47,1.0,0.0,19.245,1,UDP
False,entropy,4,10,8,192,1.0,0.0,51.821,2,UDP
True,gini,31,9,6,123,1.0,0.0,31.403,3,UDP
True,entropy,28,9,9,104,1.0,0.0,29.375,4,UDP
False,gini,19,7,3,197,1.0,0.0,45.304,5,UDP
True,entropy,15,7,2,91,1.0,0.0,24.258,6,UDP
False,entropy,19,10,5,18,1.0,0.0,19.481,7,UDP
True,gini,8,1,2,119,0.9999370721898714,0.00012585562025737575,24.661,8,UDP
False,entropy,32,4,10,36,1.0,0.0,28.362,9,UDP
False,entropy,24,9,5,154,1.0,0.0,142.016,0,ARP
False,entropy,22,4,5,141,0.9999866639990664,2.6672001867211746e-05,105.488,1,ARP
False,entropy,26,3,4,154,1.0,0.0,96.343,2,ARP
False,gini,27,2,10,126,0.9997999582063505,4.218057685879369e-05,64.798,3,ARP
False,entropy,32,6,10,110,0.9997866150889105,4.99035020042159e-05,85.429,4,ARP
False,gini,29,3,7,24,0.9999333217741471,4.216932533084387e-05,54.343,5,ARP
False,gini,23,8,8,98,0.9999066426551508,5.33413346886857e-05,87.459,6,ARP
False,entropy,26,6,8,88,0.9999066462140267,5.334311412667893e-05,103.832,7,ARP
True,gini,25,4,3,150,1.0,0.0,84.665,8,ARP
True,entropy,20,3,2,132,1.0,0.0,76.439,9,ARP
True,gini,26,6,4,30,0.9999094527754483,0.00011089724888852723,9.958,0,SP
True,gini,9,3,2,84,1.0,0.0,13.715,1,SP
False,entropy,7,3,4,66,1.0,0.0,13.872,2,SP
False,gini,8,5,8,181,1.0,0.0,18.867,3,SP
False,entropy,29,6,2,170,1.0,0.0,23.021,4,SP
