Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
SP,5,1,0,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004638671875,0.002585887908935547
SP,5,1,1,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0045719146728515625,0.005133867263793945
SP,5,1,2,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004550457000732422,0.00474858283996582
SP,5,1,3,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005135774612426758
SP,5,1,4,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0053751468658447266
SP,5,1,5,ET,0.9998901541503423,0.9999067975643097,0.9998663101604278,0.9999067975643097,0.9998865405809354,0.9997730811646989,0.9999067975643097,0.005140542984008789,0.0
SP,5,1,6,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
SP,5,1,7,ET,0.9998535388671231,0.9998757300857463,0.9998217627662418,0.9998757300857463,0.9998487228164412,0.9996974456395858,0.9998757300857463,0.0074787139892578125,0.0006473064422607422
SP,5,1,8,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
SP,5,1,9,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
