Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
pck_size_std_6,ACK,1,0,ET,0.923,0.5,0.4615,0.5,0.4799791991679667,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,2,0,ET,0.9265,0.5,0.46325,0.5,0.4809239553594602,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,3,0,ET,0.9345,0.5,0.46725,0.5,0.48307056086844147,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,4,0,ET,0.92875,0.5,0.464375,0.5,0.4815294880103694,0.0,0.5,0.01566481590270996,0.0
pck_size_std_6,ACK,5,0,ET,0.937,0.5,0.4685,0.5,0.48373773877129583,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,1,1,ET,0.93025,0.5,0.465125,0.5,0.48193239217717915,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,2,1,ET,0.93125,0.5,0.465625,0.5,0.482200647249191,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,3,1,ET,0.93375,0.5,0.466875,0.5,0.48287007110536523,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,4,1,ET,0.92425,0.5,0.462125,0.5,0.48031700662595816,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,5,1,ET,0.93025,0.5,0.465125,0.5,0.48193239217717915,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,1,2,ET,0.9265,0.5,0.46325,0.5,0.4809239553594602,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,2,2,ET,0.93025,0.5,0.465125,0.5,0.48193239217717915,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,3,2,ET,0.93125,0.5,0.465625,0.5,0.482200647249191,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,4,2,ET,0.929,0.5,0.4645,0.5,0.4815966822187662,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,5,2,ET,0.93275,0.5,0.466375,0.5,0.4826025093778295,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,1,3,ET,0.9245,0.5,0.46225,0.5,0.48038451545856065,0.0,0.5,0.015719890594482422,0.0
pck_size_std_6,ACK,2,3,ET,0.9345,0.5,0.46725,0.5,0.48307056086844147,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,3,3,ET,0.925,0.5,0.4625,0.5,0.4805194805194805,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,4,3,ET,0.9305,0.5,0.46525,0.5,0.481999481999482,0.0,0.5,0.015626192092895508,0.0
pck_size_std_6,ACK,5,3,ET,0.93525,0.5,0.467625,0.5,0.48327089523317407,0.0,0.5,0.010616779327392578,0.0
pck_size_std_6,ACK,1,4,ET,0.9245,0.5,0.46225,0.5,0.48038451545856065,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,2,4,ET,0.931,0.5,0.4655,0.5,0.4821336095287416,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,3,4,ET,0.92825,0.5,0.464125,0.5,0.48139504732270194,0.0,0.5,0.015637874603271484,0.0
pck_size_std_6,ACK,4,4,ET,0.9335,0.5,0.46675,0.5,0.48280320662011894,0.0,0.5,0.0,0.0
pck_size_std_6,ACK,5,4,ET,0.9325,0.5,0.46625,0.5,0.48253557567917205,0.0,0.5,0.0,0.0
