Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
payload_bytes_std_WE,ARP,1,0,ET,0.71425,0.6065987101813346,0.6144901736766126,0.6065987101813346,0.6098722792495315,0.22042314040568012,0.6065987101813345,0.0061037540435791016,0.001903533935546875
payload_bytes_std_WE,ARP,2,0,ET,0.71325,0.6002701890308866,0.6054642768235001,0.6002701890308866,0.6025530508947797,0.20543380750993212,0.6002701890308866,0.007150173187255859,0.0
payload_bytes_std_WE,ARP,3,0,ET,0.711,0.6052726866331402,0.6096274010485123,0.6052726866331402,0.6072323607917325,0.21468911777183652,0.60527268663314,0.0070149898529052734,0.0
payload_bytes_std_WE,ARP,4,0,ET,0.71025,0.615285919245747,0.6174972860817437,0.615285919245747,0.6163381996976223,0.2327298004038264,0.615285919245747,0.006617069244384766,0.0
payload_bytes_std_WE,ARP,5,0,ET,0.71175,0.6063213419058457,0.6077527695080289,0.6063213419058457,0.607013597312491,0.21405137091117554,0.6063213419058456,0.00615382194519043,0.0011012554168701172
payload_bytes_std_WE,ARP,1,1,ET,0.72125,0.6105856385248523,0.6176866127778596,0.6105856385248523,0.6136413703118391,0.22776606921847853,0.6105856385248523,0.00799870491027832,0.0
payload_bytes_std_WE,ARP,2,1,ET,0.727,0.6258456934686443,0.6280023820551843,0.6258456934686443,0.6268840306365112,0.2538047756494358,0.6258456934686443,0.007961750030517578,0.0010018348693847656
payload_bytes_std_WE,ARP,3,1,ET,0.71775,0.620518627775312,0.6237288469133356,0.620518627775312,0.6220234450922515,0.24414311336715167,0.620518627775312,0.008040428161621094,0.0
payload_bytes_std_WE,ARP,4,1,ET,0.7095,0.6052669174722606,0.6100170877780912,0.6052669174722606,0.6073793755912961,0.21503034495430684,0.6052669174722606,0.007896661758422852,0.0003070831298828125
payload_bytes_std_WE,ARP,5,1,ET,0.716,0.6133381900062916,0.6184700756364301,0.6133381900062916,0.6156339535972737,0.23153415817137601,0.6133381900062915,0.016980409622192383,0.0
payload_bytes_std_WE,ARP,1,2,ET,0.71175,0.6018219956383868,0.6032303283024999,0.6018219956383868,0.6025025789498225,0.20502989239290137,0.6018219956383867,0.0,0.0
payload_bytes_std_WE,ARP,2,2,ET,0.7015,0.593106933387094,0.5964118431021229,0.593106933387094,0.5946043674758621,0.1893807520699985,0.593106933387094,0.0,0.0
payload_bytes_std_WE,ARP,3,2,ET,0.70775,0.6108692100210958,0.6127155134159937,0.6108692100210958,0.6117529908761122,0.2235462747158372,0.6108692100210957,0.004107236862182617,0.0
payload_bytes_std_WE,ARP,4,2,ET,0.707,0.6005592841163311,0.6067381280634045,0.6005592841163311,0.603178768303464,0.20685408009961703,0.6005592841163311,0.0,0.0
payload_bytes_std_WE,ARP,5,2,ET,0.7155,0.618257034729192,0.6195402008569673,0.618257034729192,0.6188818905601599,0.23778011831822676,0.618257034729192,0.0,0.0
payload_bytes_std_WE,ARP,1,3,ET,0.7065,0.6030439283172673,0.6036137132448608,0.6030439283172673,0.6033247736180565,0.20665383617334143,0.6030439283172673,0.016427278518676758,0.0
payload_bytes_std_WE,ARP,2,3,ET,0.7145,0.6082869025509151,0.6150329313928145,0.6082869025509151,0.611173021536316,0.22283530369309745,0.6082869025509151,0.015105247497558594,0.0
payload_bytes_std_WE,ARP,3,3,ET,0.713,0.6082927950002058,0.6132298561845371,0.6082927950002058,0.610494129590096,0.2212588201935457,0.6082927950002058,0.0,0.0
payload_bytes_std_WE,ARP,4,3,ET,0.70325,0.5959760453030445,0.6057545904917735,0.5959760453030445,0.5996213774188313,0.20058296157410405,0.5959760453030445,0.0,0.0
payload_bytes_std_WE,ARP,5,3,ET,0.7235,0.6119387349098135,0.6139673148529776,0.6119387349098135,0.6129130254766926,0.22586506604119916,0.6119387349098135,0.0,0.0
payload_bytes_std_WE,ARP,1,4,ET,0.71525,0.6069443858056617,0.6153951694101795,0.6069443858056617,0.610410988188766,0.22158405935370296,0.6069443858056617,0.011454105377197266,0.0008938312530517578
payload_bytes_std_WE,ARP,2,4,ET,0.7125,0.6028806187805552,0.606492841515883,0.6028806187805552,0.604535802405454,0.20922823770324117,0.6028806187805552,0.007734060287475586,0.0006883144378662109
payload_bytes_std_WE,ARP,3,4,ET,0.71075,0.6067698556861612,0.6103013747279658,0.6067698556861612,0.6083931468800704,0.2169326636539668,0.6067698556861612,0.006905555725097656,0.0
payload_bytes_std_WE,ARP,4,4,ET,0.713,0.6168149210903874,0.6201103209314731,0.6168149210903874,0.6183490337714562,0.23680995869931942,0.6168149210903874,0.010356664657592773,0.001004934310913086
payload_bytes_std_WE,ARP,5,4,ET,0.713,0.6095729397715434,0.6103410570590106,0.6095729397715434,0.6099504759419628,0.21990757807464623,0.6095729397715434,0.006196260452270508,0.0009908676147460938
