Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
sum,BF,1,0,ET,0.9510223490252021,0.4982561036372696,0.4770992366412214,0.4982561036372696,0.48744820862783333,-0.0062434673541913455,0.4982561036372696,0.0,0.0
sum,BF,2,0,ET,0.9471931493815414,0.5030092758184896,0.5376671442215855,0.5030092758184896,0.49528319233023926,0.010701898696607093,0.5030092758184896,0.014507055282592773,0.0009291172027587891
sum,BF,3,0,ET,0.9533777354900095,0.49825957235206364,0.4782816229116945,0.49825957235206364,0.4880662445202143,-0.006223073240785082,0.49825957235206364,0.0,0.0
sum,BF,4,0,ET,0.9391056137012369,0.4992412746585736,0.47022391615054787,0.4992412746585736,0.48429833169774295,-0.0027953157961433384,0.4992412746585736,0.0,0.015105724334716797
sum,BF,5,0,ET,0.9524262607040913,0.49850597609561753,0.4775763358778626,0.49850597609561753,0.48781676413255365,-0.0053952705288129454,0.49850597609561753,0.0,0.0
sum,BF,1,1,ET,0.9529243937232525,0.49825957235206364,0.4780534351145038,0.49825957235206364,0.48794740686632576,-0.006224958798312308,0.49825957235206364,0.002000570297241211,0.0
sum,BF,2,1,ET,0.9424357754519506,0.496740220661986,0.474150311153662,0.496740220661986,0.485182463874602,-0.011163500759340694,0.496740220661986,0.002001047134399414,0.0
sum,BF,3,1,ET,0.9433872502378687,0.49824120603015076,0.4732696897374702,0.49824120603015076,0.4854345165238678,-0.0063080822303576145,0.49824120603015076,0.0019385814666748047,0.0
sum,BF,4,1,ET,0.9495718363463368,0.49701195219123506,0.47751196172248805,0.49701195219123506,0.4870668618838458,-0.010228694753259937,0.49701195219123506,0.007036685943603516,0.0010044574737548828
sum,BF,5,1,ET,0.9438629876308278,0.49674511767651475,0.4748683580660603,0.49674511767651475,0.4855604503181596,-0.011128957302308118,0.49674511767651475,0.0009999275207519531,0.0009989738464355469
sum,BF,1,2,ET,0.9467427484545887,0.501953492052502,0.5145380934854619,0.501953492052502,0.49508669033287034,0.006663405253125032,0.501953492052502,0.001998424530029297,0.0
sum,BF,2,2,ET,0.9433872502378687,0.49575,0.47553956834532374,0.49575,0.4854345165238678,-0.014059269469331559,0.49575,0.000995635986328125,0.0
sum,BF,3,2,ET,0.9519505233111323,0.49800895968143355,0.4777936962750716,0.49800895968143355,0.48769193273214717,-0.007058354758223029,0.49800895968143355,0.0010025501251220703,0.0009963512420654297
sum,BF,4,2,ET,0.9448144624167459,0.496996996996997,0.4751196172248804,0.496996996996997,0.4858121330724071,-0.010342427155501044,0.496996996996997,0.0009951591491699219,0.0010006427764892578
sum,BF,5,2,ET,0.9414843006660324,0.49698643897538924,0.473444976076555,0.49698643897538924,0.4849301641754472,-0.010411048842825954,0.49698643897538924,0.0,0.0
sum,BF,1,3,ET,0.9500713266761769,0.4987518721917124,0.47616777883698763,0.4987518721917124,0.48719824433065106,-0.004549280076427964,0.4987518721917124,0.0,0.0
sum,BF,2,3,ET,0.9486203615604186,0.4977533699450824,0.47634973721930246,0.4977533699450824,0.48681640625,-0.007911771757372232,0.4977533699450824,0.0,0.0
sum,BF,3,3,ET,0.9514747859181731,0.4975124378109453,0.4780114722753346,0.4975124378109453,0.48756704046806437,-0.008656216480683598,0.4975124378109453,0.0,0.0
sum,BF,4,3,ET,0.9414843006660324,0.49924318869828455,0.47141495950452594,0.49924318869828455,0.4849301641754472,-0.00279258104302893,0.49924318869828455,0.0,0.0
sum,BF,5,3,ET,0.9495718363463368,0.4985014985014985,0.4761450381679389,0.4985014985014985,0.48706686188384574,-0.005414869230907948,0.4985014985014985,0.0,0.0
sum,BF,1,4,ET,0.9538754160722777,0.4995019920318725,0.47739171822941456,0.4995019920318725,0.48819664151861764,-0.0018663038833854895,0.4995019920318725,0.0,0.0
sum,BF,2,4,ET,0.9438629876308278,0.49724310776942354,0.47441415590626496,0.49724310776942354,0.4855604503181596,-0.009581491521560404,0.49724310776942354,0.0,0.0
sum,BF,3,4,ET,0.9514747859181731,0.49776007964161273,0.47778308647873863,0.49776007964161273,0.48756704046806437,-0.007869129882950077,0.49776007964161273,0.01572108268737793,0.0
sum,BF,4,4,ET,0.9381541389153187,0.4982314300151592,0.47064439140811454,0.4982314300151592,0.48404516445753554,-0.006341653838505268,0.4982314300151592,0.0,0.0
sum,BF,5,4,ET,0.9524262607040913,0.49825783972125437,0.4778042959427208,0.49825783972125437,0.48781676413255365,-0.006232706871295957,0.49825783972125437,0.0009562969207763672,0.0
