Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
pck_size_mean_2,SP,1,0,ET,0.9977767896843042,0.9897959183673469,0.9987555998008959,0.9897959183673469,0.9942223854945653,0.9884449194124326,0.9897959183673469,0.0,0.0
pck_size_mean_2,SP,2,0,ET,0.9995553579368608,0.9980314960629921,0.999749498997996,0.9980314960629921,0.9988885248218748,0.9977770507423503,0.9980314960629921,0.0,0.0
pck_size_mean_2,SP,3,0,ET,0.9991103202846975,0.9995012468827931,0.9959183673469387,0.9995012468827931,0.9977013186741271,0.9954026467502561,0.999501246882793,0.0,0.0
pck_size_mean_2,SP,4,0,ET,0.9991103202846975,0.995850622406639,0.9995022399203584,0.995850622406639,0.9976676626826029,0.9953353350445405,0.995850622406639,0.0,0.0
pck_size_mean_2,SP,5,0,ET,0.9986654804270463,0.9942084942084942,0.9992469879518072,0.9942084942084942,0.9967105888894578,0.9934212066583944,0.9942084942084942,0.0,0.0
pck_size_mean_2,SP,1,1,ET,0.9991107158737217,0.9959016393442623,0.9995017438963627,0.9959016393442623,0.9976931345880055,0.9953862786408703,0.9959016393442623,0.0,0.0
pck_size_mean_2,SP,2,1,ET,0.9982214317474433,0.991701244813278,0.9990059642147118,0.991701244813278,0.995318387143779,0.9906368522504444,0.991701244813278,0.0,0.0
pck_size_mean_2,SP,3,1,ET,0.9986654804270463,0.9943609022556391,0.9992443324937028,0.9943609022556391,0.9967863417618795,0.9935727110884076,0.9943609022556391,0.0,0.0
pck_size_mean_2,SP,4,1,ET,0.998220640569395,0.9990049751243781,0.9917355371900827,0.9990049751243781,0.9953353253652059,0.9906707281646069,0.9990049751243781,0.0,0.0
pck_size_mean_2,SP,5,1,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015623331069946289,0.0
pck_size_mean_2,SP,1,2,ET,0.9995553579368608,0.9980392156862745,0.9997493734335839,0.9980392156862745,0.9988923370309608,0.9977846751529993,0.9980392156862745,0.0,0.0
pck_size_mean_2,SP,2,2,ET,0.9995553579368608,0.997983870967742,0.9997502497502497,0.997983870967742,0.9988649926696391,0.9977299864848906,0.997983870967742,0.0,0.0
pck_size_mean_2,SP,3,2,ET,0.9986654804270463,0.9939516129032258,0.9992511233150274,0.9939516129032258,0.9965826846903363,0.9931654005496866,0.9939516129032258,0.0,0.0
pck_size_mean_2,SP,4,2,ET,0.9986654804270463,0.9952687814870176,0.9972541643321505,0.9952687814870176,0.9962589345396754,0.9925178732298735,0.9952687814870176,0.0,0.0
pck_size_mean_2,SP,5,2,ET,0.9991103202846975,0.9962686567164178,0.9994954591321897,0.9962686567164178,0.9978749430450705,0.9957498941254764,0.9962686567164178,0.0,0.0
pck_size_mean_2,SP,1,3,ET,0.9995553579368608,0.997907949790795,0.9997513674788663,0.997907949790795,0.9988274347933308,0.9976548708093459,0.997907949790795,0.0,0.0
pck_size_mean_2,SP,2,3,ET,0.9982214317474433,0.9943506382108924,0.9974281422390681,0.9943506382108924,0.9958827923052702,0.991765599685123,0.9943506382108925,0.0,0.0
pck_size_mean_2,SP,3,3,ET,0.9995551601423488,0.9980769230769231,0.9997486173956762,0.9980769230769231,0.9989108859564848,0.99782177296828,0.9980769230769231,0.0,0.0
pck_size_mean_2,SP,4,3,ET,0.9986654804270463,0.9931192660550459,0.9992621741269061,0.9931192660550459,0.9961666114357075,0.9923332620923919,0.9931192660550459,0.0,0.0
pck_size_mean_2,SP,5,3,ET,0.9986654804270463,0.9974759583770867,0.9957177419354839,0.9974759583770867,0.9965947906962653,0.9931895848312746,0.9974759583770868,0.0,0.0
pck_size_mean_2,SP,1,4,ET,0.9991107158737217,0.9958847736625515,0.9995019920318725,0.9958847736625515,0.9976847562457021,0.9953695220251393,0.9958847736625515,0.0,0.0
pck_size_mean_2,SP,2,4,ET,0.9986660738105825,0.995917073321153,0.9975741578682755,0.995917073321153,0.9967437525850416,0.9934875083131517,0.995917073321153,0.0,0.0
pck_size_mean_2,SP,3,4,ET,0.9995551601423488,0.9978448275862069,0.9997521070897373,0.9978448275862069,0.9987961092048911,0.9975922196992417,0.9978448275862069,0.0,0.0
pck_size_mean_2,SP,4,4,ET,0.9977758007117438,0.9950692594621275,0.9932519920318725,0.9950692594621275,0.9941584383281284,0.9883168827281118,0.9950692594621275,0.0,0.0
pck_size_mean_2,SP,5,4,ET,0.9991103202846975,0.9962546816479401,0.9994957135653051,0.9962546816479401,0.9978680303179746,0.9957360687236468,0.9962546816479401,0.0,0.0
