Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ICMP_reserved,UDP,1,0,ET,0.6115,0.5,0.30575,0.5,0.37946013031337267,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,2,0,ET,0.6095,0.5,0.30475,0.5,0.37868903386144764,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,3,0,ET,0.612,0.5,0.306,0.5,0.37965260545905705,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,4,0,ET,0.61375,0.5,0.306875,0.5,0.3803253292021689,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,5,0,ET,0.59325,0.5,0.296625,0.5,0.37235211046602856,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,1,1,ET,0.61925,0.5,0.309625,0.5,0.3824301374092944,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,2,1,ET,0.61125,0.5,0.305625,0.5,0.3793638479441427,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,3,1,ET,0.605,0.5,0.3025,0.5,0.37694704049844235,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,4,1,ET,0.61025,0.5,0.305125,0.5,0.3789784195000776,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,5,1,ET,0.59425,0.5,0.297125,0.5,0.3727458052375725,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,1,2,ET,0.59925,0.5,0.299625,0.5,0.3747068938564952,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,2,2,ET,0.606,0.5,0.303,0.5,0.37733499377334995,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,3,2,ET,0.604,0.5,0.302,0.5,0.3765586034912718,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,4,2,ET,0.61775,0.5,0.308875,0.5,0.3818575181579354,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,5,2,ET,0.613,0.5,0.3065,0.5,0.3800371977681339,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,1,3,ET,0.60975,0.5,0.304875,0.5,0.37878552570274887,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,2,3,ET,0.61925,0.5,0.309625,0.5,0.3824301374092944,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,3,3,ET,0.607,0.5,0.3035,0.5,0.3777224642190417,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,4,3,ET,0.59575,0.5,0.297875,0.5,0.3733354222152593,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,5,3,ET,0.60825,0.5,0.304125,0.5,0.37820612466967196,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,1,4,ET,0.60675,0.5,0.303375,0.5,0.3776256418235569,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,2,4,ET,0.60175,0.5,0.300875,0.5,0.3756828468862182,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,3,4,ET,0.6045,0.5,0.30225,0.5,0.3767528825179184,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,4,4,ET,0.61775,0.5,0.308875,0.5,0.3818575181579354,0.0,0.5,0.0,0.0
ICMP_reserved,UDP,5,4,ET,0.60925,0.5,0.304625,0.5,0.37859251203977007,0.0,0.5,0.0,0.0
