Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
random,ACK,0,0,ET,0.49865,0.49865,0.4946710075454981,0.49865,0.38358565947292933,-0.0026999999999999247,0.49865,0.018167495727539062,0.00616455078125
random,ACK,0,1,ET,0.4993,0.4993,0.4973224358000432,0.4993,0.3859138497840783,-0.0014000000000000679,0.49929999999999997,0.018035411834716797,0.006373167037963867
random,ACK,0,2,ET,0.49875,0.49874999999999997,0.4952028612131335,0.49874999999999997,0.38507721769394204,-0.0024999999999999467,0.49874999999999997,0.018713951110839844,0.006024837493896484
random,ACK,0,3,ET,0.50015,0.50015,0.5005810298180242,0.50015,0.38634119182355897,0.00029999999999996696,0.5001500000000001,0.016469240188598633,0.0061452388763427734
random,ACK,0,4,ET,0.49845,0.49845,0.4939064602332646,0.49845,0.3835361722718645,-0.0031000000000001027,0.49845,0.018157958984375,0.005938053131103516
random,ACK,0,5,ET,0.49785,0.49785,0.49158195074705097,0.49785,0.38299508971174906,-0.0042999999999999705,0.49785,0.01735067367553711,0.006816387176513672
random,ACK,0,6,ET,0.50035,0.50035,0.5013431988603226,0.50035,0.38704006348284925,0.0007000000000000339,0.5003500000000001,0.01211237907409668,0.015726566314697266
random,ACK,0,7,ET,0.4991,0.4991,0.49659763957843395,0.4991,0.38625016075859236,-0.0018000000000000238,0.4991,0.015733957290649414,0.015635013580322266
random,ACK,0,8,ET,0.5007,0.5007,0.5027956347840228,0.5007,0.3855507250519904,0.0013999999999999568,0.5007,0.01815199851989746,0.006479501724243164
random,ACK,0,9,ET,0.5012,0.5012,0.5044332136365651,0.5012,0.38997469642435656,0.0023999999999999577,0.5012,0.01730513572692871,0.0068798065185546875
random,ACK,0,10,ET,0.49905,0.49905,0.4963003866407507,0.49905,0.3847303805654462,-0.0019000000000000128,0.49905000000000005,0.012215375900268555,0.00608062744140625
random,ACK,0,11,ET,0.49975,0.49974999999999997,0.4990418368891341,0.49974999999999997,0.3863687211731872,-0.0004999999999999449,0.49975,0.005894660949707031,0.00621795654296875
random,ACK,0,12,ET,0.4996,0.49960000000000004,0.49843066948895065,0.49960000000000004,0.3850475415763901,-0.0007999999999999119,0.49960000000000004,0.019692420959472656,0.006009578704833984
random,ACK,0,13,ET,0.49885,0.49885,0.4956609784357797,0.49885,0.3860405937059127,-0.0022999999999999687,0.49885,0.018435001373291016,0.005697965621948242
random,ACK,0,14,ET,0.49835,0.49834999999999996,0.4937010204232387,0.49834999999999996,0.3848459576073026,-0.0033000000000000806,0.49834999999999996,0.018099308013916016,0.005757570266723633
random,ACK,0,15,ET,0.4977,0.4977,0.49092716485735927,0.4977,0.382450428829963,-0.0045999999999999375,0.49770000000000003,0.005074024200439453,0.015732765197753906
random,ACK,0,16,ET,0.5002,0.5002,0.500768049155146,0.5002,0.38682370261317633,0.00039999999999995595,0.5002,0.015632152557373047,0.016209125518798828
random,ACK,0,17,ET,0.4997,0.4997,0.4988165867205251,0.4997,0.38490931623259106,-0.0005999999999999339,0.49970000000000003,0.015617847442626953,0.015627145767211914
random,ACK,0,18,ET,0.50005,0.50005,0.5001931611749593,0.50005,0.38634816890795187,9.999999999998899e-05,0.50005,0.015702247619628906,0.0116119384765625
random,ACK,0,19,ET,0.5001,0.5001,0.5003928648822953,0.5001,0.3855968187016905,0.00019999999999997797,0.5001,0.015607833862304688,0.0162353515625
random,ACK,0,20,ET,0.4982,0.4982,0.49322164104070404,0.4982,0.38534109557621365,-0.0036000000000000476,0.49820000000000003,0.012438774108886719,0.009314537048339844
random,ACK,0,21,ET,0.4983,0.4983,0.49337519069708424,0.4983,0.3837766004584962,-0.0034000000000000696,0.49829999999999997,0.01622462272644043,0.01735210418701172
random,ACK,0,22,ET,0.4981,0.49810000000000004,0.49260573794735285,0.49810000000000004,0.3835962168355974,-0.0038000000000000256,0.4981,0.013183832168579102,0.006116151809692383
random,ACK,0,23,ET,0.4994,0.4994,0.4976234502717268,0.4994,0.384344222860701,-0.0012000000000000899,0.49939999999999996,0.015732526779174805,0.007120847702026367
random,ACK,0,24,ET,0.49765,0.49765,0.4909813790806909,0.49765,0.3837277612140685,-0.0046999999999999265,0.49765000000000004,0.015727758407592773,0.015619516372680664
