Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
pck_size_mean_WE,BF,0,0,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.002090930938720703,0.001016855239868164
pck_size_mean_WE,BF,0,1,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0009081363677978516,0.0
pck_size_mean_WE,BF,0,2,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0009944438934326172,0.0
pck_size_mean_WE,BF,0,3,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0010037422180175781,0.0008933544158935547
pck_size_mean_WE,BF,0,4,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0009999275207519531,0.0
pck_size_mean_WE,BF,0,5,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.001001119613647461,0.0010848045349121094
pck_size_mean_WE,BF,0,6,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0010001659393310547,0.0010001659393310547
pck_size_mean_WE,BF,0,7,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0010006427764892578,0.0
pck_size_mean_WE,BF,0,8,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0009987354278564453,0.00099945068359375
pck_size_mean_WE,BF,0,9,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0011012554168701172,0.0
pck_size_mean_WE,BF,0,10,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.001005411148071289,0.0
pck_size_mean_WE,BF,0,11,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0011010169982910156,0.0010023117065429688
pck_size_mean_WE,BF,0,12,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0009021759033203125,0.0
pck_size_mean_WE,BF,0,13,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.001100301742553711,0.0010020732879638672
pck_size_mean_WE,BF,0,14,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0009963512420654297,0.0010018348693847656
pck_size_mean_WE,BF,0,15,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0010089874267578125,0.00099945068359375
pck_size_mean_WE,BF,0,16,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0010006427764892578,0.0010311603546142578
pck_size_mean_WE,BF,0,17,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.002040386199951172,0.0
pck_size_mean_WE,BF,0,18,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.001531839370727539,0.0010335445404052734
pck_size_mean_WE,BF,0,19,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0011336803436279297,0.00017023086547851562
pck_size_mean_WE,BF,0,20,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0009989738464355469,0.0009009838104248047
pck_size_mean_WE,BF,0,21,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.00099945068359375,0.0
pck_size_mean_WE,BF,0,22,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.001001596450805664,0.0009987354278564453
pck_size_mean_WE,BF,0,23,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0010247230529785156,0.0009746551513671875
pck_size_mean_WE,BF,0,24,ET,0.5,0.5,0.25,0.5,0.3333333333333333,0.0,0.5,0.0009999275207519531,0.0009982585906982422
