Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
TCP_seq,SP,0,0,ET,0.5912843348176314,0.5910183238209672,0.7751940117783037,0.5910183238209672,0.5090027187961498,0.18213348367660975,0.5910183238209672,0.0,0.0
TCP_seq,SP,0,1,ET,0.5581127733026467,0.5578251727245419,0.7655055225148684,0.5578251727245419,0.45049866808673655,0.11571686265797021,0.5578251727245419,0.0,0.0
TCP_seq,SP,0,2,ET,0.5161354880672437,0.5158205667367578,0.7541812820903868,0.5158205667367578,0.36770010111177087,0.03166106199908725,0.5158205667367578,0.0,0.0
TCP_seq,SP,0,3,ET,0.5265422524641017,0.5262341043356363,0.7568977033345322,0.5262341043356363,0.38926128539663774,0.052500543528408716,0.5262341043356363,0.0,0.0
TCP_seq,SP,0,4,ET,0.530895081803172,0.5305897666967058,0.7580511973575557,0.5305897666967058,0.39806633059799584,0.06121688997840047,0.5305897666967058,0.0,0.0
TCP_seq,SP,0,5,ET,0.5575123830489819,0.557224391709222,0.7653364466143069,0.557224391709222,0.44938797083371806,0.11451469902862077,0.557224391709222,0.0,0.0
TCP_seq,SP,0,6,ET,0.5673687897133136,0.5670872133773907,0.7681396471282244,0.5670872133773907,0.46737809587487655,0.13424998084808792,0.5670872133773907,0.0,0.0
TCP_seq,SP,0,7,ET,0.5259918947315755,0.5256833884049265,0.7567525932011914,0.5256833884049265,0.38813922197772366,0.05139846970224027,0.5256833884049265,0.0,0.0
TCP_seq,SP,0,8,ET,0.5708710661930254,0.5705917693000901,0.7691500242235022,0.5705917693000901,0.4736485308765686,0.1412623956061504,0.5705917693000901,0.0,0.0
TCP_seq,SP,0,9,ET,0.5146345124330814,0.514318614198458,0.7537942236434698,0.514318614198458,0.3645289692207424,0.028655320959708463,0.514318614198458,0.0050160884857177734,0.0
TCP_seq,SP,0,10,ET,0.5903837494371341,0.5901171522979873,0.7749216473305108,0.5901171522979873,0.5074840905224799,0.18033039323161126,0.5901171522979873,0.0,0.01562643051147461
TCP_seq,SP,0,11,ET,0.5493070495822284,0.5490137178331831,0.763047138047138,0.5490137178331831,0.43400843141600287,0.098084941118177,0.5490137178331831,0.0,0.0
TCP_seq,SP,0,12,ET,0.5381998298894282,0.5378992690497647,0.7600104004160166,0.5378992690497647,0.4125721961723451,0.07584409999779085,0.5378992690497647,0.0,0.0
TCP_seq,SP,0,13,ET,0.5893830990143594,0.5891158506057875,0.7746196517822815,0.5891158506057875,0.505792429433257,0.17832695444626434,0.5891158506057875,0.0,0.0
TCP_seq,SP,0,14,ET,0.555360984640016,0.5550715930709923,0.7647323555885,0.5550715930709923,0.44539177796480944,0.1102069305942649,0.5550715930709923,0.0,0.0
TCP_seq,SP,0,15,ET,0.5814279281532997,0.5811555021527987,0.7722421866492432,0.5811555021527987,0.49217979703426706,0.1623994304458618,0.5811555021527987,0.0,0.0
TCP_seq,SP,0,16,ET,0.57347275729224,0.5731951536998098,0.7699055330634278,0.5731951536998098,0.4782664177965935,0.14647157661198562,0.5731951536998098,0.0,0.0
TCP_seq,SP,0,17,ET,0.5874318306899484,0.5871633123059978,0.7740326646936315,0.5871633123059978,0.502480587624282,0.17442023380506377,0.5871633123059978,0.0,0.0
TCP_seq,SP,0,18,ET,0.574623505278431,0.5743466506458396,0.7702410550210788,0.5743466506458396,0.48029817844391165,0.1487756261883454,0.5743466506458396,0.0,0.0070285797119140625
TCP_seq,SP,0,19,ET,0.5570120578375944,0.556723740863122,0.7651957144372548,0.556723740863122,0.44846088818277874,0.1135128945688928,0.556723740863122,0.0,0.0
TCP_seq,SP,0,20,ET,0.5933857007054586,0.593121057374587,0.7758316323716004,0.593121057374587,0.5125320460034386,0.18634067827676282,0.593121057374587,0.0,0.0
TCP_seq,SP,0,21,ET,0.5967378796217542,0.5964754180434565,0.7768549280177187,0.5964754180434565,0.5181216752848969,0.1930521077393057,0.5964754180434565,0.0,0.0
TCP_seq,SP,0,22,ET,0.5531595537099114,0.5528687293481526,0.7641170566795203,0.5528687293481526,0.44127618335097407,0.10579895652472915,0.5528687293481526,0.0,0.0
TCP_seq,SP,0,23,ET,0.5088807725021264,0.5085611294683088,0.7523213564796125,0.5085611294683088,0.3522244168644671,0.017133204836300875,0.5085611294683088,0.0,0.0
TCP_seq,SP,0,24,ET,0.5855305948866764,0.585260839090818,0.7734631371691096,0.585260839090818,0.49923684965362325,0.17061366640113174,0.585260839090818,0.0,0.015007257461547852
