Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
pck_size_mean_6,SYN,0,0,ET,0.5279455023997522,0.5390778533635676,0.7541327312313524,0.5390778533635676,0.40947692588542967,0.076412302286614,0.5390778533635676,0.0,0.0
pck_size_mean_6,SYN,0,1,ET,0.5267843319399288,0.5379440665154951,0.7538257087628866,0.5379440665154951,0.4072520428754699,0.07419123999164035,0.5379440665154951,0.0,0.0
pck_size_mean_6,SYN,0,2,ET,0.5267843319399288,0.5379440665154951,0.7538257087628866,0.5379440665154951,0.4072520428754699,0.07419123999164035,0.5379440665154951,0.01563262939453125,0.0006999969482421875
pck_size_mean_6,SYN,0,3,ET,0.5279455023997522,0.5390778533635676,0.7541327312313524,0.5390778533635676,0.40947692588542967,0.076412302286614,0.5390778533635676,0.015725374221801758,0.0
pck_size_mean_6,SYN,0,4,ET,0.5279455023997522,0.5390778533635676,0.7541327312313524,0.5390778533635676,0.40947692588542967,0.076412302286614,0.5390778533635676,0.0,0.0
pck_size_mean_6,SYN,0,5,ET,0.5267843319399288,0.5379440665154951,0.7538257087628866,0.5379440665154951,0.4072520428754699,0.07419123999164035,0.5379440665154951,0.015633106231689453,0.0
pck_size_mean_6,SYN,0,6,ET,0.5267843319399288,0.5379440665154951,0.7538257087628866,0.5379440665154951,0.4072520428754699,0.07419123999164035,0.5379440665154951,0.00099945068359375,0.0
pck_size_mean_6,SYN,0,7,ET,0.5267843319399288,0.5379440665154951,0.7538257087628866,0.5379440665154951,0.4072520428754699,0.07419123999164035,0.5379440665154951,0.0006766319274902344,0.0
pck_size_mean_6,SYN,0,8,ET,0.5279455023997522,0.5390778533635676,0.7541327312313524,0.5390778533635676,0.40947692588542967,0.076412302286614,0.5390778533635676,0.0005156993865966797,0.0
pck_size_mean_6,SYN,0,9,ET,0.5279455023997522,0.5390778533635676,0.7541327312313524,0.5390778533635676,0.40947692588542967,0.076412302286614,0.5390778533635676,0.0009009838104248047,0.001027822494506836
pck_size_mean_6,SYN,0,10,ET,0.5281003251277288,0.5392290249433107,0.7541737236873942,0.5392290249433107,0.40977298857320327,0.07670846234221107,0.5392290249433107,0.0009989738464355469,0.0010004043579101562
pck_size_mean_6,SYN,0,11,ET,0.5279455023997522,0.5390778533635676,0.7541327312313524,0.5390778533635676,0.40947692588542967,0.076412302286614,0.5390778533635676,0.0,0.00617527961730957
pck_size_mean_6,SYN,0,12,ET,0.5267843319399288,0.5379440665154951,0.7538257087628866,0.5379440665154951,0.4072520428754699,0.07419123999164035,0.5379440665154951,0.0,0.0
pck_size_mean_6,SYN,0,13,ET,0.5279455023997522,0.5390778533635676,0.7541327312313524,0.5390778533635676,0.40947692588542967,0.076412302286614,0.5390778533635676,0.0009992122650146484,0.0009999275207519531
pck_size_mean_6,SYN,0,14,ET,0.5279455023997522,0.5390778533635676,0.7541327312313524,0.5390778533635676,0.40947692588542967,0.076412302286614,0.5390778533635676,0.0,0.0
pck_size_mean_6,SYN,0,15,ET,0.5279455023997522,0.5390778533635676,0.7541327312313524,0.5390778533635676,0.40947692588542967,0.076412302286614,0.5390778533635676,0.0,0.0
pck_size_mean_6,SYN,0,16,ET,0.5279455023997522,0.5390778533635676,0.7541327312313524,0.5390778533635676,0.40947692588542967,0.076412302286614,0.5390778533635676,0.0,0.0
pck_size_mean_6,SYN,0,17,ET,0.5279455023997522,0.5390778533635676,0.7541327312313524,0.5390778533635676,0.40947692588542967,0.076412302286614,0.5390778533635676,0.0,0.0
pck_size_mean_6,SYN,0,18,ET,0.5279455023997522,0.5390778533635676,0.7541327312313524,0.5390778533635676,0.40947692588542967,0.076412302286614,0.5390778533635676,0.0156705379486084,0.0
pck_size_mean_6,SYN,0,19,ET,0.5267843319399288,0.5379440665154951,0.7538257087628866,0.5379440665154951,0.4072520428754699,0.07419123999164035,0.5379440665154951,0.0,0.0
pck_size_mean_6,SYN,0,20,ET,0.5267843319399288,0.5379440665154951,0.7538257087628866,0.5379440665154951,0.4072520428754699,0.07419123999164035,0.5379440665154951,0.0,0.0
pck_size_mean_6,SYN,0,21,ET,0.5267843319399288,0.5379440665154951,0.7538257087628866,0.5379440665154951,0.4072520428754699,0.07419123999164035,0.5379440665154951,0.0,0.0
pck_size_mean_6,SYN,0,22,ET,0.5279455023997522,0.5390778533635676,0.7541327312313524,0.5390778533635676,0.40947692588542967,0.076412302286614,0.5390778533635676,0.0,0.0
pck_size_mean_6,SYN,0,23,ET,0.5281003251277288,0.5392290249433107,0.7541737236873942,0.5392290249433107,0.40977298857320327,0.07670846234221107,0.5392290249433107,0.0,0.0
pck_size_mean_6,SYN,0,24,ET,0.5267843319399288,0.5379440665154951,0.7538257087628866,0.5379440665154951,0.4072520428754699,0.07419123999164035,0.5379440665154951,0.0,0.0
