Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
dport23,BF,0,0,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
dport23,BF,0,1,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
dport23,BF,0,2,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002068042755126953,0.0
dport23,BF,0,3,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016764163970947266,0.0
dport23,BF,0,4,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
dport23,BF,0,5,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0019888877868652344,0.0
dport23,BF,0,6,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0020456314086914062,0.0
dport23,BF,0,7,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0060765743255615234,0.0
dport23,BF,0,8,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010285377502441406,0.0011031627655029297
dport23,BF,0,9,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
dport23,BF,0,10,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
dport23,BF,0,11,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0019943714141845703,0.0
dport23,BF,0,12,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010013580322265625,0.0013616085052490234
dport23,BF,0,13,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0011150836944580078,0.0
dport23,BF,0,14,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
dport23,BF,0,15,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015940666198730469,0.0
dport23,BF,0,16,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010576009750366211,0.0
dport23,BF,0,17,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001024484634399414,0.0011572837829589844
dport23,BF,0,18,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.009540081024169922
dport23,BF,0,19,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010042190551757812,0.0010001659393310547
dport23,BF,0,20,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014044046401977539,0.0
dport23,BF,0,21,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
dport23,BF,0,22,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007059335708618164,0.0006372928619384766
dport23,BF,0,23,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010073184967041016,0.0009963512420654297
dport23,BF,0,24,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0066547393798828125
