Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
entropy_mean_2,BF,0,0,ET,0.9579047619047619,0.81165,0.7656619957664568,0.81165,0.7865179827205144,0.57320213352952,0.81165,0.0,0.0
entropy_mean_2,BF,0,1,ET,0.9699047619047619,0.81795,0.839992095544676,0.81795,0.8285523306031921,0.6571251420894906,0.81795,0.0030028820037841797,0.0
entropy_mean_2,BF,0,2,ET,0.9734285714285714,0.8198000000000001,0.8700995658100216,0.8198000000000001,0.8428882097187922,0.6858613479170017,0.8198000000000001,0.0,0.006740570068359375
entropy_mean_2,BF,0,3,ET,0.9712380952380952,0.8148500000000001,0.8525863273774968,0.8148500000000001,0.8325134538546308,0.665082382762991,0.81485,0.010100126266479492,0.0
entropy_mean_2,BF,0,4,ET,0.9573333333333334,0.81135,0.7629025317678466,0.81135,0.7847375637893437,0.5696642576159546,0.8113499999999999,0.0,0.0
entropy_mean_2,BF,0,5,ET,0.9718095238095238,0.8189500000000001,0.8556467720051631,0.8189500000000001,0.8361717232394311,0.6723938020449036,0.81895,0.0,0.0
entropy_mean_2,BF,0,6,ET,0.958952380952381,0.8122,0.7708687355531614,0.8122,0.7898287323605098,0.579785505362366,0.8122,0.0036208629608154297,0.0011105537414550781
entropy_mean_2,BF,0,7,ET,0.9716190476190476,0.8188500000000001,0.8540184789096698,0.8188500000000001,0.8353963239880109,0.670839469808542,0.81885,0.0020940303802490234,0.0009996891021728516
entropy_mean_2,BF,0,8,ET,0.9575238095238096,0.8124,0.7637891470187097,0.8124,0.7856985568081413,0.5715853993230262,0.8124,0.0020034313201904297,0.0009949207305908203
entropy_mean_2,BF,0,9,ET,0.9575238095238096,0.8124,0.7637891470187097,0.8124,0.7856985568081413,0.5715853993230262,0.8124,0.0,0.0
entropy_mean_2,BF,0,10,ET,0.9786666666666667,0.82255,0.9258508567451185,0.82255,0.866288606038252,0.7328183573781666,0.8225499999999999,0.003993511199951172,0.0009443759918212891
entropy_mean_2,BF,0,11,ET,0.9763809523809523,0.82135,0.8996298061282457,0.82135,0.8557468270395592,0.7116598383346251,0.82135,0.0,0.0
entropy_mean_2,BF,0,12,ET,0.9705714285714285,0.8183,0.8453162296024209,0.8183,0.8311854858124785,0.6624004994537225,0.8183,0.002996206283569336,0.0019483566284179688
entropy_mean_2,BF,0,13,ET,0.9789523809523809,0.8227,0.9293668282923866,0.8227,0.8676447362274522,0.7355404866374152,0.8227,0.0,0.0
entropy_mean_2,BF,0,14,ET,0.9578095238095238,0.8116,0.7651982152398418,0.8116,0.7862200127206331,0.5726099140901365,0.8115999999999999,0.0,0.0
entropy_mean_2,BF,0,15,ET,0.979904761904762,0.8231999999999999,0.9415084617446305,0.8231999999999999,0.8722294686078098,0.7447433607926723,0.8231999999999999,0.0,0.0
entropy_mean_2,BF,0,16,ET,0.9581904761904761,0.8118000000000001,0.7670627669449955,0.8118000000000001,0.7874148777486814,0.5749850168272556,0.8118,0.01735067367553711,0.0
entropy_mean_2,BF,0,17,ET,0.9636190476190476,0.81465,0.7966730379319085,0.81465,0.8053571761329756,0.610733695652174,0.8146499999999999,0.0,0.003419160842895508
entropy_mean_2,BF,0,18,ET,0.9780952380952381,0.82225,0.9189853338880799,0.82225,0.8636024760527743,0.7274266365688488,0.82225,0.0030112266540527344,0.0009922981262207031
entropy_mean_2,BF,0,19,ET,0.9580952380952381,0.81175,0.7665942636268792,0.81175,0.7871154138577727,0.5743896821741133,0.81175,0.0,0.0
entropy_mean_2,BF,0,20,ET,0.9707619047619047,0.8184,0.8468673326141791,0.8184,0.8319443916582483,0.6639211802116458,0.8184,0.008106231689453125,0.0
entropy_mean_2,BF,0,21,ET,0.9708571428571429,0.81845,0.8476479804649018,0.81845,0.8323249520510942,0.6646837820914214,0.81845,0.0,0.0
entropy_mean_2,BF,0,22,ET,0.9724761904761905,0.8193,0.8614625046895034,0.8193,0.8389098552927947,0.6778833395255028,0.8192999999999999,0.0030117034912109375,0.0009992122650146484
entropy_mean_2,BF,0,23,ET,0.957047619047619,0.8112,0.7615434188128719,0.8112,0.7838539666186175,0.5679091199416032,0.8112,0.0020067691802978516,0.001999378204345703
entropy_mean_2,BF,0,24,ET,0.9703809523809523,0.8182,0.8437785694360325,0.8182,0.8304295177992924,0.6608858196168026,0.8181999999999999,0.003999948501586914,0.0010004043579101562
