Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
IP_DF,MHDis,0,0,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0010056495666503906,0.0
IP_DF,MHDis,0,1,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.008601665496826172,0.0
IP_DF,MHDis,0,2,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0,0.004782199859619141
IP_DF,MHDis,0,3,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.010105609893798828,0.0
IP_DF,MHDis,0,4,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0,0.005659341812133789
IP_DF,MHDis,0,5,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0,0.0
IP_DF,MHDis,0,6,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.001997709274291992,0.0016129016876220703
IP_DF,MHDis,0,7,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0029134750366210938,0.0010743141174316406
IP_DF,MHDis,0,8,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0,0.004106760025024414
IP_DF,MHDis,0,9,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0009989738464355469,0.0
IP_DF,MHDis,0,10,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0,0.0
IP_DF,MHDis,0,11,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0006144046783447266,0.0010633468627929688
IP_DF,MHDis,0,12,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0018835067749023438,0.0
IP_DF,MHDis,0,13,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0,0.0
IP_DF,MHDis,0,14,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0,0.0
IP_DF,MHDis,0,15,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.002101421356201172,0.0
IP_DF,MHDis,0,16,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0,0.0
IP_DF,MHDis,0,17,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0,0.0
IP_DF,MHDis,0,18,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0076711177825927734,0.0007071495056152344
IP_DF,MHDis,0,19,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0,0.0
IP_DF,MHDis,0,20,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.006029367446899414,0.0
IP_DF,MHDis,0,21,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0021004676818847656,0.0
IP_DF,MHDis,0,22,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0,0.0
IP_DF,MHDis,0,23,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.005604267120361328,0.0
IP_DF,MHDis,0,24,ET,0.9896049896049897,0.99475,0.7451456310679612,0.99475,0.8263513740296164,0.6533285175663816,0.99475,0.0,0.0
