Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
TCP_window_mean_6,OS,0,0,ET,0.6915857605177993,0.7028754241095636,0.504980927230047,0.7028754241095636,0.42037942404725126,0.013645909744063767,0.7028754241095636,0.001999378204345703,0.0015590190887451172
TCP_window_mean_6,OS,0,1,ET,0.6950377562028047,0.7147604514097148,0.5053033284144942,0.7147604514097148,0.42204661557300066,0.014594785449434378,0.7147604514097146,0.0,0.0
TCP_window_mean_6,OS,0,2,ET,0.6854368932038835,0.7200843682012443,0.5053423603583382,0.7200843682012443,0.4186125240619858,0.014501469644518261,0.7200843682012441,0.0,0.0
TCP_window_mean_6,OS,0,3,ET,0.6967637540453074,0.7257778938492216,0.5055907263642155,0.7257778938492216,0.423045333548841,0.015417957409692873,0.7257778938492218,0.0,0.0
TCP_window_mean_6,OS,0,4,ET,0.6913700107874865,0.7230666911597086,0.5054704067861963,0.7230666911597086,0.4209371368435072,0.014973357843241164,0.7230666911597086,0.0,0.0
TCP_window_mean_6,OS,0,5,ET,0.6967637540453074,0.7257778938492216,0.5055907263642155,0.7257778938492216,0.423045333548841,0.015417957409692873,0.7257778938492218,0.0020329952239990234,0.0
TCP_window_mean_6,OS,0,6,ET,0.6782092772384034,0.7164513565972968,0.5051921056252846,0.7164513565972968,0.41577190900501404,0.01394956126540925,0.7164513565972968,0.0016973018646240234,0.0011093616485595703
TCP_window_mean_6,OS,0,7,ET,0.6980582524271844,0.7264285824947048,0.5056201816968865,0.7264285824947048,0.42355063755003164,0.015526963580682729,0.7264285824947048,0.0008842945098876953,0.002269268035888672
TCP_window_mean_6,OS,0,8,ET,0.6848975188781014,0.719813247932293,0.5053309346864691,0.719813247932293,0.41840088364278194,0.014459429978050498,0.719813247932293,0.006545543670654297,0.0
TCP_window_mean_6,OS,0,9,ET,0.6957928802588996,0.7252898773651093,0.5055687840637887,0.7252898773651093,0.4226661923389478,0.015336795917821555,0.7252898773651093,0.0030002593994140625,0.0014493465423583984
TCP_window_mean_6,OS,0,10,ET,0.6924487594390507,0.7236089316976113,0.5054941654706712,0.7236089316976113,0.42135914677701425,0.015061061975331524,0.7236089316976112,0.001998424530029297,0.0012254714965820312
TCP_window_mean_6,OS,0,11,ET,0.6891046386192017,0.7219279860301131,0.5054209976504064,0.7219279860301131,0.4200502823061299,0.01479111033227054,0.7219279860301131,0.002288818359375,0.0
TCP_window_mean_6,OS,0,12,ET,0.6936353829557713,0.7140555387104414,0.5052725960477759,0.7140555387104414,0.42150008297308017,0.014481950923546205,0.7140555387104414,0.0026183128356933594,0.0010023117065429688
TCP_window_mean_6,OS,0,13,ET,0.6959007551240561,0.6948945286823112,0.5048240891209912,0.6948945286823112,0.4217302946427933,0.013299770891249563,0.6948945286823113,0.0,0.008650064468383789
TCP_window_mean_6,OS,0,14,ET,0.6859762675296656,0.7203554884701955,0.5053538212096992,0.7203554884701955,0.4188241109113552,0.014543650122691987,0.7203554884701957,0.0013437271118164062,0.0
TCP_window_mean_6,OS,0,15,ET,0.6962243797195253,0.7255067735802704,0.5055785205074091,0.7255067735802704,0.42283471704787906,0.015372805295376546,0.7255067735802704,0.0,0.0
TCP_window_mean_6,OS,0,16,ET,0.6944983818770226,0.6941896159830379,0.5047944137693204,0.6941896159830379,0.42118705353205743,0.013192273737969828,0.6941896159830377,0.0019996166229248047,0.0010001659393310547
TCP_window_mean_6,OS,0,17,ET,0.6846817691477886,0.7095549422458496,0.5050821491463677,0.7095549422458496,0.4180026644600655,0.013784633285122028,0.7095549422458496,0.0019850730895996094,0.0015802383422851562
TCP_window_mean_6,OS,0,18,ET,0.6782092772384034,0.7164513565972968,0.5051921056252846,0.7164513565972968,0.41577190900501404,0.01394956126540925,0.7164513565972968,0.002998828887939453,0.0009217262268066406
TCP_window_mean_6,OS,0,19,ET,0.6880258899676376,0.7213857454922106,0.5053976966280646,0.7213857454922106,0.41962766063847096,0.014705232696560211,0.7213857454922106,0.0,0.0
TCP_window_mean_6,OS,0,20,ET,0.6915857605177993,0.7231751392672892,0.5054751465258825,0.7231751392672892,0.4210215541641851,0.014990850834143532,0.7231751392672892,0.0,0.0
TCP_window_mean_6,OS,0,21,ET,0.6873786407766991,0.721060401169469,0.5053837854223963,0.721060401169469,0.4193739893683976,0.01465398346375324,0.721060401169469,0.0030138492584228516,0.0009915828704833984
TCP_window_mean_6,OS,0,22,ET,0.6978425026968716,0.695870561650536,0.5048655780966518,0.695870561650536,0.4224819211363392,0.013450221073760926,0.6958705616505358,0.0,0.004220724105834961
TCP_window_mean_6,OS,0,23,ET,0.68554476806904,0.7201385922550345,0.5053446497082245,0.7201385922550345,0.4186548457025427,0.014509894452607641,0.7201385922550345,0.0,0.0
TCP_window_mean_6,OS,0,24,ET,0.6889967637540453,0.7218737619763229,0.5054186610060508,0.7218737619763229,0.42000802926613034,0.01478249643539209,0.7218737619763229,0.006006002426147461,0.0
