Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ts_std_2,SP,0,0,ET,0.8241398143091206,0.4978368700654515,0.4697781919850885,0.4978368700654515,0.4578735784378632,-0.006922805636275564,0.4978368700654516,0.006205081939697266,0.001996278762817383
ts_std_2,SP,0,1,ET,0.8226379027853632,0.4969343429896393,0.46265490033560047,0.4969343429896393,0.45736993234716805,-0.009755507346666636,0.49693434298963934,0.0036406517028808594,0.0020101070404052734
ts_std_2,SP,0,2,ET,0.8234571272528672,0.49742663048553687,0.4662988879279468,0.49742663048553687,0.4576446339564662,-0.008214397958601571,0.4974266304855369,0.003996372222900391,0.0019991397857666016
ts_std_2,SP,0,3,ET,0.8234571272528672,0.49742663048553687,0.4662988879279468,0.49742663048553687,0.4576446339564662,-0.008214397958601571,0.4974266304855369,0.0,0.0
ts_std_2,SP,0,4,ET,0.8245494265428728,0.49808301381340037,0.47209702444641655,0.49808301381340037,0.4580109576769131,-0.006144626434594347,0.4980830138134004,0.017720460891723633,0.0015413761138916016
ts_std_2,SP,0,5,ET,0.8234571272528672,0.49742663048553687,0.4662988879279468,0.49742663048553687,0.4576446339564662,-0.008214397958601571,0.4974266304855369,0.004889011383056641,0.0
ts_std_2,SP,0,6,ET,0.8238667394866194,0.497348318084428,0.46295246971109044,0.497348318084428,0.4570317672242574,-0.008486350365524364,0.4973483180844279,0.00408935546875,0.002003192901611328
ts_std_2,SP,0,7,ET,0.8237302020753686,0.49726627016844505,0.46231020370625836,0.49726627016844505,0.45698655830844476,-0.008744393662010852,0.497266270168445,0.014683723449707031,0.0020494461059570312
ts_std_2,SP,0,8,ET,0.82400327689787,0.4977548221494686,0.46904584540396377,0.4977548221494686,0.45782778749774233,-0.007181660286856628,0.49775482214946865,0.010566234588623047,0.0015468597412109375
ts_std_2,SP,0,9,ET,0.8229109776078646,0.49677398267254747,0.458783533867523,0.49677398267254747,0.4567153071806855,-0.01028704693983662,0.4967739826725474,0.0162355899810791,0.0
ts_std_2,SP,0,10,ET,0.8230475150191152,0.4968560305885304,0.45933531198233024,0.4968560305885304,0.45676051549896474,-0.010030603428094809,0.49685603058853034,0.0,0.0
ts_std_2,SP,0,11,ET,0.8233205898416166,0.49702012642049626,0.46048040651960054,0.49702012642049626,0.4568509323319991,-0.009516919204185292,0.4970201264204962,0.009658575057983398,0.0009870529174804688
ts_std_2,SP,0,12,ET,0.8241398143091206,0.4978368700654515,0.4697781919850885,0.4978368700654515,0.4578735784378632,-0.006922805636275564,0.4978368700654516,0.01711559295654297,0.0
ts_std_2,SP,0,13,ET,0.8237302020753686,0.49726627016844505,0.46231020370625836,0.49726627016844505,0.45698655830844476,-0.008744393662010852,0.497266270168445,0.0,0.0
ts_std_2,SP,0,14,ET,0.8233205898416166,0.49734458256955394,0.4656543346217559,0.49734458256955394,0.4575988480367749,-0.008471914225273602,0.497344582569554,0.007082462310791016,0.0
ts_std_2,SP,0,15,ET,0.8234571272528672,0.49742663048553687,0.4662988879279468,0.49742663048553687,0.4576446339564662,-0.008214397958601571,0.4974266304855369,0.0,0.0
ts_std_2,SP,0,16,ET,0.823593664664118,0.4975086784015198,0.46695966651804355,0.4975086784015198,0.4576904208446235,-0.007956614846837295,0.49750867840151985,0.0044841766357421875,0.0
ts_std_2,SP,0,17,ET,0.823593664664118,0.4975086784015198,0.46695966651804355,0.4975086784015198,0.4576904208446235,-0.007956614846837295,0.49750867840151985,0.011060953140258789,0.0015606880187988281
ts_std_2,SP,0,18,ET,0.8238667394866194,0.49767277423348566,0.46833246194957595,0.49767277423348566,0.4577819975974268,-0.007440246427239838,0.4976727742334857,0.0,0.0
ts_std_2,SP,0,19,ET,0.8234571272528672,0.4971021743364792,0.46107480211247287,0.4971021743364792,0.4568961408781381,-0.009259677665509392,0.49710217433647913,0.02118659019470215,0.002001523971557617
ts_std_2,SP,0,20,ET,0.8230475150191152,0.4968560305885304,0.45933531198233024,0.4968560305885304,0.45676051549896474,-0.010030603428094809,0.49685603058853034,0.004777431488037109,0.001997232437133789
ts_std_2,SP,0,21,ET,0.8234571272528672,0.4971021743364792,0.46107480211247287,0.4971021743364792,0.4568961408781381,-0.009259677665509392,0.49710217433647913,0.01773548126220703,0.0026619434356689453
ts_std_2,SP,0,22,ET,0.823593664664118,0.4971842222524621,0.4616845300336935,0.4971842222524621,0.4569413495316865,-0.009002169289917816,0.49718422225246206,0.006372690200805664,0.0
ts_std_2,SP,0,23,ET,0.8234571272528672,0.49742663048553687,0.4662988879279468,0.49742663048553687,0.4576446339564662,-0.008214397958601571,0.4974266304855369,0.0,0.008056163787841797
ts_std_2,SP,0,24,ET,0.8225013653741126,0.49685229507365636,0.4620960434913923,0.49685229507365636,0.45732415186807435,-0.010011431209493216,0.4968522950736564,0.0,0.009561538696289062
