Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
TCP_RST_sum,SYN,0,0,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.011610269546508789
TCP_RST_sum,SYN,0,1,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
TCP_RST_sum,SYN,0,2,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.002508878707885742,0.0
TCP_RST_sum,SYN,0,3,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
TCP_RST_sum,SYN,0,4,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.001001596450805664,0.0009989738464355469
TCP_RST_sum,SYN,0,5,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
TCP_RST_sum,SYN,0,6,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
TCP_RST_sum,SYN,0,7,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.008616209030151367,0.0
TCP_RST_sum,SYN,0,8,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.010110139846801758
TCP_RST_sum,SYN,0,9,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.013607263565063477
TCP_RST_sum,SYN,0,10,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.003016948699951172,0.0
TCP_RST_sum,SYN,0,11,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.010035991668701172,0.0
TCP_RST_sum,SYN,0,12,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.002512216567993164,0.0
TCP_RST_sum,SYN,0,13,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
TCP_RST_sum,SYN,0,14,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
TCP_RST_sum,SYN,0,15,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
TCP_RST_sum,SYN,0,16,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
TCP_RST_sum,SYN,0,17,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
TCP_RST_sum,SYN,0,18,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
TCP_RST_sum,SYN,0,19,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0028891563415527344,0.0
TCP_RST_sum,SYN,0,20,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
TCP_RST_sum,SYN,0,21,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.013013839721679688,0.0
TCP_RST_sum,SYN,0,22,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
TCP_RST_sum,SYN,0,23,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
TCP_RST_sum,SYN,0,24,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.011511564254760742
