Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
payload_bytes_mean_9,SYN,0,0,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.007505893707275391,0.003514528274536133
payload_bytes_mean_9,SYN,0,1,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
payload_bytes_mean_9,SYN,0,2,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
payload_bytes_mean_9,SYN,0,3,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
payload_bytes_mean_9,SYN,0,4,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.015635967254638672,0.0020682811737060547
payload_bytes_mean_9,SYN,0,5,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.004974842071533203,0.0
payload_bytes_mean_9,SYN,0,6,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.006124258041381836,0.0021088123321533203
payload_bytes_mean_9,SYN,0,7,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.006513118743896484
payload_bytes_mean_9,SYN,0,8,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.001781463623046875,0.004608154296875
payload_bytes_mean_9,SYN,0,9,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.006101131439208984,0.0030002593994140625
payload_bytes_mean_9,SYN,0,10,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.011507987976074219,0.0
payload_bytes_mean_9,SYN,0,11,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.01264333724975586,0.0
payload_bytes_mean_9,SYN,0,12,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
payload_bytes_mean_9,SYN,0,13,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0017559528350830078,0.0037305355072021484
payload_bytes_mean_9,SYN,0,14,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.012607812881469727
payload_bytes_mean_9,SYN,0,15,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.013604879379272461,0.0025103092193603516
payload_bytes_mean_9,SYN,0,16,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.015732526779174805
payload_bytes_mean_9,SYN,0,17,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
payload_bytes_mean_9,SYN,0,18,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
payload_bytes_mean_9,SYN,0,19,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.002413034439086914,0.0
payload_bytes_mean_9,SYN,0,20,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0025081634521484375,0.0020046234130859375
payload_bytes_mean_9,SYN,0,21,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.010122537612915039,0.0
payload_bytes_mean_9,SYN,0,22,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.00610804557800293,0.0
payload_bytes_mean_9,SYN,0,23,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.0,0.0
payload_bytes_mean_9,SYN,0,24,ET,0.5737,0.5,0.28685,0.5,0.36455487068691617,0.0,0.5,0.00510859489440918,0.0
