Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ts_mean_2,SYN,0,0,ET,0.5877,0.520548819264442,0.6266336978947761,0.520548819264442,0.4246896816189721,0.0464899405266892,0.520548819264442,0.006044864654541016,0.002660989761352539
ts_mean_2,SYN,0,1,ET,0.5877,0.520443347709276,0.6280570061451954,0.520443347709276,0.42409042464775654,0.0462623593225413,0.520443347709276,0.0,0.0
ts_mean_2,SYN,0,2,ET,0.5884,0.5209328837411519,0.6359283930058285,0.5209328837411519,0.4237793898235324,0.04739439686456681,0.5209328837411519,0.003644227981567383,0.003482341766357422
ts_mean_2,SYN,0,3,ET,0.58755,0.5198907311417411,0.6329057497162568,0.5198907311417411,0.4215929018054803,0.045052521185212746,0.5198907311417411,0.0033898353576660156,0.0
ts_mean_2,SYN,0,4,ET,0.5892,0.5218561227331538,0.6395352510011619,0.5218561227331538,0.4255007946493148,0.04947289940336608,0.5218561227331538,0.0055162906646728516,0.0
ts_mean_2,SYN,0,5,ET,0.58825,0.5210582985996837,0.6308321074632546,0.5210582985996837,0.42515815942567275,0.04764827873441746,0.5210582985996836,0.005985736846923828,0.0
ts_mean_2,SYN,0,6,ET,0.5895,0.5226750759327732,0.6338706161552738,0.5226750759327732,0.42881063039492195,0.05126720886880498,0.5226750759327732,0.004983186721801758,0.0020003318786621094
ts_mean_2,SYN,0,7,ET,0.5888,0.5217033842201387,0.6331335479003467,0.5217033842201387,0.42639497373573904,0.04909869726521532,0.5217033842201387,0.01170492172241211,0.005434274673461914
ts_mean_2,SYN,0,8,ET,0.5887,0.5212847486250365,0.6372063600840807,0.5212847486250365,0.4244577014612142,0.048186126936749174,0.5212847486250364,0.006071567535400391,0.0030705928802490234
ts_mean_2,SYN,0,9,ET,0.58895,0.5217437103768677,0.635723560825703,0.5217437103768677,0.42596464551792923,0.04920250399882009,0.5217437103768677,0.006005764007568359,0.002940654754638672
ts_mean_2,SYN,0,10,ET,0.5866,0.5192586480235317,0.6217826548877583,0.5192586480235317,0.422209656998271,0.043587382960336374,0.5192586480235317,0.004816532135009766,0.00121307373046875
ts_mean_2,SYN,0,11,ET,0.58745,0.5201199922426581,0.6273808040719714,0.5201199922426581,0.423354671831273,0.045537607796353186,0.520119992242658,0.010510921478271484,0.0
ts_mean_2,SYN,0,12,ET,0.58825,0.5209678944095415,0.6321200920883869,0.5209678944095415,0.424644448521966,0.04745342949500142,0.5209678944095415,0.010394096374511719,0.002150297164916992
ts_mean_2,SYN,0,13,ET,0.58895,0.5217587777418914,0.6355000710091685,0.5217587777418914,0.42605005620551956,0.04923492034656474,0.5217587777418914,0.007794857025146484,0.0
ts_mean_2,SYN,0,14,ET,0.58915,0.5220084216961716,0.6361005096598317,0.5220084216961716,0.4265851756064058,0.04979471194625562,0.5220084216961716,0.01061391830444336,0.005611896514892578
ts_mean_2,SYN,0,15,ET,0.58915,0.5219933543311478,0.6363236298849542,0.5219933543311478,0.42649993064711195,0.04976231799802899,0.5219933543311478,0.00811004638671875,0.0
ts_mean_2,SYN,0,16,ET,0.58815,0.5208204713848659,0.6321301176222858,0.5208204713848659,0.4242472346261613,0.047124610303811654,0.5208204713848659,0.004975318908691406,0.0022127628326416016
ts_mean_2,SYN,0,17,ET,0.58845,0.5212627404588926,0.6321022746216982,0.5212627404588926,0.42543737829176836,0.048110866091437776,0.5212627404588925,0.005251169204711914,0.0
ts_mean_2,SYN,0,18,ET,0.5887,0.5214806243703446,0.6342387038218122,0.5214806243703446,0.4255727711940708,0.04860801151163474,0.5214806243703446,0.016554832458496094,0.0
ts_mean_2,SYN,0,19,ET,0.58955,0.5224022380495658,0.638858055141617,0.5224022380495658,0.42705828534527707,0.05068746117145184,0.5224022380495658,0.0060613155364990234,0.0
ts_mean_2,SYN,0,20,ET,0.5887,0.5215408938304394,0.6333640148891616,0.5215408938304394,0.4259144559499612,0.04873774691881694,0.5215408938304394,0.012971639633178711,0.0
ts_mean_2,SYN,0,21,ET,0.58765,0.520429905657033,0.6272246860589491,0.520429905657033,0.4242348635843474,0.04622800001193528,0.520429905657033,0.016023635864257812,0.0035600662231445312
ts_mean_2,SYN,0,22,ET,0.5888,0.521386969554641,0.637865299586845,0.521386969554641,0.4245976339432319,0.048417542903941735,0.521386969554641,0.0007688999176025391,0.012716054916381836
ts_mean_2,SYN,0,23,ET,0.58815,0.520865673479937,0.6314759912373944,0.520865673479937,0.42450471432609993,0.047222088494271564,0.520865673479937,0.010601282119750977,0.0
ts_mean_2,SYN,0,24,ET,0.589,0.5220132976345137,0.6328970783281754,0.5220132976345137,0.4272687306954028,0.049787922374470384,0.5220132976345137,0.00887751579284668,0.0
