Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Pkt Len Std,ACK,1,0,ET,0.8019559902200489,0.8353658536585367,0.834016393442623,0.8353658536585367,0.801951254505999,0.6188520346529528,0.8353658536585366,0.0,0.0
Pkt Len Std,ACK,2,0,ET,0.8117359413202934,0.8273542600896862,0.8536121673003803,0.8273542600896862,0.8099178541896778,0.6329701066371423,0.8273542600896862,0.0,0.0
Pkt Len Std,ACK,3,0,ET,0.7647058823529411,0.8110236220472441,0.808,0.8110236220472441,0.7646832644429491,0.554057746607159,0.8110236220472441,0.008028268814086914,0.0
Pkt Len Std,ACK,1,1,ET,0.7897310513447433,0.8223140495867769,0.8300395256916996,0.8223140495867769,0.7895788466140224,0.5969889319186965,0.8223140495867769,0.0,0.0
Pkt Len Std,ACK,2,1,ET,0.7995110024449877,0.8284518828451883,0.8373015873015873,0.8284518828451883,0.7993082483603811,0.6141420649347662,0.8284518828451883,0.0,0.0
Pkt Len Std,ACK,3,1,ET,0.7843137254901961,0.8181818181818181,0.8267716535433071,0.8181818181818181,0.7841269841269841,0.5874620829120323,0.8181818181818181,0.0,0.0
Pkt Len Std,ACK,1,2,ET,0.7775061124694377,0.8119834710743802,0.8236434108527132,0.8119834710743802,0.7771650950456519,0.5753824740739051,0.8119834710743802,0.0,0.0
Pkt Len Std,ACK,2,2,ET,0.8264058679706602,0.8429203539823009,0.860236220472441,0.8429203539823009,0.8255884490411238,0.6614277885949469,0.8429203539823009,0.0,0.0
Pkt Len Std,ACK,3,2,ET,0.7745098039215687,0.8196078431372549,0.8122448979591836,0.8196078431372549,0.7743742636628117,0.5705950991831972,0.8196078431372549,0.0,0.0
Pkt Len Std,ACK,1,3,ET,0.7652811735941321,0.8174904942965779,0.8016528925619835,0.8174904942965779,0.7646607528170702,0.5539601036033989,0.8174904942965779,0.0,0.0
Pkt Len Std,ACK,2,3,ET,0.8019559902200489,0.8269230769230769,0.841796875,0.8269230769230769,0.8013813198079103,0.6177966981621845,0.8269230769230769,0.0,0.0
Pkt Len Std,ACK,3,3,ET,0.8112745098039216,0.8296460176991151,0.8513513513513513,0.8296460176991151,0.8100317460317461,0.633213468453743,0.8296460176991151,0.0,0.0
Pkt Len Std,ACK,1,4,ET,0.8337408312958435,0.8559322033898304,0.8589211618257262,0.8559322033898304,0.8337159802936815,0.676378868978357,0.8559322033898304,0.0,0.0
Pkt Len Std,ACK,2,4,ET,0.7677261613691931,0.801255230125523,0.820754716981132,0.801255230125523,0.76678370997269,0.5575357285201845,0.801255230125523,0.0,0.0
Pkt Len Std,ACK,3,4,ET,0.7720588235294118,0.8125,0.8162055335968379,0.8125,0.7720245855839076,0.56657223796034,0.8125,0.0,0.0
