Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Fwd IAT Min,ARP,1,0,ET,0.610738255033557,0.5551789077212805,0.5765412748171369,0.5551789077212805,0.544005909666526,0.11942123497045043,0.5551789077212805,0.0,0.0
Fwd IAT Min,ARP,2,0,ET,0.6040268456375839,0.5463483146067416,0.5711206896551724,0.5463483146067416,0.5273910004838449,0.10121664451487566,0.5463483146067416,0.0,0.0
Fwd IAT Min,ARP,3,0,ET,0.5503355704697986,0.5037545787545787,0.5079457364341086,0.5037545787545787,0.44860535763601217,0.008147044212618026,0.5037545787545787,0.0,0.0
Fwd IAT Min,ARP,1,1,ET,0.5637583892617449,0.5314996368917938,0.5702429149797571,0.5314996368917938,0.4724083455902381,0.0668657866846517,0.5314996368917937,0.0,0.0
Fwd IAT Min,ARP,2,1,ET,0.610738255033557,0.5437665782493368,0.5681818181818181,0.5437665782493368,0.52599824484423,0.09659209701024463,0.5437665782493368,0.0,0.0
Fwd IAT Min,ARP,3,1,ET,0.5436241610738255,0.4731906025009473,0.4582349468713105,0.4731906025009473,0.4442738043001316,-0.059167886263851166,0.4731906025009473,0.0,0.0
Fwd IAT Min,ARP,1,2,ET,0.5167785234899329,0.5072150072150072,0.5106837606837606,0.5072150072150072,0.4682791435368755,0.014695077149155078,0.5072150072150072,0.0,0.0
Fwd IAT Min,ARP,2,2,ET,0.5436241610738255,0.5027685492801772,0.5037593984962406,0.5027685492801772,0.48306122448979594,0.005886970172684358,0.5027685492801772,0.0,0.0
Fwd IAT Min,ARP,3,2,ET,0.6577181208053692,0.5316326530612245,0.5657336726039016,0.5316326530612245,0.5090133746850165,0.0754349677576347,0.5316326530612244,0.009009361267089844,0.0
Fwd IAT Min,ARP,1,3,ET,0.6442953020134228,0.583743842364532,0.6208310552214324,0.583743842364532,0.5754529326380302,0.18292809105018104,0.583743842364532,0.0,0.0
Fwd IAT Min,ARP,2,3,ET,0.5906040268456376,0.5405079718205413,0.5627873563218391,0.5405079718205413,0.5174921696660827,0.08772458094951319,0.5405079718205413,0.0,0.0
Fwd IAT Min,ARP,3,3,ET,0.5771812080536913,0.5271139705882353,0.5548735119047619,0.5271139705882353,0.48152444076222034,0.05913601282950787,0.5271139705882353,0.003276824951171875,0.0010280609130859375
Fwd IAT Min,ARP,1,4,ET,0.5771812080536913,0.5174267704857249,0.5349702380952381,0.5174267704857249,0.4739702998038666,0.03851275222779882,0.5174267704857249,0.0,0.0
Fwd IAT Min,ARP,2,4,ET,0.6375838926174496,0.5463386727688787,0.6208955223880597,0.5463386727688787,0.5055309734513274,0.10778443113772462,0.5463386727688788,0.0,0.0
Fwd IAT Min,ARP,3,4,ET,0.5302013422818792,0.4928571428571429,0.4893384363039912,0.4928571428571429,0.46214933993399343,-0.015183959509441403,0.49285714285714277,0.0,0.0
