Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Bwd Pkt Len Std,BF,1,0,ET,0.8871951219512195,0.6836309523809524,0.8036790943767689,0.6836309523809524,0.7214916810097534,0.4485641584878226,0.6836309523809523,0.0,0.0
Bwd Pkt Len Std,BF,2,0,ET,0.8810975609756098,0.6816379981595526,0.8054761904761905,0.6816379981595526,0.7193690630278832,0.445176960444136,0.6816379981595526,0.0,0.0
Bwd Pkt Len Std,BF,3,0,ET,0.899390243902439,0.7192086330935252,0.8514012224656902,0.7192086330935252,0.7625430533312858,0.5296367112810707,0.7192086330935252,0.008021116256713867,0.0
Bwd Pkt Len Std,BF,1,1,ET,0.899390243902439,0.725297619047619,0.8288801998479418,0.725297619047619,0.7625430533312858,0.5280781304499477,0.725297619047619,0.0,0.0
Bwd Pkt Len Std,BF,2,1,ET,0.8810975609756098,0.6718227424749164,0.8255445544554456,0.6718227424749164,0.7130744902765628,0.4353813559322034,0.6718227424749165,0.008099555969238281,0.0
Bwd Pkt Len Std,BF,3,1,ET,0.8567073170731707,0.6718235681369322,0.7131578947368421,0.6718235681369322,0.6885845302304912,0.3786877317427051,0.6718235681369323,0.0,0.0
Bwd Pkt Len Std,BF,1,2,ET,0.8780487804878049,0.6944388944388944,0.81709568806343,0.6944388944388944,0.7323541411668706,0.47092507460279054,0.6944388944388944,0.0,0.0
Bwd Pkt Len Std,BF,2,2,ET,0.8719512195121951,0.6523596814915518,0.8650535132619823,0.6523596814915518,0.694437050838435,0.4059508408796896,0.6523596814915519,0.0,0.0
Bwd Pkt Len Std,BF,3,2,ET,0.9146341463414634,0.680598123897093,0.8312042241526145,0.680598123897093,0.7266666666666667,0.4585544157528594,0.6805981238970931,0.0,0.0
Bwd Pkt Len Std,BF,1,3,ET,0.8719512195121951,0.6617382617382617,0.8205940594059407,0.6617382617382617,0.7010416666666666,0.4135376756066411,0.6617382617382618,0.006612062454223633,0.0
Bwd Pkt Len Std,BF,2,3,ET,0.899390243902439,0.7375255546301204,0.8138255302120849,0.7375255546301204,0.7676006441223833,0.5368817388327913,0.7375255546301203,0.0,0.0
Bwd Pkt Len Std,BF,3,3,ET,0.8902439024390244,0.643598091920951,0.8587100435029317,0.643598091920951,0.6883445945945945,0.3911519026503042,0.6435980919209511,0.0,0.0
Bwd Pkt Len Std,BF,1,4,ET,0.8597560975609756,0.6564803730073719,0.8055863172142241,0.6564803730073719,0.6922072623419013,0.3970106306450323,0.6564803730073719,0.001081705093383789,0.001024484634399414
Bwd Pkt Len Std,BF,2,4,ET,0.9176829268292683,0.7203886079318605,0.8404605263157895,0.7203886079318605,0.7629486870633582,0.5287356321839081,0.7203886079318607,0.0,0.0
Bwd Pkt Len Std,BF,3,4,ET,0.8810975609756098,0.7056346004105614,0.7906162464985995,0.7056346004105614,0.7364376223343978,0.4759954120924136,0.7056346004105614,0.011507272720336914,0.0
