Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Flow IAT Min,HTTP,1,0,ET,0.8013029315960912,0.7985264227642277,0.793036519777932,0.7985264227642277,0.7951990376202974,0.5906845602378038,0.7985264227642276,0.0,0.0
Flow IAT Min,HTTP,2,0,ET,0.7960848287112561,0.7861966324581279,0.7874224780261456,0.7861966324581279,0.7867885415362355,0.5735877616209508,0.7861966324581279,0.0,0.0
Flow IAT Min,HTTP,3,0,ET,0.800978792822186,0.7884819893203004,0.7884819893203004,0.7884819893203004,0.7884819893203004,0.5769639786406009,0.7884819893203003,0.0,0.0
Flow IAT Min,HTTP,1,1,ET,0.762214983713355,0.7570186875271621,0.7565058986814712,0.7570186875271621,0.7567538232772189,0.5135129268239738,0.7570186875271621,0.0,0.0
Flow IAT Min,HTTP,2,1,ET,0.7846655791190864,0.7731872599954823,0.7714337014094622,0.7731872599954823,0.7722728807835191,0.5445662696715221,0.7731872599954822,0.01202535629272461,0.0
Flow IAT Min,HTTP,3,1,ET,0.7699836867862969,0.7652895287481805,0.7558342289386528,0.7652895287481805,0.7591516681574613,0.5191407923358944,0.7652895287481805,0.0,0.01300954818725586
Flow IAT Min,HTTP,1,2,ET,0.7638436482084691,0.7555767034640275,0.7582307692307693,0.7555767034640275,0.756729358337136,0.5135663785473102,0.7555767034640274,0.0,0.0
Flow IAT Min,HTTP,2,2,ET,0.7830342577487766,0.7757795789710683,0.7706307998232436,0.7757795789710683,0.7728168217371798,0.5458475147477426,0.7757795789710684,0.0,0.0
Flow IAT Min,HTTP,3,2,ET,0.768352365415987,0.7592447026657554,0.752748900439824,0.7592447026657554,0.7554118149530189,0.5111752549530527,0.7592447026657552,0.0,0.0
Flow IAT Min,HTTP,1,3,ET,0.7866449511400652,0.7753988153241436,0.7810767924190953,0.7753988153241436,0.7777249652496636,0.5557261690399126,0.7753988153241435,0.0,0.0
Flow IAT Min,HTTP,2,3,ET,0.802610114192496,0.7895462184873949,0.7928537431155233,0.7895462184873949,0.7910813924339426,0.5822204448549912,0.789546218487395,0.0020093917846679688,0.0
Flow IAT Min,HTTP,3,3,ET,0.7601957585644372,0.7579667278620158,0.7475315891346426,0.7579667278620158,0.7506399276086217,0.502602599839925,0.7579667278620159,0.001283884048461914,0.0
Flow IAT Min,HTTP,1,4,ET,0.7915309446254072,0.7831911490269261,0.7816145281018028,0.7831911490269261,0.782365972529907,0.5647512294537238,0.7831911490269262,0.0,0.0
Flow IAT Min,HTTP,2,4,ET,0.7732463295269169,0.7651207631418713,0.7600882723833544,0.7651207631418713,0.7622207649053285,0.5246657034313862,0.7651207631418714,0.0,0.0
Flow IAT Min,HTTP,3,4,ET,0.7797716150081566,0.7705079639352252,0.770874001774623,0.7705079639352252,0.770688723554595,0.5413787179330869,0.7705079639352252,0.0,0.0
