Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Flow Pkts/s,SP,1,0,ET,0.9681159420289855,0.7923585702223473,0.9196969696969697,0.7923585702223473,0.8429286867265429,0.6864931846344486,0.7923585702223472,0.0,0.0
Flow Pkts/s,SP,2,0,ET,0.9709302325581395,0.8785996612083569,0.8785996612083569,0.8785996612083569,0.8785996612083569,0.7571993224167137,0.8785996612083569,0.0,0.0
Flow Pkts/s,SP,3,0,ET,0.9825581395348837,0.9611280487804879,0.8734567901234568,0.9611280487804879,0.9120654396728016,0.8242506811989101,0.9611280487804879,0.0,0.0
Flow Pkts/s,SP,1,1,ET,0.9739130434782609,0.8375040361640298,0.8971314589665653,0.8375040361640298,0.8645583424209379,0.7292229877038459,0.8375040361640297,0.0,0.0
Flow Pkts/s,SP,2,1,ET,0.9854651162790697,0.9135991820040901,0.9365893146249326,0.9135991820040901,0.9247429446510611,0.8494924746237311,0.91359918200409,0.0,0.0
Flow Pkts/s,SP,3,1,ET,0.9709302325581395,0.8633346877962887,0.8954739790653103,0.8633346877962887,0.8785996612083569,0.7572335920959774,0.8633346877962886,0.0,0.0
Flow Pkts/s,SP,1,2,ET,0.9855072463768116,0.9075429214748101,0.9675492412011624,0.9075429214748101,0.9351723101206357,0.870388458937561,0.90754292147481,0.0,0.0
Flow Pkts/s,SP,2,2,ET,0.9709302325581395,0.8732124428718856,0.8732124428718856,0.8732124428718856,0.8732124428718856,0.7464248857437712,0.8732124428718855,0.0,0.0
Flow Pkts/s,SP,3,2,ET,0.9767441860465116,0.8483540205072855,0.8924012158054712,0.8483540205072855,0.8689024390243903,0.7378548294913316,0.8483540205072855,0.006604671478271484,0.0
Flow Pkts/s,SP,1,3,ET,0.9710144927536232,0.7469604863221885,0.8880597014925373,0.7469604863221885,0.8001621872103799,0.6011560693641618,0.7469604863221885,0.0,0.0
Flow Pkts/s,SP,2,3,ET,0.9883720930232558,0.9428671573781984,0.9752978056426331,0.9428671573781984,0.9583938074504113,0.916797678074737,0.9428671573781983,0.0,0.0
Flow Pkts/s,SP,3,3,ET,0.9883720930232558,0.9381183666127001,0.9381183666127001,0.9381183666127001,0.9381183666127001,0.8762367332254002,0.9381183666127001,0.0,0.0
Flow Pkts/s,SP,1,4,ET,0.9855072463768116,0.9075429214748101,0.9675492412011624,0.9075429214748101,0.9351723101206357,0.870388458937561,0.90754292147481,0.0,0.0
Flow Pkts/s,SP,2,4,ET,0.9738372093023255,0.8386009760632117,0.8153679653679654,0.8386009760632117,0.8265254664649522,0.6530703720304796,0.8386009760632117,0.0,0.0
Flow Pkts/s,SP,3,4,ET,0.9651162790697675,0.833730407523511,0.8923780038331122,0.833730407523511,0.8602194229987811,0.7205902260728306,0.8337304075235109,0.0026137828826904297,0.0
