Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Pkt Len Min,SP,1,0,ET,0.9536231884057971,0.6,0.9765395894428153,0.6,0.6546546546546547,0.3201970443349753,0.6,0.0,0.0
Pkt Len Min,SP,2,0,ET,0.938953488372093,0.5625,0.969208211143695,0.5625,0.5952260884182216,0.20997375328084,0.5625,0.0,0.0
Pkt Len Min,SP,3,0,ET,0.9680232558139535,0.65625,0.9837758112094395,0.65625,0.7298493610337689,0.464326160815402,0.65625,0.0,0.0
Pkt Len Min,SP,1,1,ET,0.9333333333333333,0.5740740740740741,0.966275659824047,0.5740740740740741,0.6115815752117089,0.24277125679931288,0.5740740740740741,0.0,0.010101556777954102
Pkt Len Min,SP,2,1,ET,0.9593023255813954,0.5625,0.97953216374269,0.5625,0.6006633499170813,0.21409921671018273,0.5625,0.0,0.0
Pkt Len Min,SP,3,1,ET,0.9680232558139535,0.6764705882352942,0.9837278106508875,0.6764705882352942,0.752598888525662,0.5090814737934614,0.6764705882352942,0.0,0.0
Pkt Len Min,SP,1,2,ET,0.9652173913043478,0.6,0.9824561403508771,0.6,0.6577380952380953,0.32352941176470595,0.6,0.0,0.0
Pkt Len Min,SP,2,2,ET,0.9593023255813954,0.5625,0.97953216374269,0.5625,0.6006633499170813,0.21409921671018273,0.5625,0.0,0.0
Pkt Len Min,SP,3,2,ET,0.9302325581395349,0.5862068965517242,0.9646017699115044,0.5862068965517242,0.6287101996762008,0.27617043661230933,0.5862068965517242,0.0,0.0
Pkt Len Min,SP,1,3,ET,0.9565217391304348,0.6052631578947368,0.9780058651026393,0.6052631578947368,0.6626686656671664,0.33508929718617486,0.6052631578947368,0.0,0.0
Pkt Len Min,SP,2,3,ET,0.938953488372093,0.6111111111111112,0.9689349112426036,0.6111111111111112,0.6657876474670368,0.3449401523394995,0.6111111111111112,0.0,0.0
Pkt Len Min,SP,3,3,ET,0.9651162790697675,0.5714285714285714,0.9824561403508771,0.5714285714285714,0.6160714285714286,0.24229074889867852,0.5714285714285714,0.0,0.0
Pkt Len Min,SP,1,4,ET,0.9449275362318841,0.5869565217391304,0.9721407624633431,0.5869565217391304,0.6338193397016927,0.2821158690176323,0.5869565217391304,0.0,0.0
Pkt Len Min,SP,2,4,ET,0.9534883720930233,0.6190476190476191,0.976401179941003,0.6190476190476191,0.6802231001626772,0.3698190977787954,0.6190476190476191,0.0010089874267578125,0.0
Pkt Len Min,SP,3,4,ET,0.9622093023255814,0.59375,0.9809384164222874,0.59375,0.6481787428211785,0.3055900621118012,0.59375,0.0,0.0
