Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Idle Min,SYN,1,0,ET,0.9984045382024463,0.625,0.9992018446257538,0.625,0.6996006035324398,0.3994890174230865,0.625,0.0,0.0
Idle Min,SYN,2,0,ET,0.9978727176032618,0.6,0.9989357928343384,0.6,0.6661339962121212,0.33274189732670933,0.6,0.0,0.0
Idle Min,SYN,3,0,ET,0.9975181705371388,0.5665777935774381,0.8321804422371999,0.5665777935774381,0.6104896622474747,0.22153221354782748,0.5665777935774381,0.013509035110473633,0.0
Idle Min,SYN,1,1,ET,0.9973408970040772,0.5833333333333334,0.998669741042923,0.5833333333333334,0.6421911274055843,0.2850624825733188,0.5833333333333333,0.009019136428833008,0.0
Idle Min,SYN,2,1,ET,0.9984045382024463,0.6538461538461539,0.9992017030335285,0.6538461538461539,0.7348946502702278,0.47001346653722087,0.6538461538461539,0.0,0.01250767707824707
Idle Min,SYN,3,1,ET,0.9985818117355079,0.6363636363636364,0.9992905285562257,0.6363636363636364,0.7139307267102794,0.428093475946672,0.6363636363636364,0.006007671356201172,0.0
Idle Min,SYN,1,2,ET,0.9980499911363233,0.5,0.49902499556816166,0.5,0.4995120220033715,0.0,0.5,0.0,0.0
Idle Min,SYN,2,2,ET,0.9991136323346924,0.7222222222222222,0.9995565016852936,0.7222222222222222,0.8074704601459415,0.615006620166255,0.7222222222222222,0.002862215042114258,0.0
Idle Min,SYN,3,2,ET,0.9969863499379542,0.6136363636363636,0.9984918381831086,0.6136363636363636,0.6844299652829196,0.36945958563190795,0.6136363636363636,0.015636444091796875,0.0015096664428710938
Idle Min,SYN,1,3,ET,0.9985818117355079,0.6666666666666666,0.9992904026964697,0.6666666666666666,0.7496449494052903,0.49946761313220944,0.6666666666666667,0.01511240005493164,0.0
Idle Min,SYN,2,3,ET,0.9980499911363233,0.6071428571428571,0.9990244767648102,0.6071428571428571,0.6759823503302785,0.3523738949829355,0.6071428571428572,0.0,0.0
Idle Min,SYN,3,3,ET,0.9973408970040772,0.53125,0.9986702127659575,0.53125,0.5581577504503799,0.11735252699108123,0.53125,0.0,0.0
Idle Min,SYN,1,4,ET,0.9978727176032618,0.5714285714285714,0.9989359815570136,0.5714285714285714,0.6244674241079353,0.24953436807095342,0.5714285714285714,0.0026149749755859375,0.0
Idle Min,SYN,2,4,ET,0.9985818117355079,0.6666666666666666,0.9992904026964697,0.6666666666666666,0.7496449494052903,0.49946761313220944,0.6666666666666667,0.0,0.0
Idle Min,SYN,3,4,ET,0.9976954440702003,0.59375,0.9988471089038666,0.59375,0.6573176259480273,0.31517607836911554,0.59375,0.0,0.0
