Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Flow IAT Min,UDP,1,0,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Flow IAT Min,UDP,2,0,ET,0.9959514170040485,0.9,0.9979423868312758,0.9,0.9434135166093929,0.8868529546495648,0.9,0.0,0.0
Flow IAT Min,UDP,3,0,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004149675369262695,0.0
Flow IAT Min,UDP,1,1,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010085105895996094,0.0
Flow IAT Min,UDP,2,1,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Flow IAT Min,UDP,3,1,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Flow IAT Min,UDP,1,2,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Flow IAT Min,UDP,2,2,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0021033287048339844,0.0
Flow IAT Min,UDP,3,2,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Flow IAT Min,UDP,1,3,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Flow IAT Min,UDP,2,3,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Flow IAT Min,UDP,3,3,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Flow IAT Min,UDP,1,4,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Flow IAT Min,UDP,2,4,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Flow IAT Min,UDP,3,4,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
