Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Fwd IAT Std,UDP,1,0,ET,0.9879032258064516,0.75,0.9938775510204081,0.75,0.8302532511978098,0.6612021857923498,0.75,0.0,0.0
Fwd IAT Std,UDP,2,0,ET,0.9919028340080972,0.9957983193277311,0.9090909090909092,0.9957983193277311,0.9478902953586499,0.8958245466048081,0.9957983193277311,0.0,0.0
Fwd IAT Std,UDP,3,0,ET,0.979757085020243,0.793801652892562,0.745850622406639,0.793801652892562,0.7675512892904197,0.5351900639819345,0.7938016528925621,0.0,0.0
Fwd IAT Std,UDP,1,1,ET,0.9838709677419355,0.9381682938168294,0.8615266589950135,0.9381682938168294,0.895798319327731,0.7916841663166737,0.9381682938168294,0.0,0.0
Fwd IAT Std,UDP,2,1,ET,0.9878542510121457,0.7857142857142857,0.9938271604938271,0.7857142857142857,0.8605307735742518,0.7215332581736189,0.7857142857142857,0.0,0.0
Fwd IAT Std,UDP,3,1,ET,0.9878542510121457,0.8708847736625515,0.7979338842975207,0.8708847736625515,0.8302405498281786,0.6605588639486945,0.8708847736625515,0.0,0.0
Fwd IAT Std,UDP,1,2,ET,0.9879032258064516,0.993801652892562,0.8333333333333333,0.993801652892562,0.8968814968814969,0.7940199335548173,0.9938016528925621,0.007508039474487305,0.0
Fwd IAT Std,UDP,2,2,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Fwd IAT Std,UDP,3,2,ET,0.97165991902834,0.6386904761904761,0.7397119341563786,0.6386904761904761,0.6745718050065876,0.3502442690717775,0.6386904761904761,0.0,0.0
Fwd IAT Std,UDP,1,3,ET,0.9838709677419355,0.9916666666666667,0.8333333333333333,0.9916666666666667,0.895798319327731,0.7919463087248322,0.9916666666666666,0.0,0.0
Fwd IAT Std,UDP,2,3,ET,0.9676113360323887,0.9021438450899032,0.7062056737588652,0.9021438450899032,0.7693744164332399,0.5406787540678755,0.9021438450899032,0.008011817932128906,0.0
Fwd IAT Std,UDP,3,3,ET,0.9878542510121457,0.8312586445366528,0.8958677685950414,0.8312586445366528,0.8605307735742518,0.7211140383891608,0.8312586445366528,0.0,0.0
Fwd IAT Std,UDP,1,4,ET,0.9717741935483871,0.9042699724517906,0.7251630226313771,0.9042699724517906,0.7868107577060051,0.574926542605289,0.9042699724517907,0.0,0.0
Fwd IAT Std,UDP,2,4,ET,0.9838056680161943,0.8312324929971988,0.9223214285714285,0.8312324929971988,0.87081589958159,0.7417668583376895,0.8312324929971988,0.0,0.0
Fwd IAT Std,UDP,3,4,ET,0.9919028340080972,0.8979338842975206,0.8979338842975206,0.8979338842975206,0.8979338842975207,0.7958677685950413,0.8979338842975206,0.0,0.0
