Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Idle Max,UDP,1,0,ET,0.9637096774193549,0.5,0.48185483870967744,0.5,0.49075975359342916,0.0,0.5,0.0,0.0
Idle Max,UDP,2,0,ET,0.9757085020242915,0.5,0.48785425101214575,0.5,0.49385245901639346,0.0,0.5,0.0,0.0
Idle Max,UDP,3,0,ET,0.979757085020243,0.5,0.4898785425101215,0.5,0.49488752556237214,0.0,0.5,0.0,0.0
Idle Max,UDP,1,1,ET,0.9758064516129032,0.5,0.4879032258064516,0.5,0.49387755102040815,0.0,0.5,0.0,0.0009975433349609375
Idle Max,UDP,2,1,ET,0.9878542510121457,0.5,0.4939271255060729,0.5,0.4969450101832994,0.0,0.5,0.0,0.0
Idle Max,UDP,3,1,ET,0.9554655870445344,0.5,0.4777327935222672,0.5,0.4886128364389234,0.0,0.5,0.0,0.0
Idle Max,UDP,1,2,ET,0.967741935483871,0.5,0.4838709677419355,0.5,0.4918032786885246,0.0,0.5,0.0,0.0
Idle Max,UDP,2,2,ET,0.979757085020243,0.5,0.4898785425101215,0.5,0.49488752556237214,0.0,0.5,0.0,0.0
Idle Max,UDP,3,2,ET,0.97165991902834,0.5,0.48582995951417,0.5,0.49281314168377827,0.0,0.5,0.008105278015136719,0.0
Idle Max,UDP,1,3,ET,0.9596774193548387,0.5,0.4798387096774194,0.5,0.4897119341563786,0.0,0.5,0.0,0.0
Idle Max,UDP,2,3,ET,0.97165991902834,0.5,0.48582995951417,0.5,0.49281314168377827,0.0,0.5,0.0,0.0
Idle Max,UDP,3,3,ET,0.9878542510121457,0.5,0.4939271255060729,0.5,0.4969450101832994,0.0,0.5,0.0,0.0
Idle Max,UDP,1,4,ET,0.9596774193548387,0.5,0.4798387096774194,0.5,0.4897119341563786,0.0,0.5,0.0,0.0
Idle Max,UDP,2,4,ET,0.979757085020243,0.5,0.4898785425101215,0.5,0.49488752556237214,0.0,0.5,0.0,0.0
Idle Max,UDP,3,4,ET,0.979757085020243,0.5,0.4898785425101215,0.5,0.49488752556237214,0.0,0.5,0.0,0.0
