Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Pkt Len Mean,UDP,1,0,ET,0.9838709677419355,0.9917695473251029,0.7777777777777778,0.9917695473251029,0.8529934795494961,0.706682436428149,0.9917695473251028,0.0,0.0
Pkt Len Mean,UDP,2,0,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Pkt Len Mean,UDP,3,0,ET,0.9919028340080972,0.995850622406639,0.875,0.995850622406639,0.9264880952380952,0.8530636525877454,0.995850622406639,0.0,0.0
Pkt Len Mean,UDP,1,1,ET,0.9919354838709677,0.995850622406639,0.8888888888888888,0.995850622406639,0.9354166666666668,0.8709005726184279,0.995850622406639,0.0,0.0
Pkt Len Mean,UDP,2,1,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Pkt Len Mean,UDP,3,1,ET,0.9959514170040485,0.9979166666666667,0.9375,0.9979166666666667,0.9656228253305498,0.9312552184803785,0.9979166666666667,0.0,0.0
Pkt Len Mean,UDP,1,2,ET,0.9919354838709677,0.9959016393442623,0.8333333333333333,0.9959016393442623,0.8979423868312757,0.7960526315789473,0.9959016393442622,0.0,0.0
Pkt Len Mean,UDP,2,2,ET,0.9959514170040485,0.9978813559322034,0.9583333333333333,0.9978813559322034,0.977199298439952,0.9544028059811704,0.9978813559322034,0.0,0.0
Pkt Len Mean,UDP,3,2,ET,0.9959514170040485,0.9979338842975207,0.9166666666666667,0.9979338842975207,0.9535102578580839,0.9070380127963868,0.9979338842975207,0.0,0.0
Pkt Len Mean,UDP,1,3,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Pkt Len Mean,UDP,2,3,ET,0.9919028340080972,0.9958333333333333,0.8888888888888888,0.9958333333333333,0.935407949790795,0.8708834291688448,0.9958333333333333,0.0,0.0
Pkt Len Mean,UDP,3,3,ET,0.9919028340080972,0.9957805907172996,0.9166666666666667,0.9957805907172996,0.9524268104776579,0.9048902579899885,0.9957805907172995,0.0,0.0
Pkt Len Mean,UDP,1,4,ET,0.9919354838709677,0.995850622406639,0.8888888888888888,0.995850622406639,0.9354166666666668,0.8709005726184279,0.995850622406639,0.0,0.0
Pkt Len Mean,UDP,2,4,ET,0.9959514170040485,0.9979338842975207,0.9166666666666667,0.9979338842975207,0.9535102578580839,0.9070380127963868,0.9979338842975207,0.0,0.0
Pkt Len Mean,UDP,3,4,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
