Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Active Min,ARP,0,0,ET,0.4229607250755287,0.5159474671669794,0.5305663769853162,0.5159474671669794,0.3908464614346967,0.025164603025303545,0.5159474671669794,0.0,0.0
Active Min,ARP,0,1,ET,0.4169184290030212,0.5094785803627266,0.518167515732694,0.5094785803627266,0.38446789035024326,0.014956902533421856,0.5094785803627266,0.0,0.0
Active Min,ARP,0,2,ET,0.40483383685800606,0.5031855847404628,0.5071566561292589,0.5031855847404628,0.363865177308424,0.0049745929531688216,0.5031855847404628,0.0,0.0
Active Min,ARP,0,3,ET,0.40483383685800606,0.49820200125078173,0.49642579642579643,0.49820200125078173,0.3698406409153725,-0.0028297679282716093,0.49820200125078173,0.0,0.0
Active Min,ARP,0,4,ET,0.41389728096676737,0.5070747342088805,0.5138062547673532,0.5070747342088805,0.3803651381812567,0.011149096060858121,0.5070747342088805,0.0,0.0
Active Min,ARP,0,5,ET,0.4229607250755287,0.5192698561601,0.5398094315245479,0.5192698561601,0.38716181502699654,0.030248646327059703,0.5192698561601001,0.0,0.0
Active Min,ARP,0,6,ET,0.4259818731117825,0.5216737023139462,0.5439103579347482,0.5216737023139462,0.3913085559427023,0.03406647416600117,0.5216737023139462,0.0,0.0
Active Min,ARP,0,7,ET,0.42900302114803623,0.5273999374609131,0.5589571068124475,0.5273999374609131,0.3916683683888095,0.04289888774995032,0.5273999374609131,0.003607034683227539,0.0
Active Min,ARP,0,8,ET,0.40483383685800606,0.5015243902439024,0.5032800672834314,0.5015243902439024,0.365918881336484,0.002386671358413861,0.5015243902439024,0.0,0.0
Active Min,ARP,0,9,ET,0.4259818731117825,0.5200125078173858,0.5390541571319604,0.5200125078173858,0.393141114713602,0.031537774492592985,0.5200125078173858,0.0,0.0
Active Min,ARP,0,10,ET,0.4380664652567976,0.5362726704190119,0.5764541110561872,0.5362726704190119,0.40227184466019417,0.05686448726983051,0.5362726704190119,0.0,0.0
Active Min,ARP,0,11,ET,0.4108761329305136,0.5046708880550344,0.5092851592851593,0.5046708880550344,0.3762381978603941,0.007351244944096669,0.5046708880550344,0.0009789466857910156,0.0
Active Min,ARP,0,12,ET,0.4169184290030212,0.5094785803627266,0.518167515732694,0.5094785803627266,0.38446789035024326,0.014956902533421856,0.5094785803627266,0.0010104179382324219,0.0
Active Min,ARP,0,13,ET,0.4078549848942598,0.49728345841150723,0.49505338078291816,0.49728345841150723,0.3775807813339473,-0.004303538809251162,0.49728345841150723,0.0010027885437011719,0.0
Active Min,ARP,0,14,ET,0.41389728096676737,0.5103971232020013,0.5219146482122261,0.5103971232020013,0.3765631067961165,0.01629951898036086,0.5103971232020013,0.0005919933319091797,0.0
Active Min,ARP,0,15,ET,0.40483383685800606,0.5065079737335835,0.5160714285714285,0.5065079737335835,0.35956667354174654,0.01011036388201536,0.5065079737335836,0.000997781753540039,0.0
Active Min,ARP,0,16,ET,0.40181268882175225,0.4957981550969356,0.49148717136522013,0.4957981550969356,0.3656794425087108,-0.006604411132272503,0.4957981550969356,0.0,0.0
Active Min,ARP,0,17,ET,0.4259818731117825,0.5249960913070669,0.5549398625429554,0.5249960913070669,0.3874668848371513,0.039084464001955754,0.5249960913070668,0.0,0.0
Active Min,ARP,0,18,ET,0.41389728096676737,0.5137195121951219,0.5315250583797377,0.5137195121951219,0.3725179799874922,0.021396568014873996,0.5137195121951219,0.0,0.0
Active Min,ARP,0,19,ET,0.4108761329305136,0.5046708880550344,0.5092851592851593,0.5046708880550344,0.3762381978603941,0.007351244944096669,0.5046708880550344,0.0,0.0
Active Min,ARP,0,20,ET,0.4169184290030212,0.5177845528455285,0.5418275418275418,0.5177845528455285,0.3747075808740762,0.027700409418139116,0.5177845528455285,0.0,0.0
Active Min,ARP,0,21,ET,0.40483383685800606,0.5031855847404628,0.5071566561292589,0.5031855847404628,0.363865177308424,0.0049745929531688216,0.5031855847404628,0.0,0.0
Active Min,ARP,0,22,ET,0.4169184290030212,0.5161233583489682,0.5362223393045311,0.5161233583489682,0.3767816204087605,0.02517815451757144,0.516123358348968,0.0,0.0
Active Min,ARP,0,23,ET,0.4108761329305136,0.5096544715447154,0.521689497716895,0.5096544715447154,0.3703233988585923,0.015076373735370074,0.5096544715447154,0.0,0.0
Active Min,ARP,0,24,ET,0.4169184290030212,0.5161233583489682,0.5362223393045311,0.5161233583489682,0.3767816204087605,0.02517815451757144,0.516123358348968,0.0,0.0
