Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Bwd IAT Min,ARP,0,0,ET,0.4954682779456193,0.5387546904315197,0.5402492490054396,0.5387546904315197,0.4950073542174839,0.06694461792954443,0.5387546904315197,0.0,0.0
Bwd IAT Min,ARP,0,1,ET,0.5045317220543807,0.5476274233896186,0.5492562050287009,0.5476274233896186,0.504165144318597,0.08238953311470987,0.5476274233896185,0.0,0.008607625961303711
Bwd IAT Min,ARP,0,2,ET,0.49244712990936557,0.5346896497811132,0.5358759802732638,0.5346896497811132,0.4920716112531969,0.060008790019946745,0.5346896497811132,0.001613616943359375,0.0
Bwd IAT Min,ARP,0,3,ET,0.48338368580060426,0.5308005003126954,0.5328771695594126,0.5308005003126954,0.48217373404693287,0.052750489515170695,0.5308005003126954,0.0,0.0
Bwd IAT Min,ARP,0,4,ET,0.486404833836858,0.5332043464665416,0.5352723800033217,0.5332043464665416,0.48534791834345503,0.056948448079372604,0.5332043464665416,0.0,0.0
Bwd IAT Min,ARP,0,5,ET,0.5015105740181269,0.5468847717323327,0.5491195741195741,0.5468847717323327,0.5008545290037197,0.08075673674111739,0.5468847717323327,0.0,0.0
Bwd IAT Min,ARP,0,6,ET,0.4954682779456193,0.5370934959349594,0.5382045088566827,0.5370934959349594,0.4951733837456734,0.06425947556413247,0.5370934959349594,0.0,0.0
Bwd IAT Min,ARP,0,7,ET,0.5015105740181269,0.5468847717323327,0.5491195741195741,0.5468847717323327,0.5008545290037197,0.08075673674111739,0.5468847717323327,0.0,0.0
Bwd IAT Min,ARP,0,8,ET,0.5015105740181269,0.5485459662288931,0.5513265559137119,0.5485459662288931,0.5006171992867919,0.08337948743769186,0.5485459662288931,0.0,0.0
Bwd IAT Min,ARP,0,9,ET,0.5045317220543807,0.5476274233896186,0.5492562050287009,0.5476274233896186,0.504165144318597,0.08238953311470987,0.5476274233896185,0.0,0.0
Bwd IAT Min,ARP,0,10,ET,0.4954682779456193,0.5420770794246405,0.5444871476981569,0.5420770794246405,0.4945640744296621,0.07226893577026994,0.5420770794246405,0.0,0.0
Bwd IAT Min,ARP,0,11,ET,0.4984894259818731,0.5394973420888055,0.5405172413793103,0.5394973420888055,0.4982650303163124,0.06852241133789927,0.5394973420888055,0.0,0.0
Bwd IAT Min,ARP,0,12,ET,0.5045317220543807,0.5476274233896186,0.5492562050287009,0.5476274233896186,0.504165144318597,0.08238953311470987,0.5476274233896185,0.0,0.0
Bwd IAT Min,ARP,0,13,ET,0.49244712990936557,0.5363508442776735,0.5379158512720157,0.5363508442776735,0.49188596491228065,0.06270226537216816,0.5363508442776735,0.0,0.0
Bwd IAT Min,ARP,0,14,ET,0.49244712990936557,0.5396732332707943,0.542144162099319,0.5396732332707943,0.491402648715885,0.0680431722196152,0.5396732332707942,0.0,0.0
Bwd IAT Min,ARP,0,15,ET,0.4984894259818731,0.5428197310819263,0.5446632420091324,0.5428197310819263,0.49793494152046786,0.07386057173678517,0.5428197310819263,0.0,0.0
Bwd IAT Min,ARP,0,16,ET,0.4984894259818731,0.5444809255784866,0.5468120115178938,0.5444809255784866,0.4977146409243821,0.0765067733369188,0.5444809255784866,0.0,0.0
Bwd IAT Min,ARP,0,17,ET,0.49244712990936557,0.5346896497811132,0.5358759802732638,0.5346896497811132,0.4920716112531969,0.060008790019946745,0.5346896497811132,0.0,0.0
Bwd IAT Min,ARP,0,18,ET,0.5015105740181269,0.5452235772357723,0.546967605748153,0.5452235772357723,0.5010551703346398,0.07811893388248403,0.5452235772357723,0.0,0.0
Bwd IAT Min,ARP,0,19,ET,0.4984894259818731,0.5428197310819263,0.5446632420091324,0.5428197310819263,0.49793494152046786,0.07386057173678517,0.5428197310819263,0.0,0.0
Bwd IAT Min,ARP,0,20,ET,0.5045317220543807,0.5509498123827392,0.5536199095022625,0.5509498123827392,0.5037662717566184,0.08763319775454637,0.5509498123827392,0.0,0.0
Bwd IAT Min,ARP,0,21,ET,0.5045317220543807,0.5492886178861789,0.5514106327462491,0.5492886178861789,0.503983918128655,0.0850188781014023,0.5492886178861789,0.0,0.0
Bwd IAT Min,ARP,0,22,ET,0.4984894259818731,0.5428197310819263,0.5446632420091324,0.5428197310819263,0.49793494152046786,0.07386057173678517,0.5428197310819263,0.0,0.0
Bwd IAT Min,ARP,0,23,ET,0.49244712990936557,0.5396732332707943,0.542144162099319,0.5396732332707943,0.491402648715885,0.0680431722196152,0.5396732332707942,0.0046083927154541016,0.0
Bwd IAT Min,ARP,0,24,ET,0.4984894259818731,0.5444809255784866,0.5468120115178938,0.5444809255784866,0.4977146409243821,0.0765067733369188,0.5444809255784866,0.0,0.0
