Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Subflow Fwd Byts,BF,0,0,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.008116722106933594,0.0
Subflow Fwd Byts,BF,0,1,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.0
Subflow Fwd Byts,BF,0,2,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.0
Subflow Fwd Byts,BF,0,3,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.0
Subflow Fwd Byts,BF,0,4,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.0061113834381103516
Subflow Fwd Byts,BF,0,5,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.0036077499389648438
Subflow Fwd Byts,BF,0,6,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.0
Subflow Fwd Byts,BF,0,7,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.0061092376708984375
Subflow Fwd Byts,BF,0,8,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.01682877540588379
Subflow Fwd Byts,BF,0,9,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.0
Subflow Fwd Byts,BF,0,10,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0014696121215820312,0.0
Subflow Fwd Byts,BF,0,11,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.0
Subflow Fwd Byts,BF,0,12,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.006109714508056641,0.003612518310546875
Subflow Fwd Byts,BF,0,13,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.00860738754272461
Subflow Fwd Byts,BF,0,14,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.009607315063476562,0.0
Subflow Fwd Byts,BF,0,15,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.013095855712890625,0.0036029815673828125
Subflow Fwd Byts,BF,0,16,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.008107423782348633
Subflow Fwd Byts,BF,0,17,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.0
Subflow Fwd Byts,BF,0,18,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.004999876022338867
Subflow Fwd Byts,BF,0,19,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.0
Subflow Fwd Byts,BF,0,20,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.0
Subflow Fwd Byts,BF,0,21,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.0
Subflow Fwd Byts,BF,0,22,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.00810384750366211
Subflow Fwd Byts,BF,0,23,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.009103775024414062
Subflow Fwd Byts,BF,0,24,ET,0.52185,0.52185,0.7478279890012011,0.52185,0.38066800612618623,0.04369999999999996,0.52185,0.0,0.010111093521118164
