Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ACK Flag Cnt,ACK,0,0,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.0020537376403808594
ACK Flag Cnt,ACK,0,1,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.009068012237548828
ACK Flag Cnt,ACK,0,2,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.0
ACK Flag Cnt,ACK,0,3,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0010483264923095703,0.0010075569152832031
ACK Flag Cnt,ACK,0,4,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0009996891021728516,0.001003265380859375
ACK Flag Cnt,ACK,0,5,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.0
ACK Flag Cnt,ACK,0,6,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.0
ACK Flag Cnt,ACK,0,7,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.000997304916381836
ACK Flag Cnt,ACK,0,8,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.0
ACK Flag Cnt,ACK,0,9,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0009996891021728516,0.0004420280456542969
ACK Flag Cnt,ACK,0,10,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0010013580322265625,0.0
ACK Flag Cnt,ACK,0,11,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.0010547637939453125
ACK Flag Cnt,ACK,0,12,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0010042190551757812,0.0
ACK Flag Cnt,ACK,0,13,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0010030269622802734,0.0015385150909423828
ACK Flag Cnt,ACK,0,14,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0010018348693847656,0.0009984970092773438
ACK Flag Cnt,ACK,0,15,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.00476837158203125,0.0
ACK Flag Cnt,ACK,0,16,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0005617141723632812,0.0
ACK Flag Cnt,ACK,0,17,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.0
ACK Flag Cnt,ACK,0,18,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.0
ACK Flag Cnt,ACK,0,19,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.0
ACK Flag Cnt,ACK,0,20,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.0
ACK Flag Cnt,ACK,0,21,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.0
ACK Flag Cnt,ACK,0,22,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.0
ACK Flag Cnt,ACK,0,23,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0010094642639160156,0.0
ACK Flag Cnt,ACK,0,24,ET,0.9901781955942192,0.7784810126582278,0.995027702798693,0.7784810126582278,0.8552250049913406,0.7108611514552281,0.7784810126582279,0.0,0.0
