Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Tot Bwd Pkts,ACK,0,0,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0,0.006317138671875
Tot Bwd Pkts,ACK,0,1,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.002200603485107422,0.0025577545166015625
Tot Bwd Pkts,ACK,0,2,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0,0.0
Tot Bwd Pkts,ACK,0,3,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0,0.009054183959960938
Tot Bwd Pkts,ACK,0,4,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0,0.0013813972473144531
Tot Bwd Pkts,ACK,0,5,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0010523796081542969,0.0010039806365966797
Tot Bwd Pkts,ACK,0,6,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0,0.001956462860107422
Tot Bwd Pkts,ACK,0,7,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0009958744049072266,0.0008795261383056641
Tot Bwd Pkts,ACK,0,8,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0031223297119140625,0.0019979476928710938
Tot Bwd Pkts,ACK,0,9,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0,0.0
Tot Bwd Pkts,ACK,0,10,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.005512237548828125,0.0
Tot Bwd Pkts,ACK,0,11,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0,0.0
Tot Bwd Pkts,ACK,0,12,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0,0.0
Tot Bwd Pkts,ACK,0,13,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0,0.0
Tot Bwd Pkts,ACK,0,14,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.007117748260498047,0.0020475387573242188
Tot Bwd Pkts,ACK,0,15,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.00099945068359375,0.0009984970092773438
Tot Bwd Pkts,ACK,0,16,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.001256704330444336,0.0
Tot Bwd Pkts,ACK,0,17,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0009996891021728516,0.0009968280792236328
Tot Bwd Pkts,ACK,0,18,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.008408784866333008,0.0
Tot Bwd Pkts,ACK,0,19,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0015501976013183594,0.0
Tot Bwd Pkts,ACK,0,20,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0019555091857910156,0.0
Tot Bwd Pkts,ACK,0,21,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0,0.008133649826049805
Tot Bwd Pkts,ACK,0,22,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.005276679992675781,0.0
Tot Bwd Pkts,ACK,0,23,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0,0.0
Tot Bwd Pkts,ACK,0,24,ET,0.9849866704083065,0.6613924050632911,0.9924392312040701,0.6613924050632911,0.7402099539927198,0.48243855990150863,0.6613924050632911,0.0005614757537841797,0.0
