Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Flow IAT Mean,BF,0,0,ET,0.8080204778156996,0.6296594982078854,0.6302525499727141,0.6296594982078854,0.6299544634901033,0.25990996553543555,0.6296594982078854,0.0,0.0
Flow IAT Mean,BF,0,1,ET,0.7986348122866894,0.5991039426523297,0.6049136786188579,0.5991039426523297,0.6018013037569392,0.2037676753719313,0.5991039426523297,0.005573749542236328,0.0
Flow IAT Mean,BF,0,2,ET,0.8071672354948806,0.613239247311828,0.6210807444489689,0.613239247311828,0.6168538480677209,0.23392489414377937,0.613239247311828,0.0,0.0
Flow IAT Mean,BF,0,3,ET,0.8156996587030717,0.6114583333333333,0.6298238747553816,0.6114583333333333,0.61910264512052,0.23923548503425895,0.6114583333333333,0.0,0.009626388549804688
Flow IAT Mean,BF,0,4,ET,0.8046075085324232,0.6117271505376344,0.6176942545145628,0.6117271505376344,0.6145262870643657,0.22918653141406364,0.6117271505376344,0.0,0.0
Flow IAT Mean,BF,0,5,ET,0.8063139931740614,0.6036402329749104,0.6148962853967603,0.6036402329749104,0.6085832616099869,0.21767411223637623,0.6036402329749104,0.00099945068359375,0.0
Flow IAT Mean,BF,0,6,ET,0.8097269624573379,0.619298835125448,0.6269222748532786,0.619298835125448,0.6228406009590756,0.24586512159370277,0.619298835125448,0.0,0.0
Flow IAT Mean,BF,0,7,ET,0.8174061433447098,0.6147401433691756,0.6336464448793215,0.6147401433691756,0.6226294724805153,0.24627960091357137,0.6147401433691756,0.001012563705444336,0.0
Flow IAT Mean,BF,0,8,ET,0.8114334470989761,0.6225806451612903,0.6304137992671374,0.6225806451612903,0.626223196466169,0.25262866310407317,0.6225806451612903,0.0,0.0
Flow IAT Mean,BF,0,9,ET,0.8165529010238908,0.6369735663082436,0.6428863534126692,0.6369735663082436,0.6397934079820683,0.27967022286256615,0.6369735663082436,0.0010135173797607422,0.0
Flow IAT Mean,BF,0,10,ET,0.8097269624573379,0.6238463261648746,0.6291924449819186,0.6238463261648746,0.6263903720000057,0.2528672544109407,0.6238463261648745,0.0009596347808837891,0.0009493827819824219
Flow IAT Mean,BF,0,11,ET,0.8097269624573379,0.6170250896057348,0.6257620896151184,0.6170250896057348,0.6210337052584263,0.24231460543862704,0.6170250896057349,0.0,0.0
Flow IAT Mean,BF,0,12,ET,0.8267918088737202,0.6362007168458781,0.6559904301923583,0.6362007168458781,0.644722793405041,0.2902182603611021,0.6362007168458782,0.0020079612731933594,0.0006201267242431641
Flow IAT Mean,BF,0,13,ET,0.818259385665529,0.6266129032258064,0.6403639479222932,0.6266129032258064,0.6327235009820581,0.2659232859310491,0.6266129032258065,0.0021047592163085938,0.0023987293243408203
Flow IAT Mean,BF,0,14,ET,0.8054607508532423,0.6190524193548387,0.6224172482896828,0.6190524193548387,0.6206796695341112,0.24139810587994825,0.6190524193548387,0.0,0.0
Flow IAT Mean,BF,0,15,ET,0.8071672354948806,0.6086917562724015,0.6186163060750519,0.6086917562724015,0.6131470868312974,0.22666012659706158,0.6086917562724015,0.0,0.0
Flow IAT Mean,BF,0,16,ET,0.8011945392491467,0.6097110215053764,0.6133503445642174,0.6097110215053764,0.6114583614935766,0.22297089655015423,0.6097110215053763,0.0009951591491699219,0.0010018348693847656
Flow IAT Mean,BF,0,17,ET,0.7986348122866894,0.6059251792114695,0.6089189874000875,0.6059251792114695,0.6073701842546063,0.21478049555994638,0.6059251792114695,0.0,0.0
Flow IAT Mean,BF,0,18,ET,0.8054607508532423,0.6054099462365592,0.6150348368170151,0.6054099462365592,0.6097236097236098,0.21981641090323023,0.6054099462365591,0.0027070045471191406,0.0
Flow IAT Mean,BF,0,19,ET,0.810580204778157,0.6220766129032258,0.6292330677290836,0.6220766129032258,0.6254232603137309,0.25100179632444386,0.6220766129032259,0.0,0.00154876708984375
Flow IAT Mean,BF,0,20,ET,0.8131399317406144,0.6281362007168458,0.6349796763555487,0.6281362007168458,0.6313592002929962,0.2628465082082093,0.628136200716846,0.0,0.0
Flow IAT Mean,BF,0,21,ET,0.8063139931740614,0.6104614695340502,0.6187084348951281,0.6104614695340502,0.6142361035590259,0.22872383602945445,0.6104614695340502,0.0,0.0
Flow IAT Mean,BF,0,22,ET,0.8088737201365188,0.6233422939068101,0.628046511627907,0.6233422939068101,0.6255932822197883,0.25125490553983765,0.6233422939068101,0.0009949207305908203,0.0
Flow IAT Mean,BF,0,23,ET,0.8063139931740614,0.6127352150537634,0.6199392260255608,0.6127352150537634,0.6160754099448885,0.23233803857296198,0.6127352150537634,0.0,0.0
Flow IAT Mean,BF,0,24,ET,0.8165529010238908,0.6210573476702509,0.6356468262683945,0.6210573476702509,0.6274463709361449,0.25547505643474255,0.6210573476702509,0.0015354156494140625,0.0
