Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Subflow Bwd Pkts,BF,0,0,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0009951591491699219,0.0010004043579101562
Subflow Bwd Pkts,BF,0,1,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0009980201721191406,0.0
Subflow Bwd Pkts,BF,0,2,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0020585060119628906,0.0
Subflow Bwd Pkts,BF,0,3,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0,0.0
Subflow Bwd Pkts,BF,0,4,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0,0.0
Subflow Bwd Pkts,BF,0,5,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.000997781753540039,0.0
Subflow Bwd Pkts,BF,0,6,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0,0.0010557174682617188
Subflow Bwd Pkts,BF,0,7,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.012051105499267578,0.0
Subflow Bwd Pkts,BF,0,8,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0009975433349609375,0.0
Subflow Bwd Pkts,BF,0,9,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0026061534881591797,0.0
Subflow Bwd Pkts,BF,0,10,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0,0.0
Subflow Bwd Pkts,BF,0,11,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0010068416595458984,0.0016639232635498047
Subflow Bwd Pkts,BF,0,12,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0009844303131103516,0.0010042190551757812
Subflow Bwd Pkts,BF,0,13,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0,0.005144596099853516
Subflow Bwd Pkts,BF,0,14,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0,0.0
Subflow Bwd Pkts,BF,0,15,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0,0.0
Subflow Bwd Pkts,BF,0,16,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0029027462005615234,0.0
Subflow Bwd Pkts,BF,0,17,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.002574443817138672,0.0
Subflow Bwd Pkts,BF,0,18,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0,0.0
Subflow Bwd Pkts,BF,0,19,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0010309219360351562,0.0009133815765380859
Subflow Bwd Pkts,BF,0,20,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0,0.0
Subflow Bwd Pkts,BF,0,21,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0015518665313720703,0.0
Subflow Bwd Pkts,BF,0,22,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.0019981861114501953,0.0
Subflow Bwd Pkts,BF,0,23,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.001001119613647461,0.0
Subflow Bwd Pkts,BF,0,24,ET,0.85580204778157,0.5942204301075269,0.7272438711420275,0.5942204301075269,0.617599076374771,0.2535988302859469,0.5942204301075269,0.002250194549560547,0.0
