Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Bwd Seg Size Avg,SP,0,0,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.0018358230590820312,0.0
Bwd Seg Size Avg,SP,0,1,ET,0.9762989972652689,0.8737864077669903,0.9872549019607844,0.8737864077669903,0.9213229614917797,0.8429387988854503,0.8737864077669903,0.0,0.0
Bwd Seg Size Avg,SP,0,2,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.0010080337524414062,0.0009980201721191406
Bwd Seg Size Avg,SP,0,3,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.0,0.0
Bwd Seg Size Avg,SP,0,4,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.0010061264038085938,0.001005411148071289
Bwd Seg Size Avg,SP,0,5,ET,0.9735642661804923,0.8592233009708738,0.9858260019550342,0.8592233009708738,0.9108902016475775,0.822199245493922,0.8592233009708738,0.0019998550415039062,0.0
Bwd Seg Size Avg,SP,0,6,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.011516571044921875,0.0
Bwd Seg Size Avg,SP,0,7,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.0027923583984375,0.0
Bwd Seg Size Avg,SP,0,8,ET,0.97538742023701,0.8689320388349515,0.9867776689520078,0.8689320388349515,0.9178812537255501,0.8360937871803528,0.8689320388349515,0.00099945068359375,0.0
Bwd Seg Size Avg,SP,0,9,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.0,0.0
Bwd Seg Size Avg,SP,0,10,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.001001596450805664,0.0
Bwd Seg Size Avg,SP,0,11,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.011025428771972656,0.0
Bwd Seg Size Avg,SP,0,12,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.0009958744049072266,0.0
Bwd Seg Size Avg,SP,0,13,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.002010822296142578,0.0
Bwd Seg Size Avg,SP,0,14,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.0,0.0
Bwd Seg Size Avg,SP,0,15,ET,0.9762989972652689,0.8737864077669903,0.9872549019607844,0.8737864077669903,0.9213229614917797,0.8429387988854503,0.8737864077669903,0.001971721649169922,0.0
Bwd Seg Size Avg,SP,0,16,ET,0.9735642661804923,0.8592233009708738,0.9858260019550342,0.8592233009708738,0.9108902016475775,0.822199245493922,0.8592233009708738,0.010561227798461914,0.0
Bwd Seg Size Avg,SP,0,17,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.0010013580322265625,0.0
Bwd Seg Size Avg,SP,0,18,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.0,0.0
Bwd Seg Size Avg,SP,0,19,ET,0.97538742023701,0.8689320388349515,0.9867776689520078,0.8689320388349515,0.9178812537255501,0.8360937871803528,0.8689320388349515,0.0,0.0
Bwd Seg Size Avg,SP,0,20,ET,0.9735642661804923,0.8592233009708738,0.9858260019550342,0.8592233009708738,0.9108902016475775,0.822199245493922,0.8592233009708738,0.0,0.0
Bwd Seg Size Avg,SP,0,21,ET,0.9735642661804923,0.8592233009708738,0.9858260019550342,0.8592233009708738,0.9108902016475775,0.822199245493922,0.8592233009708738,0.0,0.0
Bwd Seg Size Avg,SP,0,22,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.0,0.0
Bwd Seg Size Avg,SP,0,23,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.0,0.0
Bwd Seg Size Avg,SP,0,24,ET,0.9772105742935278,0.8786407766990292,0.9877330716388617,0.8786407766990292,0.9247295891621586,0.8497169692419817,0.8786407766990292,0.0010023117065429688,0.0
