Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
BF,5,1,0,ET,0.9369341572855417,0.7064994969183648,0.872622676223308,0.7064994969183648,0.760194804434799,0.5238344742197907,0.7064994969183648,0.013874292373657227,0.016336679458618164
BF,5,1,1,ET,0.9339897916905419,0.7338695831986,0.8286790007736545,0.7338695831986,0.7710727441044609,0.543451556724988,0.7338695831986,0.013613700866699219,0.016208887100219727
BF,5,1,2,ET,0.9895536729638478,0.9712810151562884,0.9668544415727569,0.9712810151562884,0.9690545363653833,0.9381092482786615,0.9712810151562884,0.01319742202758789,0.017201662063598633
BF,5,1,3,ET,0.9966677539074552,0.9952561293847323,0.9852395797709013,0.9952561293847323,0.990183415071141,0.9803670933685515,0.9952561293847323,0.021076679229736328,0.01980137825012207
BF,5,1,4,ET,0.9910699330906142,0.9714750520082325,0.9751768183861872,0.9714750520082325,0.9733168259529122,0.9466337545236351,0.9714750520082326,0.012615203857421875,0.01721668243408203
BF,5,1,5,ET,0.9302784805663056,0.6259894165502062,0.9533183615402017,0.6259894165502062,0.6822031293991214,0.37777110100115874,0.6259894165502062,0.015689611434936523,0.016551971435546875
BF,5,1,6,ET,0.8488235760818781,0.610228318569333,0.5893682598705359,0.610228318569333,0.5977271671357033,0.19677053945975453,0.6102283185693329,0.01214742660522461,0.01665639877319336
BF,5,1,7,ET,0.9812847659934589,0.9076709119817623,0.9791711608019296,0.9076709119817623,0.9398494097280853,0.8797869246681421,0.9076709119817623,0.018362045288085938,0.016505718231201172
BF,5,1,8,ET,0.9656108677063039,0.8350630468844328,0.9517218344784235,0.8350630468844328,0.8827351479641183,0.7660015418605925,0.8350630468844328,0.015439748764038086,0.0181882381439209
BF,5,1,9,ET,0.9851371245713479,0.9233062691604712,0.9876556073549937,0.9233062691604712,0.9526645223342907,0.9053830065580567,0.9233062691604713,0.014546394348144531,0.018285751342773438
