Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
pck_size_mean_WE,ACK,1,0,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
pck_size_mean_WE,ACK,2,0,ET,0.9995,0.9997308934337998,0.9965034965034965,0.9997308934337998,0.9981110245330689,0.9962220526343627,0.9997308934337997,0.0010120868682861328,0.0
pck_size_mean_WE,ACK,3,0,ET,0.99975,0.9998656636217087,0.9982078853046594,0.9998656636217087,0.9990351567182882,0.9980703139020376,0.9998656636217087,0.0,0.0
pck_size_mean_WE,ACK,4,0,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
pck_size_mean_WE,ACK,5,0,ET,0.9995,0.9997315436241611,0.9963898916967509,0.9997315436241611,0.998054141565093,0.9961082869165471,0.9997315436241611,0.0,0.0
pck_size_mean_WE,ACK,1,1,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015671491622924805,0.0
pck_size_mean_WE,ACK,2,1,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
pck_size_mean_WE,ACK,3,1,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
pck_size_mean_WE,ACK,4,1,ET,0.9995,0.9997305308542173,0.9965635738831615,0.9997305308542173,0.9981410911794777,0.9962821858144941,0.9997305308542173,0.0,0.0
pck_size_mean_WE,ACK,5,1,ET,0.99925,0.9995951417004049,0.9949664429530201,0.9995951417004049,0.9972679779006732,0.9945359669972407,0.9995951417004049,0.0,0.0
pck_size_mean_WE,ACK,1,2,ET,0.99975,0.9998661670235547,0.9981132075471698,0.9998661670235547,0.9989878949708249,0.9979757904538278,0.9998661670235547,0.0,0.0
pck_size_mean_WE,ACK,2,2,ET,0.9995,0.9997334754797441,0.996,0.9997334754797441,0.9978586700842291,0.9957173447537473,0.9997334754797441,0.0,0.0
pck_size_mean_WE,ACK,3,2,ET,0.99975,0.9998640195811803,0.9984567901234568,0.9998640195811803,0.9991592030169478,0.9983184063873651,0.9998640195811803,0.0,0.0
pck_size_mean_WE,ACK,4,2,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
pck_size_mean_WE,ACK,5,2,ET,0.99975,0.9998656997045394,0.9982014388489209,0.9998656997045394,0.9990319399318728,0.9980638803323156,0.9998656997045394,0.0,0.01559305191040039
pck_size_mean_WE,ACK,1,3,ET,0.9995,0.9997308934337998,0.9965034965034965,0.9997308934337998,0.9981110245330689,0.9962220526343627,0.9997308934337997,0.0,0.0
pck_size_mean_WE,ACK,2,3,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
pck_size_mean_WE,ACK,3,3,ET,0.9995,0.9997336884154461,0.9959514170040487,0.9997336884154461,0.9978342884121436,0.9956685815145888,0.9997336884154461,0.0,0.0
pck_size_mean_WE,ACK,4,3,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
pck_size_mean_WE,ACK,5,3,ET,0.99975,0.9998651564185546,0.9982935153583617,0.9998651564185546,0.9990778682619545,0.9981557369490726,0.9998651564185546,0.0,0.0
pck_size_mean_WE,ACK,1,4,ET,0.99975,0.9998657718120805,0.9981884057971014,0.9998657718120805,0.9990254358798938,0.998050872234675,0.9998657718120805,0.0,0.0
pck_size_mean_WE,ACK,2,4,ET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
pck_size_mean_WE,ACK,3,4,ET,0.99975,0.9998653380016159,0.9982638888888888,0.9998653380016159,0.9990630947152686,0.9981261898694329,0.9998653380016159,0.0,0.0
pck_size_mean_WE,ACK,4,4,ET,0.9995,0.9997316876844647,0.9963636363636363,0.9997316876844647,0.9980409903185741,0.9960819844748635,0.9997316876844647,0.0,0.0
pck_size_mean_WE,ACK,5,4,ET,0.99975,0.9998654829163304,0.9982394366197183,0.9998654829163304,0.9990508981943576,0.998101796839112,0.9998654829163304,0.0,0.0
