Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
dport_class,HTTP,1,0,ET,0.99075,0.9951973001038421,0.9,0.9951973001038421,0.9420315058765562,0.884125144843569,0.9951973001038422,0.0,0.0
dport_class,HTTP,2,0,ET,0.99075,0.9951810367283147,0.9065656565656566,0.9951810367283147,0.9460468175095575,0.8921474606556852,0.9951810367283146,0.0,0.0
dport_class,HTTP,3,0,ET,0.98825,0.9938738269030241,0.8886255924170616,0.9938738269030241,0.9342513661202185,0.8686042415669084,0.9938738269030241,0.0,0.0
dport_class,HTTP,4,0,ET,0.98875,0.9941237921128232,0.8958333333333333,0.9941237921128232,0.9389049942112482,0.8778939142326854,0.9941237921128232,0.0,0.0
dport_class,HTTP,5,0,ET,0.9905,0.9950559458756181,0.9025641025641026,0.9950559458756181,0.9435384176492962,0.8871373731223594,0.9950559458756181,0.0,0.0
dport_class,HTTP,1,1,ET,0.99075,0.9951973001038421,0.9,0.9951973001038421,0.9420315058765562,0.884125144843569,0.9951973001038422,0.0,0.0
dport_class,HTTP,2,1,ET,0.99075,0.9951810367283147,0.9065656565656566,0.9951810367283147,0.9460468175095575,0.8921474606556852,0.9951810367283146,0.0,0.0
dport_class,HTTP,3,1,ET,0.98825,0.9938738269030241,0.8886255924170616,0.9938738269030241,0.9342513661202185,0.8686042415669084,0.9938738269030241,0.0,0.0
dport_class,HTTP,4,1,ET,0.98875,0.9941237921128232,0.8958333333333333,0.9941237921128232,0.9389049942112482,0.8778939142326854,0.9941237921128232,0.0,0.0
dport_class,HTTP,5,1,ET,0.9905,0.9950559458756181,0.9025641025641026,0.9950559458756181,0.9435384176492962,0.8871373731223594,0.9950559458756181,0.0,0.0
dport_class,HTTP,1,2,ET,0.98875,0.9941603944977939,0.8828125,0.9941603944977939,0.9306913651837314,0.861490729112802,0.9941603944977939,0.0,0.0
dport_class,HTTP,2,2,ET,0.98975,0.9946208344266596,0.9108695652173913,0.9946208344266596,0.9483698569372812,0.8967943312398525,0.9946208344266596,0.0,0.0
dport_class,HTTP,3,2,ET,0.989,0.9942812581232129,0.8883248730964467,0.9942812581232129,0.9342670401493931,0.8686290696997427,0.9942812581232129,0.0,0.0
dport_class,HTTP,4,2,ET,0.9915,0.9955671447196871,0.914572864321608,0.9955671447196871,0.9510704068063943,0.9021814964792532,0.9955671447196871,0.0,0.0
dport_class,HTTP,5,2,ET,0.99,0.9948092395535946,0.893048128342246,0.9948092395535946,0.9375108379640407,0.8750997250632698,0.9948092395535947,0.0,0.0
dport_class,HTTP,1,3,ET,0.99025,0.994931115154666,0.8984375,0.994931115154666,0.9409309061994149,0.8819298118142846,0.994931115154666,0.0,0.0
dport_class,HTTP,2,3,ET,0.98825,0.9938417190775681,0.8982683982683983,0.9938417190775681,0.9402752738045127,0.8806343143330252,0.9938417190775681,0.0,0.0
dport_class,HTTP,3,3,ET,0.99025,0.9949258391881343,0.9005102040816326,0.9949258391881343,0.9422091871833314,0.8844834633634862,0.9949258391881343,0.0,0.0
dport_class,HTTP,4,3,ET,0.9905,0.9950967741935484,0.8834355828220859,0.9950967741935484,0.9315640848317197,0.8632170978627671,0.9950967741935484,0.0,0.0
dport_class,HTTP,5,3,ET,0.98975,0.9946306966998428,0.9080717488789238,0.9946306966998428,0.9466835718755842,0.8934253860730375,0.9946306966998428,0.0,0.0
dport_class,HTTP,1,4,ET,0.991,0.9953258893793819,0.9027027027027027,0.9953258893793819,0.9437597541676366,0.8875764129068524,0.995325889379382,0.0,0.0
dport_class,HTTP,2,4,ET,0.98675,0.9930971607189372,0.8761682242990654,0.9930971607189372,0.9258579234972678,0.8518613757885587,0.9930971607189372,0.0,0.0
dport_class,HTTP,3,4,ET,0.99,0.9947903099765564,0.900497512437811,0.9947903099765564,0.9421328947006752,0.8843327227064987,0.9947903099765564,0.0,0.0
dport_class,HTTP,4,4,ET,0.98975,0.9946697867914717,0.8948717948717948,0.9946697867914717,0.9385813566704204,0.877239995808195,0.9946697867914717,0.0,0.0
dport_class,HTTP,5,4,ET,0.9915,0.9955543933054394,0.9190476190476191,0.9955543933054394,0.9537258200397141,0.9074880278624292,0.9955543933054393,0.0,0.0
