Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
entropy_std_2,HTTP,1,0,ET,0.974,0.6578947368421053,0.986842105263158,0.6578947368421053,0.7333333333333333,0.4703389830508474,0.6578947368421053,0.0,0.0
entropy_std_2,HTTP,2,0,ET,0.97125,0.6891891891891893,0.9853689567430026,0.6891891891891893,0.7670856593121431,0.5372698923649533,0.6891891891891893,0.0019502639770507812,0.0
entropy_std_2,HTTP,3,0,ET,0.9725,0.6875999703959244,0.9713446497489668,0.6875999703959244,0.7637457044673539,0.5303249937554573,0.6875999703959244,0.0,0.0
entropy_std_2,HTTP,4,0,ET,0.971,0.6054421768707483,0.9853867472915092,0.6054421768707483,0.6667423199905769,0.3398645014981092,0.6054421768707483,0.0,0.0
entropy_std_2,HTTP,5,0,ET,0.9775,0.6908425541724297,0.9797884671109822,0.6908425541724297,0.7692307692307692,0.5407413455258001,0.6908425541724297,0.0,0.0
entropy_std_2,HTTP,1,1,ET,0.97625,0.6688844836775969,0.977900195765474,0.6688844836775969,0.745226175462733,0.49339007364508514,0.668884483677597,0.0,0.0
entropy_std_2,HTTP,2,1,ET,0.9705,0.6693607380839433,0.9769517935400097,0.6693607380839433,0.7444997066077139,0.4926945870942363,0.6693607380839433,0.0,0.0
entropy_std_2,HTTP,3,1,ET,0.973,0.6666666666666666,0.9863152559553978,0.6666666666666666,0.7430626927029804,0.48966573105384026,0.6666666666666666,0.0,0.0
entropy_std_2,HTTP,4,1,ET,0.97375,0.6612903225806451,0.9867088607594936,0.6612903225806451,0.7371673524304198,0.4779366065879428,0.6612903225806451,0.0,0.0
entropy_std_2,HTTP,5,1,ET,0.973,0.6727272727272727,0.9863048440273903,0.6727272727272727,0.7498140979755791,0.5029855382597591,0.6727272727272727,0.0,0.0
entropy_std_2,HTTP,1,2,ET,0.97275,0.6437908496732025,0.9862234580384226,0.6437908496732025,0.7163657606634439,0.43708233058243906,0.6437908496732025,0.0,0.0
entropy_std_2,HTTP,2,2,ET,0.973,0.660377358490566,0.9863256520638136,0.660377358490566,0.7359251788006602,0.47558941564637236,0.660377358490566,0.0,0.0
entropy_std_2,HTTP,3,2,ET,0.97475,0.6864485796559018,0.9710399160975366,0.6864485796559018,0.7629162243352411,0.5284362291706547,0.6864485796559018,0.0,0.0
entropy_std_2,HTTP,4,2,ET,0.96875,0.6744791666666666,0.9841088227815917,0.6744791666666666,0.750613366425277,0.5050837794178201,0.6744791666666666,0.015107154846191406,0.0
entropy_std_2,HTTP,5,2,ET,0.97725,0.6726618705035972,0.9884868421052632,0.6726618705035972,0.7508608646907561,0.5045300113250283,0.6726618705035972,0.0,0.0
entropy_std_2,HTTP,1,3,ET,0.97325,0.706043956043956,0.9863694267515923,0.706043956043956,0.784919327159312,0.5722993904267013,0.706043956043956,0.0,0.0
entropy_std_2,HTTP,2,3,ET,0.9715,0.6503067484662577,0.9855732725892179,0.6503067484662577,0.7238131232374916,0.4519402037917085,0.6503067484662577,0.0,0.0
entropy_std_2,HTTP,3,3,ET,0.969,0.6309523809523809,0.9843276036400405,0.6309523809523809,0.6995862042232366,0.40471618403871257,0.6309523809523809,0.0,0.0
entropy_std_2,HTTP,4,3,ET,0.97675,0.6748251748251748,0.9882278481012658,0.6748251748251748,0.7531111643529687,0.5090405173551538,0.6748251748251748,0.015110015869140625,0.0008146762847900391
entropy_std_2,HTTP,5,3,ET,0.976,0.6756026655932734,0.9692242974124126,0.6756026655932734,0.7514234889266932,0.5055560562945032,0.6756026655932734,0.0,0.0
entropy_std_2,HTTP,1,4,ET,0.96825,0.6242603550295858,0.9839565437089439,0.6242603550295858,0.6908996099128739,0.3878072412280491,0.6242603550295858,0.01500701904296875,0.0
entropy_std_2,HTTP,2,4,ET,0.97325,0.6697530864197531,0.9864385297845374,0.6697530864197531,0.7465822651400814,0.49657719541744105,0.6697530864197531,0.0,0.0
entropy_std_2,HTTP,3,4,ET,0.9735,0.6666666666666666,0.9865720800608057,0.6666666666666666,0.7431946584488958,0.48986098711898995,0.6666666666666666,0.0,0.0
entropy_std_2,HTTP,4,4,ET,0.973,0.6851635693441868,0.9785950203252032,0.6851635693441868,0.7622773826739833,0.527476373818691,0.6851635693441868,0.0,0.0
entropy_std_2,HTTP,5,4,ET,0.97875,0.698581560283688,0.9892241379310345,0.698581560283688,0.778817336297181,0.5597041211694259,0.698581560283688,0.0,0.0
