Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ts_diff,SCHD,1,0,ET,0.9685414680648237,0.8361388909166119,0.8300671397510334,0.8361388909166119,0.8330713293727336,0.6661442686508148,0.836138890916612,0.0,0.0
ts_diff,SCHD,2,0,ET,0.9685414680648237,0.8198832417582418,0.8198832417582418,0.8198832417582418,0.8198832417582418,0.6397664835164836,0.8198832417582417,0.0052487850189208984,0.0
ts_diff,SCHD,3,0,ET,0.9685414680648237,0.8139941444057297,0.7872233289065959,0.8139941444057297,0.7999387396550928,0.5999144745966437,0.8139941444057298,0.0007994174957275391,0.0
ts_diff,SCHD,4,0,ET,0.9694802098235574,0.8097594837144508,0.8544047489970725,0.8097594837144508,0.8303758303758304,0.6608356793748831,0.8097594837144508,0.0,0.0
ts_diff,SCHD,5,0,ET,0.9623271340009537,0.7593107006091391,0.8022677598788062,0.7593107006091391,0.7789123045365797,0.5579573441631733,0.7593107006091391,0.0,0.0
ts_diff,SCHD,1,1,ET,0.9699714013346044,0.8276832858846145,0.8435408163265306,0.8276832858846145,0.8353987260194646,0.670807700928993,0.8276832858846145,0.006558895111083984,0.0
ts_diff,SCHD,2,1,ET,0.9709246901811249,0.8042856767480359,0.8422530382560174,0.8042856767480359,0.8220162076537844,0.6440923071788911,0.8042856767480359,0.0,0.0
ts_diff,SCHD,3,1,ET,0.9647283126787417,0.7742852276321872,0.8221448698823139,0.7742852276321872,0.7960270121134088,0.5921911856642272,0.7742852276321872,0.0034236907958984375,0.0
ts_diff,SCHD,4,1,ET,0.9651883643299952,0.7615039496893934,0.7958384977689639,0.7615039496893934,0.7774768763818569,0.5550320178358095,0.7615039496893933,0.0013844966888427734,0.0
ts_diff,SCHD,5,1,ET,0.9623271340009537,0.8067138305847077,0.7816910499139416,0.8067138305847077,0.7935902755194726,0.5872222097638642,0.8067138305847076,0.0030014514923095703,0.0
ts_diff,SCHD,1,2,ET,0.9690181124880839,0.8092760601567849,0.8621108846137512,0.8092760601567849,0.8333200921585764,0.6667578966917712,0.8092760601567849,0.002054452896118164,0.0
ts_diff,SCHD,2,2,ET,0.9666348903717826,0.8199543356494029,0.7952764260918338,0.8199543356494029,0.8070525790261975,0.6141376030604149,0.8199543356494028,0.0020122528076171875,0.0
ts_diff,SCHD,3,2,ET,0.9618684461391802,0.7668009074259075,0.7837372731297034,0.7668009074259075,0.7749711742150002,0.5499640700580242,0.7668009074259076,0.0020432472229003906,0.0009586811065673828
ts_diff,SCHD,4,2,ET,0.9651883643299952,0.7960886895864474,0.786966389801043,0.7960886895864474,0.7914464730188704,0.5828980602761225,0.7960886895864475,0.0021131038665771484,0.0010573863983154297
ts_diff,SCHD,5,2,ET,0.966142107773009,0.8112368552829243,0.8142233142233142,0.8112368552829243,0.8127219325664619,0.6254443362691602,0.8112368552829244,0.002002716064453125,0.000997781753540039
ts_diff,SCHD,1,3,ET,0.9694947569113441,0.8235909293953806,0.8235909293953806,0.8235909293953806,0.8235909293953806,0.6471818587907612,0.8235909293953806,0.001974344253540039,0.0
ts_diff,SCHD,2,3,ET,0.9685414680648237,0.8143512187273751,0.8143512187273751,0.8143512187273751,0.8143512187273751,0.6287024374547503,0.814351218727375,0.0019550323486328125,0.0
ts_diff,SCHD,3,3,ET,0.9699714013346044,0.8612420561499476,0.8134142936906756,0.8612420561499476,0.8353987260194646,0.6708896690819451,0.8612420561499476,0.001880645751953125,0.0
ts_diff,SCHD,4,3,ET,0.9647114926084883,0.8161798849539911,0.8161798849539911,0.8161798849539911,0.8161798849539911,0.6323597699079821,0.8161798849539911,0.0018680095672607422,0.0
ts_diff,SCHD,5,3,ET,0.9690033381020505,0.7957176729697018,0.8447058619453471,0.7957176729697018,0.8180924024668061,0.6362940173494465,0.7957176729697018,0.001337289810180664,0.0010178089141845703
ts_diff,SCHD,1,4,ET,0.9728312678741659,0.7973380785880786,0.8672220901315408,0.7973380785880786,0.8281758501334092,0.6565298561047764,0.7973380785880786,0.0024826526641845703,0.0
ts_diff,SCHD,2,4,ET,0.9675881792183031,0.7906457015152295,0.7971888606411268,0.7906457015152295,0.7938762772203986,0.5877549369195472,0.7906457015152296,0.0009925365447998047,0.0
ts_diff,SCHD,3,4,ET,0.9642516682554814,0.7940010972220333,0.8308367346938775,0.7940010972220333,0.8111685945831129,0.622413768279397,0.7940010972220334,0.001989126205444336,0.0
ts_diff,SCHD,4,4,ET,0.9675727229375298,0.7934738955823293,0.8434744169389856,0.7934738955823293,0.8162422680412371,0.6326057383131338,0.7934738955823293,0.0016140937805175781,0.0
ts_diff,SCHD,5,4,ET,0.9723414401525989,0.840595483235597,0.8265968063872255,0.840595483235597,0.8334310256045052,0.6668693508627773,0.840595483235597,0.0016150474548339844,0.0
