Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
entropy_mean_9,SP,1,0,ET,0.8910626945309026,0.5040485829959515,0.9454828660436136,0.5040485829959515,0.47920181549922924,0.014325248250040779,0.5040485829959515,0.0,0.0
entropy_mean_9,SP,2,0,ET,0.8915073365940418,0.5017998037692654,0.6959279038718291,0.5017998037692654,0.4753726605939625,0.006377223065195503,0.5017998037692654,0.0,0.01460123062133789
entropy_mean_9,SP,3,0,ET,0.8856761565836299,0.5041744677900284,0.5941465594280607,0.5041744677900284,0.4810501231048102,0.01437822861861171,0.5041744677900284,0.0,0.0
entropy_mean_9,SP,4,0,ET,0.8910142348754448,0.5060483870967742,0.94543429844098,0.5060483870967742,0.483094711847545,0.021323477148340375,0.5060483870967742,0.0,0.0
entropy_mean_9,SP,5,0,ET,0.8896797153024911,0.504,0.9447907390917186,0.504,0.4787187888036144,0.014132725960926407,0.504,0.0,0.0
entropy_mean_9,SP,1,1,ET,0.8977323254779902,0.5064377682403434,0.9487978628673197,0.5064377682403434,0.48572922714727707,0.022849975253416477,0.5064377682403434,0.0,0.0
entropy_mean_9,SP,2,1,ET,0.8857269897732325,0.5038610038610039,0.9428126390743213,0.5038610038610039,0.47733477294080523,0.013584707305876131,0.5038610038610039,0.0,0.0
entropy_mean_9,SP,3,1,ET,0.8852313167259787,0.5019305019305019,0.9425901201602136,0.5019305019305019,0.47339289605578555,0.0068120870878584094,0.5019305019305019,0.0,0.0
entropy_mean_9,SP,4,1,ET,0.8923487544483986,0.5038658497788451,0.7796585003711952,0.5038658497788451,0.4796594930655188,0.013659686338500565,0.5038658497788451,0.0,0.0
entropy_mean_9,SP,5,1,ET,0.8901245551601423,0.5020161290322581,0.9450378282153984,0.5020161290322581,0.4749367141275249,0.007152359563419974,0.5020161290322581,0.0,0.0
entropy_mean_9,SP,1,2,ET,0.8830591373943976,0.5018939393939394,0.9415035587188612,0.5018939393939394,0.47270814668217825,0.0066671480896186575,0.5018939393939394,0.0,0.0
entropy_mean_9,SP,2,2,ET,0.8883948421520675,0.5047740963855422,0.6326137884872824,0.5047740963855422,0.4820810744107228,0.016567684478814737,0.5047740963855422,0.0,0.0
entropy_mean_9,SP,3,2,ET,0.8985765124555161,0.5064935064935064,0.9492204899777283,0.5064935064935064,0.48607250718935374,0.023066982308070694,0.5064935064935064,0.0,0.0
entropy_mean_9,SP,4,2,ET,0.8856761565836299,0.5038610038610039,0.942787177203918,0.5038610038610039,0.47732045036120274,0.01358393148617365,0.5038610038610039,0.0,0.0
entropy_mean_9,SP,5,2,ET,0.8941281138790036,0.502092050209205,0.9470404984423676,0.502092050209205,0.47620614035087716,0.007453964626133014,0.502092050209205,0.0,0.0
entropy_mean_9,SP,1,3,ET,0.8821698532681191,0.5018796992481203,0.94105871886121,0.5018796992481203,0.47242884470516794,0.006610539860755327,0.5018796992481203,0.0,0.0
entropy_mean_9,SP,2,3,ET,0.8875055580257892,0.510557890789967,0.717320659679909,0.510557890789967,0.49275726658019425,0.03624679664700192,0.510557890789967,0.0,0.0
entropy_mean_9,SP,3,3,ET,0.8959074733096085,0.5042372881355932,0.9479073909171861,0.5042372881355932,0.4809256722886431,0.01506890353505097,0.5042372881355932,0.015527725219726562,0.0
entropy_mean_9,SP,4,3,ET,0.8963523131672598,0.5,0.4481761565836299,0.5,0.47267182735163027,0.0,0.5,0.0,0.0
entropy_mean_9,SP,5,3,ET,0.8879003558718861,0.5019762845849802,0.9439252336448598,0.5019762845849802,0.474234037576986,0.006994036663476311,0.5019762845849802,0.0,0.0
entropy_mean_9,SP,1,4,ET,0.8959537572254336,0.5042372881355932,0.9479305740987984,0.5042372881355932,0.48093857261214346,0.015069677607716714,0.5042372881355932,0.0,0.0
entropy_mean_9,SP,2,4,ET,0.9061805246776345,0.5070093457943925,0.9530276046304542,0.5070093457943925,0.48918110997365916,0.02508479729799129,0.5070093457943925,0.0004286766052246094,0.0
entropy_mean_9,SP,3,4,ET,0.8812277580071174,0.5018656716417911,0.9405874499332443,0.5018656716417911,0.4721347893652331,0.0065543815047270915,0.5018656716417911,0.0009970664978027344,0.0
entropy_mean_9,SP,4,4,ET,0.8892348754448398,0.5039840637450199,0.9445681211041852,0.5039840637450199,0.4785626919576443,0.014069820692570567,0.5039840637450199,0.0009961128234863281,0.0
entropy_mean_9,SP,5,4,ET,0.8790035587188612,0.5018315018315018,0.9394748553627058,0.5018315018315018,0.4714374133406176,0.006418526956188164,0.5018315018315018,0.0,0.0
