Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
pck_size_diff,SP,1,0,ET,0.8848377056469542,0.5,0.4424188528234771,0.5,0.469450342061807,0.0,0.5,0.0010116100311279297,0.0
pck_size_diff,SP,2,0,ET,0.8821698532681191,0.5,0.44108492663405957,0.5,0.46869832270257505,0.0,0.5,0.0009992122650146484,0.0
pck_size_diff,SP,3,0,ET,0.8843416370106761,0.5,0.44217081850533807,0.5,0.4693106704438149,0.0,0.5,0.0010097026824951172,0.0
pck_size_diff,SP,4,0,ET,0.895017793594306,0.5,0.447508896797153,0.5,0.4723004694835681,0.0,0.5,0.0,0.0
pck_size_diff,SP,5,0,ET,0.9008007117437722,0.4997532082922014,0.4506008010680908,0.4997532082922014,0.47390592089866607,-0.0008864752625483696,0.4997532082922014,0.0,0.0
pck_size_diff,SP,1,1,ET,0.88172521120498,0.49974798387096775,0.44105871886120995,0.49974798387096775,0.4685727788279773,-0.0008867265402272562,0.49974798387096775,0.0,0.0
pck_size_diff,SP,2,1,ET,0.8959537572254336,0.5,0.4479768786127168,0.5,0.47256097560975613,0.0,0.5,0.0,0.0
pck_size_diff,SP,3,1,ET,0.8830071174377224,0.5,0.4415035587188612,0.5,0.4689345617765179,0.0,0.5,0.0,0.0
pck_size_diff,SP,4,1,ET,0.8972419928825622,0.4997522299306244,0.4488206497552292,0.4997522299306244,0.47291910902696366,-0.0008866136754377418,0.4997522299306244,0.0,0.0
pck_size_diff,SP,5,1,ET,0.8887900355871886,0.5,0.4443950177935943,0.5,0.4705605275553462,0.0,0.5,0.001007080078125,0.0
pck_size_diff,SP,1,2,ET,0.8928412627834593,0.4997511199601792,0.44661921708185054,0.4997511199601792,0.4716936809960065,-0.0008863791228170825,0.4997511199601792,0.0,0.0
pck_size_diff,SP,2,2,ET,0.8852823477100934,0.5,0.4426411738550467,0.5,0.46957547169811326,0.0,0.5,0.0,0.0
pck_size_diff,SP,3,2,ET,0.895017793594306,0.49950347567030784,0.4479073909171861,0.49950347567030784,0.4723004694835681,-0.0017673982990680237,0.49950347567030784,0.0009999275207519531,0.0010008811950683594
pck_size_diff,SP,4,2,ET,0.8879003558718861,0.5,0.44395017793594305,0.5,0.47031102733270497,0.0,0.5,0.001035451889038086,0.0
pck_size_diff,SP,5,2,ET,0.8852313167259787,0.5,0.44261565836298933,0.5,0.4695611137328929,0.0,0.5,0.0,0.0
pck_size_diff,SP,1,3,ET,0.8923966207203201,0.5,0.44619831036016006,0.5,0.4715695488721804,0.0,0.5,0.0,0.0
pck_size_diff,SP,2,3,ET,0.891951978657181,0.49975087194818135,0.4461743772241993,0.49975087194818135,0.4714453584018801,-0.0008864095468505973,0.49975087194818135,0.0,0.0
pck_size_diff,SP,3,3,ET,0.8763345195729537,0.49974632166412986,0.43836226079216734,0.49974632166412986,0.4670459933617829,-0.0008872659715883913,0.4997463216641299,0.0,0.0
pck_size_diff,SP,4,3,ET,0.8932384341637011,0.5,0.44661921708185054,0.5,0.47180451127819545,0.0,0.5,0.0,0.0
pck_size_diff,SP,5,3,ET,0.8927935943060499,0.5,0.44639679715302494,0.5,0.4716803760282021,0.0,0.5,0.01565241813659668,0.0
pck_size_diff,SP,1,4,ET,0.8906180524677635,0.5,0.44530902623388174,0.5,0.4710724365004704,0.0,0.5,0.0,0.0
pck_size_diff,SP,2,4,ET,0.8883948421520675,0.49974987493746875,0.4443950177935943,0.49974987493746875,0.4704497292206263,-0.0008865263945503354,0.49974987493746875,0.0,0.0
pck_size_diff,SP,3,4,ET,0.8834519572953736,0.5,0.4417259786476868,0.5,0.46905999055266884,0.0,0.5,0.0,0.0
pck_size_diff,SP,4,4,ET,0.8972419928825622,0.5,0.4486209964412811,0.5,0.47291910902696366,0.0,0.5,0.0,0.0
pck_size_diff,SP,5,4,ET,0.8874555160142349,0.5,0.44372775800711745,0.5,0.47018618901720477,0.0,0.5,0.0,0.0
