Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
payload_bytes_sum_of_EW,UDP,1,0,ET,0.843,0.832285472118014,0.836210555297328,0.832285472118014,0.8341095579574449,0.6682695901201388,0.832285472118014,0.0,0.0
payload_bytes_sum_of_EW,UDP,2,0,ET,0.84225,0.8346389172641313,0.832971402849388,0.8346389172641313,0.8337788617421438,0.6675673781918932,0.8346389172641313,0.0,0.0
payload_bytes_sum_of_EW,UDP,3,0,ET,0.84725,0.8397849479187852,0.8410381539625933,0.8397849479187852,0.8403945363471077,0.6807950970962803,0.8397849479187852,0.0,0.0
payload_bytes_sum_of_EW,UDP,4,0,ET,0.8405,0.8299361969789294,0.8322587434832975,0.8299361969789294,0.831050260958496,0.6621180590218319,0.8299361969789294,0.0,0.0
payload_bytes_sum_of_EW,UDP,5,0,ET,0.83925,0.8325033734190187,0.8328466290477581,0.8325033734190187,0.8326735584082154,0.665347661102833,0.8325033734190188,0.0,0.0
payload_bytes_sum_of_EW,UDP,1,1,ET,0.8445,0.837160751565762,0.8385876912827949,0.837160751565762,0.837850872333631,0.6757101985753667,0.837160751565762,0.0,0.0
payload_bytes_sum_of_EW,UDP,2,1,ET,0.83975,0.8290196378028953,0.8328016986815886,0.8290196378028953,0.8307787234472248,0.6616067818013078,0.8290196378028953,0.0008921623229980469,0.0
payload_bytes_sum_of_EW,UDP,3,1,ET,0.83825,0.8313517644062152,0.8308538122506219,0.8313517644062152,0.8310999433453867,0.6622009669301534,0.8313517644062152,0.004306316375732422,0.0010073184967041016
payload_bytes_sum_of_EW,UDP,4,1,ET,0.84225,0.8325605585876963,0.8344210765084265,0.8325605585876963,0.8334591297553309,0.6669298853098661,0.8325605585876963,0.0,0.006119966506958008
payload_bytes_sum_of_EW,UDP,5,1,ET,0.837,0.8274395279846185,0.8277631527082128,0.8274395279846185,0.8276003850963177,0.6552011348747923,0.8274395279846184,0.00499725341796875,0.0
payload_bytes_sum_of_EW,UDP,1,2,ET,0.8405,0.8316901122239602,0.8346333262892955,0.8316901122239602,0.8330680213798524,0.6661709811538344,0.8316901122239603,0.005102872848510742,0.0
payload_bytes_sum_of_EW,UDP,2,2,ET,0.84675,0.8399171066343027,0.8389287684627778,0.8399171066343027,0.8394129271938686,0.6788294091666174,0.8399171066343027,0.004918575286865234,0.0
payload_bytes_sum_of_EW,UDP,3,2,ET,0.84225,0.8341372423408826,0.8335840512864225,0.8341372423408826,0.8338577281071189,0.6677165279694741,0.8341372423408827,0.004998207092285156,0.0
payload_bytes_sum_of_EW,UDP,4,2,ET,0.836,0.8271925651235996,0.829658661737162,0.8271925651235996,0.828358341732262,0.6567426393927065,0.8271925651235995,0.005036592483520508,0.0
payload_bytes_sum_of_EW,UDP,5,2,ET,0.8495,0.8401213478536255,0.8411429250200715,0.8401213478536255,0.8406233585794407,0.6812497551129764,0.8401213478536255,0.004900932312011719,0.0
payload_bytes_sum_of_EW,UDP,1,3,ET,0.84175,0.83465418400094,0.8362289876104572,0.83465418400094,0.8354110093263845,0.6708333376667543,0.83465418400094,0.005002737045288086,0.0
payload_bytes_sum_of_EW,UDP,2,3,ET,0.83825,0.8292719995746076,0.8287052931476518,0.8292719995746076,0.8289857181268332,0.6579725437062983,0.8292719995746076,0.0045087337493896484,0.0
payload_bytes_sum_of_EW,UDP,3,3,ET,0.84525,0.8367151935523901,0.8389208764762558,0.8367151935523901,0.8377682679580731,0.6755544140848171,0.8367151935523901,0.005095958709716797,0.0009016990661621094
payload_bytes_sum_of_EW,UDP,4,3,ET,0.8435,0.834655668786028,0.835917716304484,0.834655668786028,0.8352714376724748,0.6705484237241974,0.8346556687860279,0.0050945281982421875,0.0012257099151611328
payload_bytes_sum_of_EW,UDP,5,3,ET,0.841,0.8324015628428212,0.8322421033431702,0.8324015628428212,0.8323215945267237,0.6646432774686684,0.8324015628428212,0.00795125961303711,0.0010013580322265625
payload_bytes_sum_of_EW,UDP,1,4,ET,0.85075,0.8431665231675212,0.8420991678458325,0.8431665231675212,0.8426226292974056,0.6852487641928028,0.8431665231675212,0.0,0.0
payload_bytes_sum_of_EW,UDP,2,4,ET,0.837,0.8293966983622156,0.8302459076592394,0.8293966983622156,0.8298129586991028,0.6596291158057119,0.8293966983622156,0.0,0.0
payload_bytes_sum_of_EW,UDP,3,4,ET,0.8445,0.8367445839946183,0.8377873032702919,0.8367445839946183,0.8372544032888216,0.6745129795798759,0.8367445839946183,0.0,0.0
payload_bytes_sum_of_EW,UDP,4,4,ET,0.837,0.8299699552214215,0.8286507458692889,0.8299699552214215,0.8292914416625756,0.6585901238291527,0.8299699552214216,0.003585338592529297,0.0
payload_bytes_sum_of_EW,UDP,5,4,ET,0.84825,0.841458057983022,0.839978221951728,0.841458057983022,0.8406966202948175,0.6814007867878429,0.841458057983022,0.014868497848510742,0.0010008811950683594
